oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"50976",409,352,1973,"Bronston v. United States","","409 U.S. 352","1973-01-10","71-1011","1972","1972-10","statutory construction of criminal laws: perjury (other than as pertains to statutory construction of criminal laws: false statements)","1972-11-15",1,9,0,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1972/71-1011"
"50826",410,512,1973,"Brennan v. Arnheim & Neely, Inc.","","410 U.S. 512","1973-02-28","71-1598","1972","1972-10","Fair Labor Standards Act","1973-01-16",1,8,1,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1972/71-1598"
"50919",412,609,1973,"Weinberger v. Hynson, Westcott & Dunning, Inc.","","412 U.S. 609","1973-06-18","72-394","1972","1972-10","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","1973-04-17",1,0,7,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1972/72-394"
"50964",412,655,1973,"USV Pharmaceutical Corporation v. Weinberger","","412 U.S. 655","1973-06-18","72-666","1972","1972-10","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","1973-04-17",1,0,7,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1972/72-666"
"51028",414,190,1973,"Falk v. Brennan","","414 U.S. 190","1973-12-05","72-844","1973","1973-10","Fair Labor Standards Act","1973-10-11",1,5,4,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1973/72-844"
"51068",415,143,1974,"United States v. Kahn","","415 U.S. 143","1974-02-20","72-1328","1973","1973-10","search and seizure, Crime Control Act","1973-12-11,1973-12-12",2,6,3,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1973/72-1328"
"51012",416,430,1974,"Gooding v. United States","","416 U.S. 430","1974-04-29","72-6902","1973","1973-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1974-02-25",1,3,6,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1973/72-6902"
"51102",417,583,1974,"Cardwell v. Lewis","","417 U.S. 583","1974-06-17","72-1603","1973","1973-10","search and seizure, vehicles","1974-03-18",1,5,4,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1973/72-1603"
"51319",420,332,1975,"United States v. Wilson","","420 U.S. 332","1975-02-25","73-1395","1974","1974-10","double jeopardy","1974-12-09",1,7,2,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1974/73-1395"
"51208",420,358,1975,"United States v. Jenkins","","420 U.S. 358","1975-02-25","73-1513","1974","1974-10","double jeopardy","1974-12-09",1,0,9,"Andrew L. Frey","","loc","https://www.oyez.org/cases/1974/73-1513"
