oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"55777",563,452,2011,"Kentucky v. King","","563 U.S. 452","2011-05-16","09-1272","2010","2010-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","2011-01-12",1,8,1,"Ann O'Connell","","scotusBound","https://www.oyez.org/cases/2010/09-1272"
"55888",565,0,2012,"Gonzalez v. Thaler","","565 U.S. ___","2012-01-10","10-895","2011","2011-10","judicial administration: untimely filing","2011-11-02",1,1,8,"Ann O'Connell","","scotusBound","https://www.oyez.org/cases/2011/10-895"
"55830",566,0,2012,"Freeman v. Quicken Loans, Inc.","","566 U.S. ___","2012-05-24","10-1042","2011","2011-10","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","2012-02-21",1,0,9,"Ann O'Connell","","scotusBound","https://www.oyez.org/cases/2011/10-1042"
"55918",568,57,2013,"Ryan v. Gonzales","","568 U.S. 57","2013-01-08","10-930,11-218","2012","2012-10","habeas corpus","2012-10-09",1,9,0,"Ann O'Connell","","slipopinion/12","https://www.oyez.org/cases/2012/10-930"
"55958",569,329,2013,"PPL Corporation v. Commissioner of Internal Revenue","","569 U.S. 329","2013-05-20","12-43","2012","2012-10","federal taxation, typically under provisions of the Internal Revenue Code","2013-02-20",1,9,0,"Ann O'Connell","","slipopinion/12","https://www.oyez.org/cases/2012/12-43"
"55968",569,614,2013,"Tarrant Regional Water District v. Herrmann","","569 U.S. 614","2013-06-13","11-889","2012","2012-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2013-04-23",1,0,9,"Ann O'Connell","","slipopinion/12","https://www.oyez.org/cases/2012/11-889"
"55999",571,0,2013,"Burt v. Titlow","","571 U.S. ___","2013-11-05","12-414","2013","2013-10","plea bargaining: the constitutionality of and/or the circumstances of its exercise","2013-10-08",1,9,0,"Ann O'Connell","","slipopinion/13","https://www.oyez.org/cases/2013/12-414"
"56029",572,0,2014,"Lozano v. Montoya Alvarez","","572 U.S. ___","2014-03-05","12-820","2013","2013-10","juveniles (cf. rights of illegitimates)","2013-12-11",1,0,9,"Ann O'Connell","","slipopinion/13","https://www.oyez.org/cases/2013/12-820"
"56040",574,0,2015,"Kansas v. Nebraska and Colorado","","574 U.S. ___","2015-02-24","126 Orig.","2014","2014-10","miscellaneous interstate relations conflict","2014-10-14",1,6,3,"Ann O'Connell","","slipopinion/14","https://www.oyez.org/cases/2014/126-orig"
"56129",574,0,2015,"T-Mobile South, LLC v. City of Roswell, Georgia","","574 U.S. ___","2015-01-14","13-975","2014","2014-10","federal and some few state regulations of public utilities regulation: telephone or telegraph company","2014-11-10",1,6,3,"Ann O'Connell","","slipopinion/14","https://www.oyez.org/cases/2014/13-975"
"56080",575,0,2015,"Henderson v. United States","","575 U.S. ___","2015-05-18","13-1487","2014","2014-10","statutory construction of criminal laws: firearms","2015-02-24",1,9,0,"Ann O'Connell","","slipopinion/14","https://www.oyez.org/cases/2014/13-1487"
"62317",577,0,2016,"Lockhart v. United States","","577 U.S. ___","2016-03-01","14-8358","2015","2015-10","obscenity, federal","2015-11-03",1,2,6,"Ann O'Connell","","slipopinion/15","https://www.oyez.org/cases/2015/14-8358"
"62599",578,0,2016,"Hughes v. Talen Energy Marketing, LLC","","578 U.S. ___","2016-04-19","14-614,14-623","2015","2015-10","national supremacy: public utilities (cf. federal public utilities regulation)","2016-02-24",1,0,8,"Ann O'Connell","","slipopinion/15","https://www.oyez.org/cases/2015/14-614"
"62731",580,0,2017,"Lightfoot v. Cendant Mortgage Corporation","","580 U.S. ___","2017-01-18","14-1055","2016","2016-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","2016-11-08",1,8,0,"Ann O'Connell","","slipopinion/16","https://www.oyez.org/cases/2016/14-1055"
"62768",581,0,2017,"Lewis v. Clarke","","581 U.S. ___","2017-04-25","15-1500","2016","2016-10","Indians, state jurisdiction over","2017-01-09",1,8,0,"Ann O'Connell","","slipopinion/16","https://www.oyez.org/cases/2016/15-1500"
"62797",582,0,2017,"Weaver v. Massachusetts","","582 U.S. ___","2017-06-22","16-240","2016","2016-10","indigents: inadequate representation by counsel (cf. right to counsel)","2017-04-19",1,2,7,"Ann O'Connell","","slipopinion/16","https://www.oyez.org/cases/2016/16-240"
"62839",583,0,2018,"Patchak v. Zinke","","583 U.S. ___","2018-02-27","16-498","2017","2017-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","2017-11-07",1,3,6,"Ann O'Connell","","slipopinion/17","https://www.oyez.org/cases/2017/16-498"
"62911",0,0,0,"Texas v. New Mexico and Colorado","","___ U.S. ___","2018-03-05","141 Orig.","2017","2017-10","miscellaneous interstate relations conflict","2018-01-08",1,0,0,"Ann O'Connell","","slipopinion/17","https://www.oyez.org/cases/2017/141-orig"
"62933",584,0,2018,"Upper Skagit Indian Tribe v. Lundgren","","584 U.S. ___","2018-05-21","17-387","2017","2017-10","Indians, state jurisdiction over","2018-03-21",1,7,2,"Ann O'Connell","","slipopinion/17","https://www.oyez.org/cases/2017/17-387"
"63007",0,0,0,"Washington State Department of Licensing v. Cougar Den, Inc.","","___ U.S. ___","","16-1498","2018","2018-10","","2018-10-30",1,0,0,"Ann O'Connell","","slipopinion/18","https://www.oyez.org/cases/2018/16-1498"
"63030",0,0,0,"Thacker v. Tennessee Valley Authority","","___ U.S. ___","","17-1201","2018","2018-10","","2019-01-14",1,0,0,"Ann O'Connell","","slipopinion/18","https://www.oyez.org/cases/2018/17-1201"
