oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"60060",365,715,1961,"Burton v. Wilmington Parking Authority","","365 U.S. 715","1961-04-17","164","1960","1960-10","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","1961-02-21,1961-02-23",2,6,3,"Archibald Cox","","loc","https://www.oyez.org/cases/1960/164"
"60064",365,646,1961,"Saldana v. United States","","365 U.S. 646","1961-04-03","176","1960","1960-10","subconstitutional fair procedure: miscellaneous","1961-03-20",1,9,0,"Archibald Cox","","loc","https://www.oyez.org/cases/1960/176"
"60172",366,169,1961,"Brotherhood of Maintenance of Way Employees v. United States","","366 U.S. 169","1961-05-01","681","1960","1960-10","mergers","1961-03-28",1,1,8,"Archibald Cox","","loc","https://www.oyez.org/cases/1960/681"
"60162",369,186,1962,"Baker v. Carr","","369 U.S. 186","1962-03-26","6","1960","1960-10","reapportionment: other than plans governed by the Voting Rights Act","1961-04-19,1961-04-20,1961-10-09",3,6,2,"Archibald Cox","","loc","https://www.oyez.org/cases/1960/6"
"60102",367,396,1961,"Power Reactor Development Company v. International Union of Electrical, Radio and Machine Workers, AFL-CIO","","367 U.S. 396","1961-06-12","315","1960","1960-10","federal and some few state regulation of public utilities regulation: nuclear power","1961-04-26,1961-04-27",2,7,2,"Archibald Cox","","loc","https://www.oyez.org/cases/1960/315"
"60301",369,599,1962,"Hutcheson v. United States","","369 U.S. 599","1962-05-14","46","1961","1961-10","self-incrimination (other than as pertains to Miranda or immunity from prosecution)","1961-11-06",1,2,4,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/46"
"60304",368,208,1961,"St. Regis Paper Company v. United States","","368 U.S. 208","1961-12-11","47","1961","1961-10","Freedom of Information Act and related federal or state statutes or regulations","1961-11-09",1,3,6,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/47"
"60281",368,318,1961,"National Labor Relations Board v. Ochoa Fertilizer Corporation","","368 U.S. 318","1961-12-18","37","1961","1961-10","judicial review of administrative agency's or administrative official's actions and procedures","1961-11-16",1,8,1,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/37"
"60351",368,360,1962,"Federal Trade Commission v. Henry Broch & Company","","368 U.S. 360","1962-01-15","74","1961","1961-10","antitrust (except in the context of mergers and union antitrust)","1961-11-16",1,6,3,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/74"
"60287",370,294,1962,"Brown Shoe Company, Inc. v. United States","","370 U.S. 294","1962-06-25","4","1961","1961-10","mergers","1961-12-06",1,0,7,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/4"
"60372",373,546,1963,"Arizona v. California","","373 U.S. 546","1963-06-03","8 Orig.","1961","1961-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1962-01-08,1962-01-09,1962-01-10,1962-01-11,1962-11-13,1962-11-14",6,5,3,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/8_orig"
"60337",369,141,1962,"Fong Foo v. United States","","369 U.S. 141","1962-03-19","64,65","1961","1961-10","double jeopardy","1962-01-16",1,7,1,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/64"
"60230",369,482,1962,"California v. Federal Power Commission","","369 U.S. 482","1962-04-30","187","1961","1961-10","mergers","1962-03-01",1,5,2,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/187"
"60229",372,29,1963,"United States v. National Dairy Products Corporation","","372 U.S. 29","1963-02-18","18","1961","1961-10","antitrust (except in the context of mergers and union antitrust)","1962-03-21,1962-12-05",2,6,3,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/18"
"60239",369,736,1962,"National Labor Relations Board v. Katz","","369 U.S. 736","1962-05-21","222","1961","1961-10","labor-management disputes: bargaining","1962-03-22",1,7,0,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/222"
"60280",371,471,1963,"Wong Sun v. United States","","371 U.S. 471","1963-01-14","36","1962","1962-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1962-03-29,1962-04-02,1962-10-08",3,5,4,"Archibald Cox","","loc","https://www.oyez.org/cases/1962/36"
"60276",374,109,1963,"Yellin v. United States","","374 U.S. 109","1963-06-17","35","1961","1961-10","legislative investigations: concerning internal security only","1962-04-18,1962-04-19,1962-12-06",3,5,4,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/35"
"60317",370,114,1962,"Calbeck v. Travelers Insurance Company","","370 U.S. 114","1962-06-04","532","1961","1961-10","election of remedies: legal remedies available to injured persons or things","1962-04-23",1,6,2,"Archibald Cox","","loc","https://www.oyez.org/cases/1961/532"
"60419",371,245,1963,"Paul v. United States","","371 U.S. 245","1963-01-14","19","1962","1962-10","judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)","1962-10-17,1962-10-18",2,3,6,"Archibald Cox","","loc","https://www.oyez.org/cases/1962/19"
"60562",371,285,1963,"United States v. Georgia Public Service Commission","","371 U.S. 285","1963-01-14","81","1962","1962-10","judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)","1962-10-18",1,6,3,"Archibald Cox","","loc","https://www.oyez.org/cases/1962/81"
"60395",373,375,1963,"Avent v. North Carolina","","373 U.S. 375","1963-05-20","11","1962","1962-10","sit-in demonstrations (protests against racial discrimination in places of public accommodation)","1962-11-05",1,8,1,"Archibald Cox","","loc","https://www.oyez.org/cases/1962/11"
"60431",371,296,1963,"Pan American World Airways, Inc. v. United States","","371 U.S. 296","1963-01-14","23","1962","1962-10","federal and some few state regulation of transportation regulation: airline","1962-11-08",1,5,2,"Archibald Cox","","loc","https://www.oyez.org/cases/1962/23"
"60387",372,10,1963,"McCulloch v. Sociedad Nacional de Marineros de Honduras","","372 U.S. 10","1963-02-18","107","1962","1962-10","labor-management disputes: representative election","1962-12-11,1962-12-12",2,0,8,"Archibald Cox","","loc","https://www.oyez.org/cases/1962/107"
