oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"59240",350,891,1955,"Mitchell v. Myrtle Grove Packing Co.","","350 U.S. 891","1955-11-14","44","1955","1955-10","Fair Labor Standards Act","1955-11-10",1,9,0,"Bessie Margolin","","loc","https://www.oyez.org/cases/1955/44"
"59201",350,247,1956,"Steiner v. Mitchell","","350 U.S. 247","1956-01-30","22","1955","1955-10","Fair Labor Standards Act","1955-11-16",1,0,9,"Bessie Margolin","","loc","https://www.oyez.org/cases/1955/22"
"59234",350,260,1956,"Mitchell v. King Packing Company","","350 U.S. 260","1956-01-30","39","1955","1955-10","Fair Labor Standards Act","1955-11-16,1955-11-17",2,9,0,"Bessie Margolin","","loc","https://www.oyez.org/cases/1955/39"
"59213",350,473,1956,"Mitchell v. Budd","","350 U.S. 473","1956-03-26","278","1955","1955-10","Fair Labor Standards Act","1956-02-29,1956-03-01",2,9,0,"Bessie Margolin","","loc","https://www.oyez.org/cases/1955/278"
"59350",352,1027,1957,"Mitchell v. Bekins Van & Storage Company","","352 U.S. 1027","1957-03-11","122","1956","1956-10","Fair Labor Standards Act","1957-02-26,1957-02-27",2,6,2,"Bessie Margolin","","loc","https://www.oyez.org/cases/1956/122"
"59771",358,207,1959,"Mitchell v. Lublin, McGaughy & Associates","","358 U.S. 207","1959-01-12","37","1958","1958-10","Fair Labor Standards Act","1958-10-21",1,7,2,"Bessie Margolin","","loc","https://www.oyez.org/cases/1958/37"
"59712",359,290,1959,"Mitchell v. Kentucky Finance Company, Inc.","","359 U.S. 290","1959-04-20","161","1958","1958-10","Fair Labor Standards Act","1959-03-03",1,8,0,"Bessie Margolin","","loc","https://www.oyez.org/cases/1958/161"
"59942",361,288,1960,"Mitchell v. Robert DeMario Jewelry, Inc.","","361 U.S. 288","1960-01-18","39","1959","1959-10","Fair Labor Standards Act","1959-11-16",1,6,3,"Bessie Margolin","","loc","https://www.oyez.org/cases/1959/39"
"59926",361,231,1960,"Mitchell v. Oregon Frozen Foods Co.","","361 U.S. 231","1960-01-11","33","1959","1959-10","no merits: writ improvidently granted","1959-11-17",1,0,8,"Bessie Margolin","","loc","https://www.oyez.org/cases/1959/33"
"59993",361,388,1960,"Arnold v. Ben Kanowsky, Inc.","","361 U.S. 388","1960-02-23","60","1959","1959-10","Fair Labor Standards Act","1960-01-11",1,8,1,"Bessie Margolin","","loc","https://www.oyez.org/cases/1959/60"
"60016",362,310,1960,"Mitchell v. H. B. Zachry Company","","362 U.S. 310","1960-04-04","83","1959","1959-10","Fair Labor Standards Act","1960-02-25",1,4,5,"Bessie Margolin","","loc","https://www.oyez.org/cases/1959/83"
"60090",366,28,1961,"Goldberg v. Whitaker House Cooperative, Inc.","","366 U.S. 28","1961-04-24","274","1960","1960-10","Fair Labor Standards Act","1961-03-30",1,6,3,"Bessie Margolin","","loc","https://www.oyez.org/cases/1960/274"
"61044",383,190,1966,"Idaho Sheet Metal Works, Inc. v. Wirtz","","383 U.S. 190","1966-02-24","30","1965","1965-10","Fair Labor Standards Act","1965-12-08",1,0,9,"Bessie Margolin","","loc","https://www.oyez.org/cases/1965/30"
