oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"54222",512,218,1994,"MCI Telecommunications Corporation v. American Telephone & Telegraph Company","","512 U.S. 218","1994-06-17","93-356","1993","1993-10","federal and some few state regulations of public utilities regulation: telephone or telegraph company","1994-03-21",1,3,5,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/1993/93-356"
"54404",517,314,1996,"Lonchar v. Thomas","","517 U.S. 314","1996-04-01","95-5015","1995","1995-10","habeas corpus","1995-12-04",1,5,4,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/1995/95-5015"
"55007",535,467,2002,"Verizon Communications, Inc. v. Federal Communications Commission","","535 U.S. 467","2002-05-13","00-511","2001","2001-10","federal and some few state regulations of public utilities regulation: telephone or telegraph company","2001-10-10",1,2,6,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/2001/00-511"
"55043",537,293,2003,"Federal Communications Commission v. Nextwave Personal Communications, Inc.","","537 U.S. 293","2003-01-27","01-653","2002","2002-10","bankruptcy (except in the context of priority of federal fiscal claims)","2002-10-08",1,1,8,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/2002/01-653"
"55090",539,510,2003,"Wiggins v. Smith","","539 U.S. 510","2003-06-26","02-311","2002","2002-10","right to counsel (cf. indigents appointment of counsel or inadequate representation)","2003-03-24",1,7,2,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/2002/02-311"
"55153",540,398,2004,"Verizon Communications, Inc. v. Law Offices of Curtis V. Trinco, LLP","","540 U.S. 398","2004-01-13","02-682","2003","2003-10","antitrust (except in the context of mergers and union antitrust)","2003-10-14",1,9,0,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/2003/02-682"
"55190",540,581,2004,"General Dynamics Land Systems Inc. v. Cline","","540 U.S. 581","2004-02-24","02-1080","2003","2003-10","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","2003-11-12",1,6,3,"Donald B. Verrilli, Jr.","","loc","https://www.oyez.org/cases/2003/02-1080"
"55239",544,903,2005,"MGM Studios v. Grokster","","544 U.S. 903","2005-06-27","04-480","2004","2004-10","patents and copyrights: copyright","2005-03-29",1,9,0,"Donald B. Verrilli, Jr.","","scotusBound","https://www.oyez.org/cases/2004/04-480"
"55317",547,651,2006,"Howard Delivery Service, Inc. v. Zurich American Ins. Co.","","547 U.S. 651","2006-06-15","05-128","2005","2005-10","bankruptcy (except in the context of priority of federal fiscal claims)","2006-03-21",1,6,3,"Donald B. Verrilli, Jr.","","scotusBound","https://www.oyez.org/cases/2005/05-128"
"55381",550,465,2007,"Schriro v. Landrigan","","550 U.S. 465","2007-05-14","05-1575","2006","2006-10","habeas corpus","2007-01-09",1,5,4,"Donald B. Verrilli, Jr.","","scotusBound","https://www.oyez.org/cases/2006/05-1575"
