oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"51136",415,1,1974,"Renegotiation Board v. Bannercraft Clothing Company, Inc.","","415 U.S. 1","1974-02-19","72-822","1973","1973-10","Freedom of Information Act and related federal or state statutes or regulations","1973-10-17",1,5,4,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1973/72-822"
"51248",419,498,1975,"Schlesinger v. Ballard","","419 U.S. 498","1975-01-15","73-776","1974","1974-10","sex discrimination (excluding sex discrimination in employment)","1974-10-15",1,5,4,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1974/73-776"
"51317",426,67,1976,"Mathews v. Diaz","","426 U.S. 67","1976-06-01","73-1046","1974","1974-10","immigration and naturalization: welfare benefits","1975-01-13,1976-01-12",2,9,0,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1974/73-1046"
"51311",422,749,1975,"Weinberger v. Salfi","","422 U.S. 749","1975-06-26","74-214","1974","1974-10","poverty law, constitutional","1975-03-19",1,6,3,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1974/74-214"
"51482",423,77,1975,"United States v. Moore","","423 U.S. 77","1975-12-02","74-687","1975","1975-10","priority of federal fiscal claims: over those of the states or private entities","1975-10-15",1,8,0,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1975/74-687"
"51694",429,298,1977,"Bayside Enterprises, Inc. v. National Labor Relations Board","","429 U.S. 298","1977-01-11","75-1267","1976","1976-10","labor-management disputes: bargaining","1976-11-10",1,0,9,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1976/75-1267"
"51960",443,282,1979,"Califano v. Boles","","443 U.S. 282","1979-06-27","78-808","1978","1978-10","illegitimates, rights of (cf. juveniles): typically inheritance and survivor's benefits, and paternity suits","1979-04-25",1,5,4,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1978/78-808"
"52076",444,51,1979,"Andrus v. Allard","","444 U.S. 51","1979-11-27","78-740","1979","1979-10","due process: takings clause, or other non-constitutional governmental taking of property","1979-10-01",1,9,0,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1979/78-740"
"52113",445,23,1980,"United States v. Clark","","445 U.S. 23","1980-02-26","78-1513","1979","1979-10","illegitimates, rights of (cf. juveniles): typically inheritance and survivor's benefits, and paternity suits","1979-10-31",1,2,7,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1979/78-1513"
"52195",447,54,1980,"New York Gaslight Club, Inc. v. Carey","","447 U.S. 54","1980-06-09","79-192","1979","1979-10","attorneys' and governmental employees' or officials' fees or compensation or licenses","1980-02-19",1,2,7,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1979/79-192"
"52083",447,752,1980,"Roadway Express, Inc. v. Piper","","447 U.S. 752","1980-06-23","79-701","1979","1979-10","attorneys' and governmental employees' or officials' fees or compensation or licenses","1980-04-15",1,0,9,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1979/79-701"
"52240",450,754,1981,"Universities Research Assn., Inc. v. Coutu","","450 U.S. 754","1981-04-06","78-1945","1980","1980-10","standing to sue: private or implied cause of action","1980-11-10",1,9,0,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1980/78-1945"
"52503",457,393,1982,"California v. Grace Brethren Church","","457 U.S. 393","1982-06-18","81-31","1981","1981-10","comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals","1982-03-30",1,7,2,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1981/81-31"
"52681",462,669,1983,"Newport News Shipbuilding & Dry Dock Company v. Equal Employment Opportunity Commission","","462 U.S. 669","1983-06-20","82-411","1982","1982-10","sex discrimination in employment (cf. sex discrimination)","1983-04-27",1,2,7,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1982/82-411"
"52846",467,1,1984,"Kirby Forest Industries, Inc. v. United States","","467 U.S. 1","1984-05-21","82-1994","1983","1983-10","due process: takings clause, or other non-constitutional governmental taking of property","1984-02-22",1,9,0,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1983/82-1994"
"52910",467,867,1984,"Cooper v. Federal Reserve Bank of Richmond","","467 U.S. 867","1984-06-25","83-185","1983","1983-10","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","1984-03-19",1,8,0,"Harriet S. Shapiro","","loc","https://www.oyez.org/cases/1983/83-185"
