oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"51614",431,606,1977,"United States v. Ramsey","","431 U.S. 606","1977-06-06","76-167","1976","1976-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1977-03-30",1,6,3,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1976/76-167"
"51575",433,119,1977,"Jones v. North Carolina Prisoners' Labor Union, Inc.","","433 U.S. 119","1977-06-23","75-1874","1976","1976-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1977-04-19",1,7,2,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1976/75-1874"
"51708",434,28,1978,"Crist, et al. v. Cline & Brest","","434 U.S. 28","1978-06-14","76-1200","1977","1977-10","double jeopardy","1977-11-01,1978-03-22",2,3,6,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1977/76-1200"
"51837",435,850,1978,"United States v. MacDonald","","435 U.S. 850","1978-05-01","75-1892","1977","1977-10","speedy trial","1978-01-09",1,8,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1977/75-1892"
"51984",443,340,1979,"Federal Open Market Committee of the Federal Reserve System v. Merrill","","443 U.S. 340","1979-06-27","77-1387","1978","1978-10","Freedom of Information Act and related federal or state statutes or regulations","1978-12-06",1,7,2,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1978/77-1387"
"51895",440,741,1979,"United States v. Caceres","","440 U.S. 741","1979-04-02","76-1309","1978","1978-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1979-01-08,1979-01-09",2,7,2,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1978/76-1309"
"52000",441,780,1979,"United States v. Timmreck","","441 U.S. 780","1979-05-21","78-744","1978","1978-10","Federal Rules of Criminal Procedure","1979-04-16",1,9,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1978/78-744"
"52053",445,169,1980,"Forsham v. Harris","","445 U.S. 169","1980-03-03","78-1118","1979","1979-10","Freedom of Information Act and related federal or state statutes or regulations","1979-10-31",1,2,7,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1979/78-1118"
"52061",445,375,1980,"GTE Sylvania, Inc. v. Consumers Union of the United States, Inc.","","445 U.S. 375","1980-03-19","78-1248","1979","1979-10","Freedom of Information Act and related federal or state statutes or regulations","1979-11-28",1,9,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1979/78-1248"
"52063",446,14,1980,"Carlson, v. Green","","446 U.S. 14","1980-04-22","78-1261","1979","1979-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1980-01-07",1,2,7,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1979/78-1261"
"52059",446,238,1980,"Marshall v. Jerrico, Inc.","","446 U.S. 238","1980-04-28","79-253","1979","1979-10","due process: impartial decision maker","1980-03-19",1,9,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1979/79-253"
"52294",449,200,1980,"United States v. Will","","449 U.S. 200","1980-12-15","79-983","1980","1980-10","miscellaneous","1980-10-14",1,8,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1980/79-983"
"52268",452,490,1981,"American Textile Mfrs. Institute, Inc. v. Donovan","","452 U.S. 490","1981-06-17","79-1429","1980","1980-10","Occupational Safety and Health Act","1981-01-21",1,5,3,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1980/79-1429"
"52353",452,594,1981,"Donovan v. Dewey","","452 U.S. 594","1981-06-17","80-901","1980","1980-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1981-04-28",1,8,1,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1980/80-901"
"52546",458,591,1982,"Velde v. National Black Police Assn., Inc.","","458 U.S. 591","1982-06-30","80-1074","1981","1981-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1981-12-09",1,7,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1981/80-1074"
"52460",456,615,1982,"Federal Bureau of Investigation v. Abramson","","456 U.S. 615","1982-05-24","80-1735","1981","1981-10","Freedom of Information Act and related federal or state statutes or regulations","1982-01-11",1,5,4,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1981/80-1735"
"52510",456,188,1982,"Schweiker v. McClure","","456 U.S. 188","1982-04-20","81-212","1981","1981-10","due process: impartial decision maker","1982-03-01",1,9,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1981/81-212"
"52513",456,595,1982,"United States Department of State v. Washington Post Company","","456 U.S. 595","1982-05-17","81-535","1981","1981-10","Freedom of Information Act and related federal or state statutes or regulations","1982-03-31",1,9,0,"Kenneth Steven Geller","","loc","https://www.oyez.org/cases/1981/81-535"
