oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"52016",440,29,1979,"Director, Office of Workers' Compensation Programs v. Rasmussen","","440 U.S. 29","1979-02-21","77-1465","1978","1978-10","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","1978-11-28",1,0,8,"Kent L. Jones","","loc","https://www.oyez.org/cases/1978/77-1465"
"51935",441,434,1979,"Japan Line, Ltd. v. County of Los Angeles","","441 U.S. 434","1979-04-30","77-1378","1978","1978-10","state or local government tax","1979-01-08",1,8,1,"Kent L. Jones","","loc","https://www.oyez.org/cases/1978/77-1378"
"52129",445,388,1980,"United States Parole Commission v. Geraghty","","445 U.S. 388","1980-03-19","78-572","1979","1979-10","standing to sue: live dispute","1979-10-02",1,5,4,"Kent L. Jones","","loc","https://www.oyez.org/cases/1979/78-572"
"52055",444,348,1980,"Brown v. Glines","","444 U.S. 348","1980-01-21","78-1006","1979","1979-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1979-11-06",1,5,3,"Kent L. Jones","","loc","https://www.oyez.org/cases/1979/78-1006"
"52122",444,453,1980,"Secretary of the Navy v. Huff","","444 U.S. 453","1980-01-21","78-599","1979","1979-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1979-11-06",1,5,3,"Kent L. Jones","","loc","https://www.oyez.org/cases/1979/78-599"
"52212",444,460,1980,"Hatzlachh Supply Company, Inc. v. United States","","444 U.S. 460","1980-01-21","78-1175","1979","1979-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1979-12-05",1,8,1,"Kent L. Jones","","loc","https://www.oyez.org/cases/1979/78-1175"
"53965",502,164,1991,"United States Department of State v. Ray","","502 U.S. 164","1991-12-16","90-747","1991","1991-10","Freedom of Information Act and related federal or state statutes or regulations","1991-10-09",1,8,0,"Kent L. Jones","","loc","https://www.oyez.org/cases/1991/90-747"
"54034",503,79,1992,"INDOPCO, Inc. v. Commissioner of Internal Revenue","","503 U.S. 79","1992-02-26","90-1278","1991","1991-10","federal taxation of gifts, personal, business, or professional expenses","1991-11-12",1,0,9,"Kent L. Jones","","loc","https://www.oyez.org/cases/1991/90-1278"
"54026",503,47,1992,"Holywell Corporation v. Smith","","503 U.S. 47","1992-02-25","90-1361","1991","1991-10","federal taxation, typically under provisions of the Internal Revenue Code","1991-12-04",1,9,0,"Kent L. Jones","","loc","https://www.oyez.org/cases/1991/90-1361"
"53991",505,71,1992,"Kraft General Foods, Inc. v. Iowa Department of Revenue & Finance","","505 U.S. 71","1992-06-18","90-1918","1991","1991-10","state or local government tax","1992-04-22",1,7,2,"Kent L. Jones","","loc","https://www.oyez.org/cases/1991/90-1918"
