oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"54223",512,107,1994,"Livadas v. Bradshaw","","512 U.S. 107","1994-06-13","92-1920","1993","1993-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","1994-04-26",1,9,0,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1993/92-1920"
"54370",514,52,1995,"Mastrobuono v. Shearson Lehman Hutton, Inc.","","514 U.S. 52","1995-03-06","94-18","1994","1994-10","election of remedies: legal remedies available to injured persons or things","1995-01-10",1,8,1,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1994/94-18"
"54350",515,417,1995,"Gutierrez de Martinez v. Lamagno","","515 U.S. 417","1995-06-14","94-167","1994","1994-10","judicial review of administrative agency's or administrative official's actions and procedures","1995-03-22",1,5,4,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1994/94-167"
"54375",515,29,1995,"North Star Steel Company v. Thomas","","515 U.S. 29","1995-05-30","94-834","1994","1994-10","subconstitutional fair procedure: timeliness","1995-04-25",1,0,9,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1994/94-834"
"54444",516,29,1995,"Libretti v. United States","","516 U.S. 29","1995-11-07","94-7427","1995","1995-10","Federal Rules of Criminal Procedure","1995-10-03",1,1,8,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1995/94-7427"
"54402",516,152,1996,"Brotherhood of Locomotive Engineers v. Atchison, Topeka & Santa Fe Railroad Company","","516 U.S. 152","1996-01-08","94-1592","1995","1995-10","labor-management disputes: working conditions","1995-10-30",1,0,9,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1995/94-1592"
"54416",517,654,1996,"Henderson v. United States","","517 U.S. 654","1996-05-20","95-232","1995","1995-10","Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","1996-03-19",1,6,3,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1995/95-232"
"54470",520,273,1997,"Young v. Fordice","","520 U.S. 273","1997-03-31","95-2031","1996","1996-10","Voting Rights Act of 1965, plus amendments","1997-01-06",1,9,0,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1996/95-2031"
"54509",520,651,1997,"Edmond v. United States","","520 U.S. 651","1997-05-19","96-262","1996","1996-10","military: draftee, or person subject to induction","1997-02-24",1,0,9,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1996/96-262"
"54495",521,121,1997,"Metropolitan Stevedore Company v. Rambo","","521 U.S. 121","1997-06-19","96-272","1996","1996-10","election of remedies: legal remedies available to injured persons or things","1997-03-17",1,3,6,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1996/96-272"
"54637",523,155,1998,"Lewis v. United States","","523 U.S. 155","1998-03-09","96-7151","1997","1997-10","statutory construction of criminal laws: miscellaneous","1997-11-12",1,8,1,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1997/96-7151"
"54619",523,726,1998,"Ohio Forestry Association, Inc. v. Sierra Club","","523 U.S. 726","1998-05-18","97-16","1997","1997-10","standing to sue: justiciable question","1998-02-25",1,9,0,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1997/97-16"
"54581",524,357,1998,"Pennsylvania Bd. of Probation and Parole v. Scott","","524 U.S. 357","1998-06-22","97-581","1997","1997-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1998-03-30",1,5,4,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1997/97-581"
"54638",524,1,1998,"United States v. Cabrales","","524 U.S. 1","1998-06-01","97-643","1997","1997-10","venue","1998-04-29",1,0,9,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1997/97-643"
"54685",525,471,1999,"Reno v. American-Arab Anti-Discrimination Committee","","525 U.S. 471","1999-02-24","97-1252","1998","1998-10","deportation (cf. immigration and naturalization)","1998-11-04",1,8,1,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1998/97-1252"
"54726",526,40,1999,"American Manufacturers' Mutual Insurance Company v. Sullivan","","526 U.S. 40","1999-03-03","97-2000","1998","1998-10","due process: miscellaneous (cf. loyalty oath), the residual code","1999-01-19",1,8,1,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1998/97-2000"
"54720",526,559,1999,"Florida v. White","","526 U.S. 559","1999-05-17","98-223","1998","1998-10","search and seizure, vehicles","1999-03-23",1,7,2,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1998/98-223"
"54842",528,119,2000,"Illinois v. Wardlow","","528 U.S. 119","2000-01-12","98-1036","1999","1999-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1999-11-02",1,5,4,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1999/98-1036"
"54831",530,103,2000,"Sims v. Apfel","","530 U.S. 103","2000-06-05","98-9537","1999","1999-10","judicial review of administrative agency's or administrative official's actions and procedures","2000-03-28",1,5,4,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/1999/98-9537"
"54930",531,57,2000,"Eastern Associated Coal Corporation v. United Mine Workers of America, District 17","","531 U.S. 57","2000-11-28","99-1038","2000","2000-10","labor-management disputes: employee discharge","2000-10-02",1,0,9,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/2000/99-1038"
"54874",532,1,2001,"Department of Interior v. Klamath Water Users Protective Association","","532 U.S. 1","2001-03-05","99-1871","2000","2000-10","Freedom of Information Act and related federal or state statutes or regulations","2001-01-10",1,0,9,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/2000/99-1871"
"54925",533,606,2001,"Palazzolo v. Rhode Island","","533 U.S. 606","2001-06-28","99-2047","2000","2000-10","due process: takings clause, or other non-constitutional governmental taking of property","2001-02-26",1,5,4,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/2000/99-2047"
"55001",534,112,2001,"United States v. Knights","","534 U.S. 112","2001-12-10","00-1260","2001","2001-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","2001-11-06",1,9,0,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/2001/00-1260"
"55002",535,81,2002,"Ragsdale v. Wolverine World Wide, Inc.","","535 U.S. 81","2002-03-19","00-6029","2001","2001-10","judicial review of administrative agency's or administrative official's actions and procedures","2002-01-07",1,4,5,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/2001/00-6029"
"55009",536,424,2002,"City of Columbus v. Ours Garage and Wrecker Service, Inc.","","536 U.S. 424","2002-06-20","01-419","2001","2001-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2002-04-23",1,7,2,"Malcolm L. Stewart","","loc","https://www.oyez.org/cases/2001/01-419"
