oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"55307",548,557,2006,"Hamdan v. Rumsfeld","","548 U.S. 557","2006-06-29","05-184","2005","2005-10","habeas corpus","2006-03-28",1,5,3,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2005/05-184"
"55500",553,591,2008,"Engquist v. Oregon Department of Agriculture","","553 U.S. 591","2008-06-09","07-474","2007","2007-10","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","2008-04-21",1,3,6,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2007/07-474"
"55619",557,0,2009,"District Attorney's Office for the Third Judicial District v. Osborne","","557 U.S. ___","2009-06-18","08-6","2008","2008-10","discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)","2009-03-02",1,5,4,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2008/08-6"
"55566",557,0,2009,"Northwest Austin Municipal Util. Dist. No. One v. Holder","","557 U.S. ___","2009-06-22","08-322","2008","2008-10","Voting Rights Act of 1965, plus amendments","2009-04-29",1,8,1,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2008/08-322"
"55666",559,460,2010,"United States v. Stevens","","559 U.S. 460","2010-04-20","08-769","2009","2009-10","First Amendment, miscellaneous (cf. comity: First Amendment)","2009-10-06",1,1,8,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2009/08-769"
"55631",558,1103,2010,"Pottawattamie County v. McGhee","","558 U.S. 1103","2010-01-04","08-1065","2009","2009-10","no merits: miscellaneous","2009-11-04",1,0,9,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2009/08-1065"
"55706",560,205,2010,"Lewis v. Chicago","","560 U.S. 205","2010-05-24","08-974","2009","2009-10","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","2010-02-22",1,9,0,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2009/08-974"
"55640",560,674,2010,"New Process Steel v. NLRB","","560 U.S. 674","2010-06-17","08-1457","2009","2009-10","judicial review of administrative agency's or administrative official's actions and procedures","2010-03-23",1,5,4,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2009/08-1457"
"55708",560,746,2010,"City of Ontario v. Quon","","560 U.S. 746","2010-06-17","08-1332","2009","2009-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","2010-04-19",1,9,0,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2009/08-1332"
"55771",562,134,2011,"National Aeronautics and Space Administration v. Nelson","","562 U.S. 134","2011-01-19","09-530","2010","2010-10","Freedom of Information Act and related federal or state statutes or regulations","2010-10-05",1,8,0,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2010/09-530"
"55729",563,125,2011,"Arizona Christian School Tuition Organization v. Winn","","563 U.S. 125","2011-04-04","09-987,09-991","2010","2010-10","standing to sue: direct injury","2010-11-03",1,5,4,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2010/09-987"
"55739",563,582,2011,"Chamber of Commerce of the United States v. Whiting","","563 U.S. 582","2011-05-26","09-115","2010","2010-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2010-12-08",1,3,5,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2010/09-115"
"55751",563,478,2011,"General Dynamics Corp. v. United States","","563 U.S. 478","2011-05-23","09-1298","2010","2010-10","privacy (cf. libel, comity: privacy)","2011-01-18",1,9,0,"Neal Kumar Katyal","","scotusBound","https://www.oyez.org/cases/2010/09-1298"
