usCite,caseName,dateDecision
"5 U.S. 45","GEORGE WILSON v. RICHARD MASON, DEVISEE OF GEORGE MASON","1801-12-15"
"10 U.S. 3","SCOTT v. NEGRO BEN","1810-02-07"
"11 U.S. 206","RIDDLE v. MOSS","1812-03-10"
"16 U.S. 168","SWAN v. THE UNION INSURANCE COMPANY OF MARYLAND","1818-02-18"
"17 U.S. 84","THE EXPERIMENT","1819-02"
"17 U.S. 85","WEIGHTMAN v. CALDWELL","1819-02-10"
"33 U.S. 399","THE UNITED STATES, PLAINTIFFS IN ERROR v. WALTER JONES, ADMINISTRATOR DE BONIS NON OF BENJAMIN G. ORR","1834-02-19"
"33 U.S. 387","THE UNITED STATES, PLAINTIFFS IN ERROR v. WALTER JONES, ADMINISTRATOR DE BONIS NON OF BENJAMIN G. ORR","1834-02-21"
"131 U.S. ixvii","ex parte HARMON","1845-12-30"
"48 U.S. 772","HALL NEILSON, PLAINTIFF IN ERROR, v. WILSON LAGOW","1849-03-13"
"51 U.S. 509","CHARLES J. GAYLER AND LEONARD BROWN, PLAINTIFFS IN ERROR, v. BENJAMIN G. WILDER","1851-03-03"
"154 U.S. 531","UNITED STATES v. HARRISON","1852-04-23"
"131 U.S. lxix","UNITED STATES v. LYNDE'S HEIRS","1852-02-19"
"55 U.S. 268","THE BOARD OF TRUSTEES FOR THE VINCENNES UNIVERSITY, PLAINTIFFS IN ERROR, v. THE STATE OF INDIANA","1853-01-25"
"154 U.S. 532","UNITED STATES v. CARRERE","1853-04-03"
"131 U.S. lxx","UNITED STATES v. CHETIMACHAS INDIANS","1852-12-15"
"131 U.S. lxx","MAYER v. THE VENELIA, HER TACKLE ETC., EDDES MASTER","1854-12-18"
"154 U.S. 533","STEAMBOAT NIAGARA v. VAN PELT","1855-02-15"
"154 U.S. 533","COGGESHALL v. HARTSHORN","1856-12-12"
"154 U.S. 534","GEORGE W. WATTERSTON, PLAINTIFF IN ERROR v. ANDREW M. PAYNE","1858-02-24"
"131 U.S. lxxi","PATRICK C. SHANNON, APPT., v. RAFALL GARCIA CAVAZOS, MARIA JOSEFA CAVAZOS, HIS WIFE, AND ESTAFANA GOZEARCOCHEA DE CORTINA","1858-04-19"
"131 U.S. lxxi","PHELPS v. EDGERTON","1861-03-05"
"131 U.S. lxxii","DAVIDSON v. LANIER","1861-03-14"
"68 U.S. 5","CROSS v. DE VALLE","1864-01-11"
"68 U.S. 682","RESOLUTE AND NORTHERNER","1864-04-18"
"154 U.S. 536","RICHARDSON v. LAWRENCE COUNTY","1864-01-25"
"154 U.S. 537","UNITED STATES v. BENJAMIN S. HALLOCK","1864-02-08"
"131 U.S. lxxiii","VINCENTE MIRAMONTES v. UNITED STATES","1864-02-15"
"154 U.S. 541","MILWAUKEE & MINNESOTA RAILROAD CO. v. JAMES T. SOUTTER","1864-02-23"
"154 U.S. 538","UNITED STATES v. OLIVERA et al.","1864-03-07"
"68 U.S. 578","HENRY A. BURR v. PETER S. DURYEE","1864-03-28"
"69 U.S. 443, note","ex parte MILWAUKIE AND MINNESOTA RAILROAD COMPANY","1865-02-20"
"154 U.S. 549","HORBACK et al. v. PORTER ET UX.","1865-12-18"
"131 U.S. lxxv","SMITH v. ORTON","1866-01-15"
"131 U.S. lxxx","DAYTON, CLAIMANT OF THE SCHOONER MONTEREY AND CARGO v. UNITED STATES","1866-02-26"
"131 U.S. lxxxi","MILWAUKEE AND MINNESOTA RAILROAD COMPANY v. HOWARD","1866-04-03"
"131 U.S. lxxxii","UNITED STATES v. ARMEJO","1866-04-03"
"154 U.S. 544","UNITED STATES v. DE HARO","1866-01-15"
"154 U.S. 546","ROGERS v. KEOKUK","1866-01-22"
"154 U.S. 548","DUVALL v. UNITED STATES","1866-04-03"
"72 U.S. 178","THE SCIENCE","1867-05-06"
"71 U.S. 458","DAVIDSON v. LANIER","1867-01-14"
"72 U.S. 211n","FIELD v. BIGELOW","1867-04-22"
"72 U.S. 337","TOWNSEND v. BURBANK","1867-05-13"
"154 U.S. 552","UNITED STATES v. LOUIS MAYRAND","1867-05-16"
"72 U.S. 480, note","LICENSE TAX CASES: HUGH CARNEY v. STATE OF IOWA","1867-05-06"
"154 U.S. 553","CONNELLSVILLE AND SOUTHERN PENNSYLVANIA RAILROAD v. BALTIMORE","1867-04-29"
"73 U.S. 577n","UNITED STATES v. ALIRE","1868-04-06"
"73 U.S. 770n","ST. LOUIS STREET FOUNDRY v. UNITED STATES","1868-03-25"
"154 U.S. 555","MYRA CLARK GAINES v. MANUEL J. LIZARDI ET AL","1868-04-06"
"154 U.S. 556","ASA HUNT, FRANKLIN H. EATON, JOSEPH P. MANNING AND GEORGE ARMSTRONG, APPTS., v. EPHRAIM H. BENDER, CHARLES A. HENRY AND ANNAN HENRY","1868-03-30"
"131 U.S. lxxxv","CLARK v. UNITED STATES","1868-03-30"
"154 U.S. 556","UNITED STATES v. EIGHTY-SEVEN BALES OF COTTON MARKED J.H.B. DAVENPORT & BURNS","1868-03-30"
"154 U.S. 554","ex parte MILWAUKEE & MINNESOTA RAILROAD CO.","1868-03-30"
"131 U.S. lxxxiii","WILLIAM H. CRANDALL v. THE STATE OF NEVADA","1867-12-23"
"154 U.S. 557","WILLIAMSON v. MOORE","1868-04-06"
"131 U.S. lxxxiv","WATERS v. BARRILL","1868-03-23"
"131 U.S. lxxxvi","CLARKE v. UNITED STATES","1868-03-16"
"131 U.S. lxxxvi","MILWAUKEE AND ST. PAUL RAILROAD COMPANY v. SOUTTER","1868-03-16"
"131 U.S. lxxxviii","PATTERSON v. HOA'S EXECUTRIX","1868-03-27"
"131 U.S. ccv","MARSHALL v. KNOTT","1868-02-24"
"154 U.S. 555","UNITED STATES v. COOK","1868-02-24"
"154 U.S. 563","WILLIAM R. DUTTON v. JOHN G. PALAIRET, RICHARD T. PALAIRET, AND JOHN G. BOOTY","1869-11-08"
"154 U.S. 559","CHARLES HART SMITH v. THE WASHINGTON GAS LIGHT CO.","1869-03-01"
"131 U.S. lxxxv","GUSTAVE A. LE MORE AND LEONTERE LE MORE, CLAIMANTS OF 830 BALES OF COTTON v. THE UNITED STATES","1869-03-22"
"154 U.S. 564","THE UNITED STATES v. ALBERT L. MOWRY","1869-04-12"
"154 U.S. 565","UNITED STATES v. SAMUEL J. MORGAN","1869-04-12"
"131 U.S. xciii","THE CITY OF CHICAGO v. BIGELOW, ADMR. OF SAMUEL NICHOLSON","1869-04-12"
"154 U.S. 558","EDWARD W. BURBANK v. EDMOND B. BIGELOW","1869-01-11"
"154 U.S. 566","WILLIAM F. DAVIDSON v. JACOB L. STARCHER","1869-01-11"
"154 U.S. 557","CHARLES W. TILLINGHAST AND JOSEPH M. WARREN v. MORRISS VAN BUSKIRK ET AL","1869-02-08"
"131 U.S. lxxxix","THE STATE OF VIRGINIA, PETITIONER","1869-02-15"
"131 U.S. lxxxix","A.L. MARSHALL AND C.S SILVER, ADMINISTRATOR, ETC., OF FINICE CARUTHERS, DECEASED v. ROBERT J. LADD","1869-02-15"
"154 U.S. 567","EMILIE J. MOULDER v. DOUGLAS F. FORREST","1869-02-15"
"154 U.S. 561","JAS. W. FINLEY v. THOMAS M. ISETT, WILLIAM C. BREWSTER AND SAGE O. BUTLER","1869-04-15"
"131 U.S. xci","WILLIAM B. MORRIS v. SAMUEL SHRINER ET AL","1869-04-15"
"131 U.S. xcii","THE AMERICAN WOOD PAPER COMPANY v. JACOB D. HEFT ET AL","1869-03-01"
"75 U.S. 668","JOHN MACGWIRE v. MARY L. TYLER ET AL","1869-11-15"
"131 U.S. xciv","LYNCH v. DE BERNAL","1869-11-05"
"75 U.S. 14","LECIL W. DEAN, APPT., v. ROBERT D. HARVEY, ADMINISTRATOR OF W.H. YOUNELL, DECEASED","1869-11-01"
"76 U.S. 38","BASSET v. UNITED STATES","1870-01-24"
"131 U.S. xcvii","O.B. AND O.S. LATHAM v. UNITED STATES","1869-12-13"
"131 U.S. c","JACOB D. COX, SECRETARY OF THE INTERIOR, v. THE UNITED STATES, EX REL. WILLIAM MCGARRAHAN","1870-01-19"
"131 U.S. xcv","THE STATE OF TEXAS v. GEORGE W. WHITE, JOHN CHILES, GEORGE W. STEWART, ET AL","1870-02-07"
"131 U.S. xcv","THE STATE OF TEXAS v. GEORGE W. WHITE, JOHN CHILES, ET AL","1870-02-07"
"154 U.S. 568","THE BURLINGTON AND MISSOURI RIVER R.R. COMPANY v. MILLS COUNTY, IOWA","1870-02-07"
"131 U.S. xcviii","A.B. WOOD v. DE FORREST RICHARDS","1870-04-30"
"154 U.S. 576","WILLIAM S. GODBE v. TOOTLE ET AL","1870-04-30"
"154 U.S. 577","UNITED STATES v. WILLIAM POLLARD","1870-02-28"
"154 U.S. 567","ex parte PARGOUD","1870-02-28"
"154 U.S. 578","HANNAH RILEY v. WILLIAM B. WELLES","1870-03-07"
"154 U.S. 569","BENJAMIN F. FLANDERS, DEPUTY GENERAL AGENT OF THE UNITED STATES TREASURY DEPARTMENT, v. JOHN P. TWEED","1870-03-21"
"154 U.S. 570","OTIS H. WEED AND ORIN SHERMAN, COPARTNERS, AS O.H. WEED & COMPANY v. JOHN H. CRANE","1870-04-04"
"154 U.S. 573","THE CITY OF KENOSHA v. JOSHUA F. LAMSON","1870-04-04"
"154 U.S. 571","THE BOARD OF SUPERVISORS OF WASHINGTON COUNTY, IOWA, v. THE UNITED STATES EX REL. RICHARD MORTIMER","1870-04-04"
"154 U.S. 571","THE STEAMBOAT NORTHERN BELLE v. JOHN ROBSON","1870-04-11"
"154 U.S. 575","JONATHAN C. STURTEVANT v. JOHN M. HERNDON","1870-04-30"
"154 U.S. 574","ISSAC UNDERHILL v. JOHN M. HERNDON","1870-04-30"
"154 U.S. 573","ENOCH LONG, ABEL STURTEVANT AND JOHN ROBINSON v. PEGGY F. PATTON","1870-04-30"
"154 U.S. 575","ISSAC UNDERHILL v. PEGGY F. PATTON","1870-04-30"
"76 U.S. 784n","HARTFORD FIRE INSURANCE COMPANY v. ISSAC VAN DUZER","1870-04-25"
"154 U.S. 568","WILLARD v. WILLARD","1870-03-07"
"131 U.S. xcvii","KENOSHA v. CAMPBELL","1870-04-04"
"131 U.S. xcviii","DOWNING v. MCCARTNEY","1870-04-11"
"131 U.S. xcix","BALTIMORE & OHIO RAILROAD v. MARSHALL COUNTY SUPERVISORS","1869-12-13"
"154 U.S. 581","COUSIN v. GENERES","1871-11-20"
"154 U.S. 581","VAN SLYKE v. WISCONSIN","1871-11-27"
"154 U.S. 580","UNITED STATES v. MYNDERSE","1871-11-27"
"154 U.S. 579","ex parte WAPLES","1871-01-09"
"154 U.S. 588","NORTHWESTERN UNION PACKET COMPANY v. HOME INSURANCE COMPANY OF NEW YORK","1872-01-29"
"154 U.S. 584","PLANT v. STOVALL","1872-02-05"
"131 U.S. cx","HUNTINGTON v. STATE OF TEXAS","1872-02-05"
"131 U.S. cx","MONGER v. SHIRLEY","1872-03-25"
"154 U.S. 586","THE ST. JOHN","1872-04-01"
"154 U.S. 583","JACOWAY v. DENTON","1872-04-01"
"131 U.S. ci","PEYTON v. HEINEKIN","1872-04-15"
"131 U.S. civ","WELCH v. BARNARD","1872-04-22"
"154 U.S. 587","GERMAIN v. MASON","1872-04-22"
"154 U.S. 584","THE DES MOINES","1872-03-25"
"154 U.S. 582","HOLMES v. SEVIER","1872-05-06"
"131 U.S. cvi","BAIRD v. UNITED STATES","1872-11-18"
"154 U.S. 589","DAVIDSON v. CONNELLY","1872-02-05"
"154 U.S. 589","GRAY v. COAN","1871-12-18"
"131 U.S. ccv","STARK v. UNITED STATES","1872-02-12"
"131 U.S. ccvi","UNITED STATES v. SMOOT","1872-02-19"
"84 U.S. 167","CRILLEY v. BURROWS","1873-04-28"
"84 U.S. 335n","BARNES v. THE RAILROADS","1873-04-28"
"131 U.S. cx","WILLIAMS v. REYNOLDS","1873-01-20"
"154 U.S. 590","UNITED STATES v. STAFFORD","1873-01-27"
"131 U.S. cxiv","MAYS v. FRITTON","1873-02-10"
"131 U.S. ciii","GARDNER v. GOODYEAR DENTAL VULCANITE COMPANY","1873-03-03"
"154 U.S. 592","BANK OF NEW ORLEANS v. CALDWELL","1873-03-03"
"154 U.S. 590","JONES v. FRITSCHLE","1873-01-06"
"154 U.S. 590","DIAZ v. UNITED STATES","1873-03-03"
"154 U.S. 591","NORTON v. JAMISON","1873-01-13"
"154 U.S. 592","HUMBIRD v. JACKSON COUNTY","1873-04-28"
"154 U.S. 592","CHARLESTON v. JESSUP","1873-03-31"
"85 U.S. 307n","THE NEW ENGLAND MUTUAL INSURANCE COMPANY v. THE DETROIT AND CLEVELAND STEAM NAVIGATION COMPANY","1874-01-05"
"88 U.S. 98n","SAMUEL MCCLELLAND et al. v. THE UNITED STATES","1875-01-11"
"154 U.S. 593","THE ADELIA","1873-11-17"
"154 U.S. 597","WOODMAN PEBBLING MACHINE COMPANY v. GUILD","1874-01-19"
"131 U.S. cxix","UNDERWOOD v. MCVEIGH","1874-03-23"
"154 U.S. 596","ALLEN v. TARLTON","1874-03-23"
"131 U.S. cxv","GARRATT v. SEIBERT","1874-03-23"
"131 U.S. cxxv","BOISE COUNTY COMMISSIONERS v. GORMAN","1874-03-16"
"154 U.S. 595","KENNER v. UNITED STATES","1874-05-04"
"154 U.S. 596","UNITED STATES v. HATCH","1874-05-04"
"131 U.S. cxviii","WILLIAM STITT v. ALFRED HUIDEKOPER","1873-10-28"
"131 U.S. ccvii","ex parte LANGE","1874-01-12"
"88 U.S. 33","DOANE v. GLENN","1874-11-23"
"90 U.S. 150","STICKNEY, ASSIGNEE, v. WILT","1874-11-23"
"154 U.S. 598","HARDY v. HARBIN","1874-11-16"
"154 U.S. 608","NORTHWESTERN UNION PACKET COMPANY v. VILES","1874-12-07"
"154 U.S. 610","BASSE v. BROWNSVILLE","1875-01-11"
"131 U.S. cxxxi","MONGER v. SHIRLEY","1875-01-18"
"154 U.S. 617","COMMERCIAL NATIONAL BANK OF CLEVELAND v. IOLA","1875-02-01"
"154 U.S. 610","ROGERS LOCOMOTIVE AND MACHINE WORKS v. HELM","1875-02-01"
"131 U.S. cxxvi","DANE v. CHICAGO MANUFACTURING COMPANY","1875-01-01"
"131 U.S. cxxxv","TREAT v. JEMISON","1875-04-05"
"92 U.S. 664n","JAMES L.D. MORRISON, TRUSTEE OF JULIA A.A.S. MORRISON v. WILLIAM H. BENTON","1876-02-28"
"92 U.S. 676n","SOUTHWESTERN RAILROAD COMPANY v. STATE OF GEORGIA","1876-05-08"
"154 U.S. 618","THE ELIZA HANCOX","1875-11-15"
"154 U.S. 618","TURNER v. WARD","1876-02-14"
"91 U.S. 683","STATE OF FLORIDA v. ANDERSON","1876-05-01"
"154 U.S. 620","MEAD v. PINYARD","1876-02-07"
"154 U.S. 619","CRARY v. DEVLIN","1876-02-21"
"92 U.S. 760n","MISSOURI, KANSAS, AND TEXAS RAILWAY COMPANY v. UNITED STATES","1876-04-10"
"91 U.S. 495n","WESTERN UNION TELEGRAPH COMPANY, PLFF. IN ERR., v. CHARLES EYSER","1876-01-31"
"131 U.S. ccviii","BERGNER v. PALETHORP","1876-03-27"
"154 U.S. 625","DAVIES v. SLIDELL","1876-11-27"
"131 U.S. cxxxvii","OSBORN v. UNITED STATES","1876-11-27"
"154 U.S. 624","HERHOLD v. UPTON","1876-12-04"
"131 U.S. cxliv","GERMANICA NATIONAL BANK v. CASE","1877-01-15"
"131 U.S. ccix","MEYER v. PRITCHARD","1877-01-15"
"154 U.S. 627","HAYNES v. PICKETT","1877-03-13"
"131 U.S. cxliii","RUCKMAN v. BERGHOLZ","1877-03-13"
"131 U.S. cxlii","MEVS v. CONOVER","1877-03-13"
"154 U.S. 626","MORRILL v. STATE OF WISCONSIN","1877-03-19"
"154 U.S. 625","JOHANSSON v. STEPHANSON","1877-04-09"
"131 U.S. cxlii","FOREE v. MCVEIGH","1877-04-16"
"131 U.S. cxlvi","VAN NORDEN v. BENNER","1877-04-30"
"154 U.S. 626","PITTSBURGH LOCOMOTIVE AND CAR WORKS v. NATIONAL BANK OF KEOKUK","1877-05-07"
"131 U.S. ccx","WILSON v. HOSS","1877-05-07"
"94 U.S. 680","CASEY v. GALLI","1877-05-07"
"154 U.S. 623","BERREYESA v. UNITED STATES","1876-12-11"
"154 U.S. 624","MACKALL v. RICHARDS","1877-03-19"
"154 U.S. 628","MCCREADY v. VIRGINIA","1877-04-30"
"131 U.S. clviii","NONCONNAH TURNPIKE v. TENNESSEE EX REL. TALLEY","1877-11-05"
"154 U.S. 635","GOODENOUGH HORSESHOE MANUFACTURING COMPANY v. RHODE ISLAND HORSESHOE COMPANY","1877-11-05"
"131 U.S. cxlvi","THATCHER v. KAUCHER","1877-12-17"
"154 U.S. 640","NORTHWESTERN LIFE INSURANCE COMPANY v. MARTIN","1878-01-07"
"131 U.S. clix","UNITED STATES v. DRISCOLL","1878-04-08"
"131 U.S. ccxi","STATEN ISLAND RAILWAY COMPANY v. LAMBERT","1878-01-07"
"154 U.S. 639","KEOGH v. ORIENT FIRE INSURANCE COMPANY","1878-01-28"
"154 U.S. 632","STRONG v. UNITED STATES","1878-02-11"
"154 U.S. 629","HUTCHINSON v. THE NORTHFIELD","1878-02-18"
"154 U.S. 631","CLARK v. BEECHER","1878-03-25"
"131 U.S. cli","SAWYER v. WEAVER","1878-03-25"
"131 U.S. cliii","CONNECTICUT GENERAL LIFE INSURANCE COMPANY v. BURNSTINE","1878-03-25"
"154 U.S. 637","UNITED STATES v. ATCHISON, TOPEKA AND SANTA FE RAILROAD COMPANY","1878-04-08"
"131 U.S. clvi","RISHER v. SMITH","1878-04-22"
"154 U.S. 628","FIRST NATIONAL BANK OF CINCINNATI v. COOK","1878-02-11"
"131 U.S. cl","JONES v. GROVER AND BAKER SEWING-MACHINE COMPANY","1878-02-18"
"156 U.S. 629","CORRY v. CAMPBELL","1878-02-18"
"131 U.S. cxxxix","PHIPPS v. SEDGWICK","1878-05-06"
"98 U.S. 514","BRICK v. BRICK","1879-05-05"
"97 U.S. 692n","THE FIRST NATIONAL BANK OF THE CITY OF NEW YORK v. ABNER C. SHOEMAKER","1878-12-16"
"99 U.S. 25n","HUSSEY v. MERRITT","1879-03-03"
