volume,page,year,pageURL,pagePDF,caseTitle,oldCite,usCite
1,30,1776,0,0,"Note","1 Dall. 30","1 U.S. 30"
1,31,1776,0,0,"Title Page","1 Dall. 31","1 U.S. 31"
1,32,1776,0,0,"Appointments","1 Dall. 32","1 U.S. 32"
1,46,1780,0,0,"Appointments","1 Dall. 46","1 U.S. 46"
1,76,1783,0,0,"Appointments","1 Dall. 76","1 U.S. 76"
1,84,1784,0,0,"Appointments","1 Dall. 84","1 U.S. 84"
1,489,1789,0,0,"Appendix","1 Dall. 489","1 U.S. 489"
2,399,1790,0,0,Appointments and Orders,2 Dall. 399,2 U.S. 399
2,400,1790,0,0,Appointments and Orders,2 Dall. 400,2 U.S. 400
2,400,1791,0,0,Appointments and Orders,2 Dall. 400,2 U.S. 400
2,402,1792,0,0,"Appointments and Orders","2 Dall. 402","2 U.S. 402"
2,411,1792,0,0,Rule,2 Dall. 411,2 U.S. 411
2,480,1793,0,0,Appointment,2 Dall. 480,2 U.S. 480
3,120,1795,0,0,Rules of the Supreme Court,3 Dall. 120,3 U.S. 120
3,335,1796,0,0,Rules of the Supreme Court,3 Dall. 335,3 U.S. 335
3,356,1797,0,0,Rules of the Supreme Court,3 Dall. 356,3 U.S. 356
3,377,1797,0,0,Rules of the Supreme Court,3 Dall. 377,3 U.S. 377
5,367,1803,0,0,Appendix,1 Cranch 367,5 U.S. 367
5,467,1803,0,0,Index,1 Cranch 467,5 U.S. 467
6,455,1805,0,0,Index to the Principal Matters Contained in this Volume,2 Cranch 455,6 U.S. 455
7,237,1806,0,0,Cases Argued and Decided,3 Cranch 237,7 U.S. 237
7,239,1806,0,0,General Rule,3 Cranch 239,7 U.S. 239
7,517,1806,0,0,Index to The Principal Matters,3 Cranch 517,7 U.S. 517
8,183,1808,0,0,Cases Argued and Decided in the Supreme Court of the United States,4 Cranch 183,8 U.S. 183
8,455,1808,0,0,Appendix,4 Cranch 455,8 U.S. 455
8,519,1808,0,0,Index to the Principal Matters,4 Cranch 519,8 U.S. 519
8,537,1808,0,0,General Rules,4 Cranch 537,8 U.S. 537
9,375,1809,0,0,Index,5 Cranch 375,9 U.S. 375
10,1,1810,0,0,Judges List,6 Cranch 1,10 U.S. 1
10,341,1810,0,0,Index,6 Cranch 341,10 U.S. 341
11,633,1813,0,0,Index,7 Cranch 633,11 U.S. 633
12,479,1814,0,0,Index to the Principal Matters Contained in Volume VIII,8 Cranch 479,12 U.S. 479
13,505,1815,0,0,Index to the Principal Matters Contained in Volume IX,9 Cranch 505,13 U.S. 505
14,489,1816,0,0,Appendix,1 Wheat. 489,14 U.S. 489
14,535,1816,0,0,Index to the Principal Matters in this Volume,1 Wheat. 535,14 U.S. 535
15,1,1817,0,0,Appendix,2 Wheat. 1,15 U.S. 1
15,89,1817,0,0,Index to the Principal Matters in this Volume,2 Wheat. 89,15 U.S. 89
16,1,1818,0,0,Appendix,3 Wheat. 1,16 U.S. 1
16,31,1818,0,0,Index,3 Wheat. 31,16 U.S. 31
17,3,1819,0,0,Appendix,4 Wheat. 3,17 U.S. 3
17,61,1819,0,0,Index to the Principle Matters in this Volume,4 Wheat. 61,17 U.S. 61
17,76,1819,0,0,Errata,4 Wheat. 76,17 U.S. 76
18,1,1820,0,0,Appendix,5 Wheat. 1,18 U.S. 1
18,159,1820,0,0,Index to the Principal Matters in this Volume,5 Wheat. 159,18 U.S. 159
19,1,1821,0,0,Appendix,6 Wheat. 1,19 U.S. 1
19,75,1821,0,0,Index to the Principal Matters in this Volume,6 Wheat. 75,19 U.S. 75
20,617,1822,0,0,Index to the Principal Matters in this Volume,7 Wheat. 617,20 U.S. 617
20,631,1822,0,0,Errata,7 Wheat. 631,20 U.S. 631
21,1,1823,0,0,Appendix,8 Wheat. 1,21 U.S. 1
21,25,1823,0,0,Index to the Principal Matters in this Volume,8 Wheat. 25,21 U.S. 25
22,915,1824,0,0,Index,9 Wheat. 915,22 U.S. 915
23,1,1825,0,0,Appendix,10 Wheat. 1,23 U.S. 1
23,53,1825,0,0,Index,10 Wheat. 53,23 U.S. 53
25,645,1827,0,0,Index,12 Wheat. 645,25 U.S. 645
26,695,1828,0,0,Index of the Principal Matters,1 Pet. 695,26 U.S. 695
27,681,1829,0,0,Appendix,2 Pet. 681,27 U.S. 681
27,693,1829,0,0,Index of Principal Matters,2 Pet. 693,27 U.S. 693
28,481,1830,0,0,Appendix,3 Pet. 481,28 U.S. 481
28,505,1830,0,0,Index to Principal Matters,3 Pet. 505,28 U.S. 505
29,567,1830,0,0,Index,4 Pet. 567,29 U.S. 567
