term,caseTitle,docket,dateArgument,url,file,notes
"1968","Younger v. Harris","163","1969-04-01","https://www.supremecourt.gov/pdfs/transcripts/1968/68-163_04-01-1969.pdf","/sources/scotus/transcripts/1968/163_1969-04-01.pdf",""
"1968","Samuels v. Mackell","580","1969-04-01","https://www.supremecourt.gov/pdfs/transcripts/1968/68-580_68-813_04-01-1969.pdf","/sources/scotus/transcripts/1968/580_1969-04-01.pdf",""
"1968","Williams v. Oklahoma City","841","1969-04-01","https://www.supremecourt.gov/pdfs/transcripts/1968/68-841_04-01-1969.pdf","/sources/scotus/transcripts/1968/841_1969-04-01.pdf",""
"1968","Red Lion Broadcasting Co. v. FCC","2","1969-04-02","https://www.supremecourt.gov/pdfs/transcripts/1968/68-2_04-02-1969.pdf","/sources/scotus/transcripts/1968/2_1969-04-02.pdf",""
"1968","Sullivan v. United States","610","1969-04-02","https://www.supremecourt.gov/pdfs/transcripts/1968/68-610_04-02-1969.pdf","/sources/scotus/transcripts/1968/610_1969-04-02.pdf",""
"1968","United States v. King","672","1969-04-02","https://www.supremecourt.gov/pdfs/transcripts/1968/68-672_04-02-1969.pdf","/sources/scotus/transcripts/1968/672_1969-04-02.pdf",""
"1968","Williams v. Oklahoma City","841","1969-04-02","https://www.supremecourt.gov/pdfs/transcripts/1968/68-841_04-02-1969.pdf","/sources/scotus/transcripts/1968/841_1969-04-02.pdf",""
"1968","Red Lion Broadcasting Co. v. FCC","2","1969-04-03","https://www.supremecourt.gov/pdfs/transcripts/1968/68-2_04-03-1969.pdf","/sources/scotus/transcripts/1968/2_1969-04-03.pdf",""
"1968","United States v. Radio Television News Directors Association","717","1969-04-03","https://www.supremecourt.gov/pdfs/transcripts/1968/68-717_04-03-1969.pdf","/sources/scotus/transcripts/1968/717_1969-04-03.pdf",""
"1968","Sniadach v. Family Finance Corp. of Bay View","130","1969-04-21","https://www.supremecourt.gov/pdfs/transcripts/1968/68-130_04-21-1969.pdf","/sources/scotus/transcripts/1968/130_1969-04-21.pdf",""
"1968","Powell v. McCormack","138","1969-04-21","https://www.supremecourt.gov/pdfs/transcripts/1968/68-138_04-21-1969.pdf","/sources/scotus/transcripts/1968/138_1969-04-21.pdf",""
"1968","Willingham v. Morgan","228","1969-04-22","https://www.supremecourt.gov/pdfs/transcripts/1968/68-228_04-22-1969.pdf","/sources/scotus/transcripts/1968/228_1969-04-22.pdf",""
"1968","United States v. Estate of Grace","574","1969-04-22","https://www.supremecourt.gov/pdfs/transcripts/1968/68-574_04-22-1969.pdf","/sources/scotus/transcripts/1968/574_1969-04-22.pdf",""
"1968","Perkins v. Standard Oil Co. of Cal.","624","1969-04-22","https://www.supremecourt.gov/pdfs/transcripts/1968/68-624_04-22-1969.pdf","/sources/scotus/transcripts/1968/624_1969-04-22.pdf",""
"1968","Perkins v. Standard Oil Co. of Cal.","624","1969-04-23","https://www.supremecourt.gov/pdfs/transcripts/1968/68-624_04-23-1969.pdf","/sources/scotus/transcripts/1968/624_1969-04-23.pdf",""
"1968","Banks v. California","670","1969-04-23","https://www.supremecourt.gov/pdfs/transcripts/1968/68-670_04-23-1969.pdf","/sources/scotus/transcripts/1968/670_1969-04-23.pdf",""
"1968","Gaston County v. United States","701","1969-04-23","https://www.supremecourt.gov/pdfs/transcripts/1968/68-701_04-23-1969.pdf","/sources/scotus/transcripts/1968/701_1969-04-23.pdf",""
"1968","Harrington v. California","750","1969-04-23","https://www.supremecourt.gov/pdfs/transcripts/1968/68-750_04-23-1969.pdf","/sources/scotus/transcripts/1968/750_1969-04-23.pdf",""
"1968","Gaston County v. United States","701","1969-04-24","https://www.supremecourt.gov/pdfs/transcripts/1968/68-701_04-24-1969.pdf","/sources/scotus/transcripts/1968/701_1969-04-24.pdf",""
"1968","Cipriano v. City of Houma","705","1969-04-24","https://www.supremecourt.gov/pdfs/transcripts/1968/68-705_04-24-1969.pdf","/sources/scotus/transcripts/1968/705_1969-04-24.pdf",""
"1968","Crane v. Cedar Rapids & Iowa City R. Co.","791","1969-04-24","https://www.supremecourt.gov/pdfs/transcripts/1968/68-791_04-24-1969.pdf","/sources/scotus/transcripts/1968/791_1969-04-24.pdf",""
"1968","Noyd v. Bond","830","1969-04-24","https://www.supremecourt.gov/pdfs/transcripts/1968/68-830_04-24-1969.pdf","/sources/scotus/transcripts/1968/830_1969-04-24.pdf",""
"1968","United States v. Montgomery County Bd. of Ed.","798","1969-04-28","https://www.supremecourt.gov/pdfs/transcripts/1968/68-798_68-997_04-28-1969.pdf","/sources/scotus/transcripts/1968/798_1969-04-28.pdf",""
"1968","Utah Pub. Serv. Comm'n v. El Paso Natural Gas Co.","776","1969-04-29","https://www.supremecourt.gov/pdfs/transcripts/1968/68-776_04-29-1969.pdf","/sources/scotus/transcripts/1968/776_1969-04-29.pdf",""
"1968","NLRB v. Wyman-Gordon Co.","463","1969-03-03","https://www.supremecourt.gov/pdfs/transcripts/1968/68-463_03-03-1969.pdf","/sources/scotus/transcripts/1968/463_1969-03-03.pdf",""
"1968","Bingler v. Johnson","473","1969-03-03","https://www.supremecourt.gov/pdfs/transcripts/1968/68-473_03-03-1969.pdf","/sources/scotus/transcripts/1968/473_1969-03-03.pdf",""
"1968","National Bd. of YMCA v. United States","517","1969-03-03","https://www.supremecourt.gov/pdfs/transcripts/1968/68-517_03-03-1969.pdf","/sources/scotus/transcripts/1968/517_1969-03-03.pdf",""
"1968","Bingler v. Johnson","473","1969-03-04","https://www.supremecourt.gov/pdfs/transcripts/1968/68-473_03-04-1969.pdf","/sources/scotus/transcripts/1968/473_1969-03-04.pdf",""
"1968","Maxwell v. Bishop","622","1969-03-04","https://www.supremecourt.gov/pdfs/transcripts/1968/68-622_03-04-1969.pdf","/sources/scotus/transcripts/1968/622_1969-03-04.pdf",""
