nameAdvocate,homeAdvocate,dateArgument,caseInfo,citeInfo,role,transcriptURL,notes
Belva Ann Lockwood,"Washington, DC",1880-11-30,"Kaiser v. Stickney (No. 90), 131 U.S. app. clxxxvii, 102 U.S. 176 (1880)","Minutes of the Supreme Court, Oct. 20, 1880-Nov. 14, 1882, Microfilm M215, Roll No. 14",,,
Belva Ann Lockwood,,"1906-01-17,1906-01-18","United States v. Cherokee Nation (No. 346), 202 U.S. 101 (1906)",1905 J. Sup. Ct. U.S. 98-99,,,
Lyda Burton Conley,"Kansas City, Kansas",1910-01-14,"Conley v. Ballinger (No. 77), 216 U.S. 84 (1910) [PRO SE]",1909 J. Sup. Ct. U.S. 90,,,
Ellen Spencer Mussey,"Washington, DC",1913-03-12,"Shelton v. King (No. 180), 229 U.S. 90 (1913)",1912 J. Sup. Ct. U.S. 151,,,
Sarah Herring Sorin,"Tucson, AZ",1913-11-06,"Work v. United Globe Mines (No. 46), 231 U.S. 595 (1914)",1913 J. Sup. Ct. U.S. 43,,,
Mary O'Toole,"Washington, DC",1920-01-23,"Houston v. Ormes (No. 86), 252 U.S. 469 (1920)",1919 J. Sup. Ct. U.S. 131,,,
Helen Z. M. Rodgers,"Buffalo, NY",1920-10-12,"Int'l Bridge Co. v. New York (No. 46), 252 U.S. 126 (1920)",1920 J. Sup. Ct. U.S. 30,,,
Mary L. Greer Conklin,"Washington, D.C.",1920-10-12,"Conklin v. Conklin (No. 192) & Conklin v. Augusta Chronicle Pub. Co. (No. 353), 254 U.S. 608 (1920) [PRO SE]",1920 J. Sup. Ct. U.S. 30,,,
Annette Abbott Adams,Ass't Attorney General,1920-11-12,"United States v. Northern Pacific R.R. (No. 88), 254 U.S. 251 (1920)",1920 J. Sup. Ct. U.S. 62,,,
Annette Abbott Adams,,1920-12-08,"J.W. Goldsmith, Jr. v. U.S. (No. 214), 254 U.S. 505 (1921)",1920 J. Sup. Ct. U.S. 88,,,
Annette Abbott Adams,,1921-03-10,"United States v. Yuginovich (No. 523), 256 U.S. 450 (1921)",1920 J. Sup. Ct. U.S. 176,,,
Annette Abbott Adams,,1921-03-22,"Dillon v. Gloss (No. 251), 256 U.S. 368 (1921)",1920 J. Sup. Ct. U.S. 193,,,
