oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52150,447,191,1980,Coffy v. Republic Steel Corporation,0,447 U.S. 191,1980-06-10,79-81,1979,1979-10,"military: veteran",1980-02-27,1,9,0,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1979/79-81"
52215,448,261,1980,Thomas v. Washington Gas Light Company,0,448 U.S. 261,1980-06-27,79-116,1979,1979-10,"election of remedies: legal remedies available to injured persons or things",1980-03-19,1,7,2,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1979/79-116"
52300,453,1,1981,Middlesex County Sewerage Authority v. National Sea Clammers Association,0,453 U.S. 1,1981-06-25,79-1711,1980,1980-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1981-02-24,1,7,2,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1980/79-1711"
52264,452,549,1981,Monroe v. Standard Oil Company,0,452 U.S. 549,1981-06-17,80-298,1980,1980-10,"military: veteran",1981-03-04,1,4,5,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1980/80-298"
52444,454,555,1982,United States v. Clark,0,454 U.S. 555,1982-01-12,80-1121,1981,1981-10,miscellaneous economic regulation,1981-11-03,1,9,0,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1981/80-1121"
52541,456,1,1982,United States v. MacDonald,0,456 U.S. 1,1982-03-31,80-1582,1981,1981-10,speedy trial,1981-12-07,1,6,3,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1981/80-1582"
52628,459,70,1982,United States v. Security Industrial Bank,0,459 U.S. 70,1982-11-30,81-184,1982,1982-10,bankruptcy (except in the context of priority of federal fiscal claims),1982-10-06,1,0,9,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1982/81-184"
52695,462,696,1983,United States v. Place,0,462 U.S. 696,1983-06-20,81-1617,1982,1982-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1983-03-02,1,0,9,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1982/81-1617"
52589,461,624,1983,"Morrison-Knudsen Construction Company v. Director, Office of Workers' Compensation Programs",0,461 U.S. 624,1983-05-24,81-1891,1982,1982-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1983-03-21,1,8,1,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1982/81-1891"
52904,466,170,1984,Oliver v. United States,0,466 U.S. 170,1984-04-17,82-15,1983,1983-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1983-11-09,1,3,6,Alan I. Horowitz,0,loc,"https://www.oyez.org/cases/1983/82-15"
