oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51104,416,752,1974,"Commissioner v. ""Americans United"" Inc.",0,416 U.S. 752,1974-05-15,72-1371,1973,1973-10,"federal taxation of gifts, personal, business, or professional expenses",1974-01-07,1,7,1,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1973/72-1371"
51205,422,66,1975,Cort v. Ash,0,422 U.S. 66,1975-06-17,73-1908,1974,1974-10,"campaign spending (cf. governmental corruption):",1975-03-18,1,9,0,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1974/73-1908"
51198,421,773,1975,Goldfarb v. Virginia State Bar,0,421 U.S. 773,1975-06-16,74-70,1974,1974-10,antitrust (except in the context of mergers and union antitrust),1975-03-25,1,8,0,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1974/74-70"
51223,422,255,1975,"Administrator, Federal Aviation Administration v. Robertson",0,422 U.S. 255,1975-06-24,74-450,1974,1974-10,Freedom of Information Act and related federal or state statutes or regulations,1975-04-15,1,7,2,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1974/74-450"
51377,425,748,1976,"Virginia State Board of Pharmacy v. Virginia Citizens Consumer Council, Inc.",0,425 U.S. 748,1976-05-24,74-895,1975,1975-10,"commercial speech, excluding attorneys",1975-11-11,1,1,7,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1975/74-895"
52061,445,375,1980,"GTE Sylvania, Inc. v. Consumers Union of the United States, Inc.",0,445 U.S. 375,1980-03-19,78-1248,1979,1979-10,Freedom of Information Act and related federal or state statutes or regulations,1979-11-28,1,9,0,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1979/78-1248"
52537,462,919,1983,INS v. Chadha,0,462 U.S. 919,1983-06-23,80-1832,1981,1981-10,legislative veto,"1982-02-22,1982-12-07",2,2,7,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1981/80-1832"
52943,471,626,1985,Zauderer v. Office of Disciplinary Counsel of Supreme Court of Ohio,0,471 U.S. 626,1985-05-28,83-2166,1984,1984-10,"commercial speech, attorneys (cf. commercial speech)",1985-01-07,1,5,3,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1984/83-2166"
53267,478,714,1986,Bowsher v. Synar,0,478 U.S. 714,1986-07-07,85-1377,1985,1985-10,miscellaneous,1986-04-23,1,2,7,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1985/85-1377"
53615,488,361,1989,Mistretta v. United States,0,488 U.S. 361,1989-01-18,87-7028,1988,1988-10,miscellaneous,1988-10-05,1,1,8,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1988/87-7028"
54275,510,163,1994,Weiss v. United States,0,510 U.S. 163,1994-01-19,92-1482,1993,1993-10,"military: active duty",1993-11-03,1,0,9,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1993/92-1482"
54339,514,386,1995,Stone v. Immigration and Naturalization Service,0,514 U.S. 386,1995-04-19,93-1199,1994,1994-10,deportation (cf. immigration and naturalization),1994-11-28,1,3,6,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1994/93-1199"
54453,516,199,1996,"Yamaha Motor Corporation, U.S.A. v. Calhoun",0,516 U.S. 199,1996-01-09,94-1387,1995,1995-10,"election of remedies: legal remedies available to injured persons or things",1995-10-31,1,0,9,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1995/94-1387"
54509,520,651,1997,Edmond v. United States,0,520 U.S. 651,1997-05-19,96-262,1996,1996-10,"military: draftee, or person subject to induction",1997-02-24,1,0,9,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1996/96-262"
54479,521,811,1997,Raines v. Byrd,0,521 U.S. 811,1997-06-26,96-1671,1996,1996-10,"standing to sue: personal injury",1997-05-27,1,7,2,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1996/96-1671"
54676,527,423,1999,Jefferson County v. Acker,0,527 U.S. 423,1999-06-21,98-10,1998,1998-10,"national supremacy: intergovernmental tax immunity",1999-03-29,1,7,2,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/1998/98-10"
55129,542,367,2004,Cheney v. United States District Court for the District of Columbia,0,542 U.S. 367,2004-06-24,03-475,2003,2003-10,Freedom of Information Act and related federal or state statutes or regulations,2004-04-27,1,7,2,Alan B. Morrison,0,loc,"https://www.oyez.org/cases/2003/03-475"
55245,544,40,2005,Ballard v. Commissioner of Internal Revenue,0,544 U.S. 40,2005-03-07,03-184,2004,2004-10,judicial review of administrative agency's or administrative official's actions and procedures,2004-12-07,1,7,2,Alan B. Morrison,0,scotusBound,"https://www.oyez.org/cases/2004/03-184"
