oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53728,494,83,1990,Sullivan v. Everhart,0,494 U.S. 83,1990-02-21,88-1323,1989,1989-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",1989-11-27,1,5,4,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1989/88-1323"
53795,495,411,1990,Hughey v. United States,0,495 U.S. 411,1990-05-21,89-5691,1989,1989-10,"statutory construction of criminal laws: miscellaneous",1990-03-27,1,9,0,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1989/89-5691"
53830,498,395,1991,Gozlon-Peretz v. United States,0,498 U.S. 395,1991-02-19,89-7370,1990,1990-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1990-10-30,1,0,9,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1990/89-7370"
53914,500,1,1991,Stevens v. Department of Treasury,0,500 U.S. 1,1991-04-24,89-1821,1990,1990-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1991-03-19,1,9,0,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1990/89-1821"
53889,501,104,1991,Astoria Federal Savings & Loan Association v. Solimino,0,501 U.S. 104,1991-06-10,89-1895,1990,1990-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1991-04-17,1,0,9,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1990/89-1895"
53969,502,215,1991,King v. St. Vincent's Hospital,0,502 U.S. 215,1991-12-16,90-889,1991,1991-10,"military: active duty",1991-10-16,1,8,0,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1991/90-889"
54052,503,193,1992,Williams v. United States,0,503 U.S. 193,1992-03-09,90-6297,1991,1991-10,"statutory construction of criminal laws: miscellaneous",1991-11-06,1,7,2,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1991/90-6297"
54040,503,329,1992,United States v. Wilson,0,503 U.S. 329,1992-03-24,90-1745,1991,1991-10,"subconstitutional fair procedure: miscellaneous",1992-01-15,1,7,2,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1991/90-1745"
54084,507,111,1993,"United States v. Parcel of Rumson, N. J., Land",0,507 U.S. 111,1993-02-24,91-781,1992,1992-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1992-10-13,1,3,6,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1992/91-781"
54142,506,364,1993,Lockhart v. Fretwell,0,506 U.S. 364,1993-01-25,91-1393,1992,1992-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1992-11-03,1,7,2,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1992/91-1393"
54081,507,234,1993,Ortega-Rodriguez v. United States,0,507 U.S. 234,1993-03-08,91-7749,1992,1992-10,"subconstitutional fair procedure: fugitive from justice",1992-12-07,1,5,4,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1992/91-7749"
54074,509,389,1993,Godinez v. Moran,0,509 U.S. 389,1993-06-24,92-725,1992,1992-10,"plea bargaining: the constitutionality of and/or the circumstances of its exercise",1993-04-21,1,7,2,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1992/92-725"
54186,510,7,1993,Florence County School District Four v. Carter,0,510 U.S. 7,1993-11-09,91-1523,1993,1993-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1993-10-06,1,0,9,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1993/91-1523"
54251,512,374,1993,Shannon v. United States,0,512 U.S. 374,1994-06-24,92-8346,1993,1993-10,"due process: takings clause, or other non-constitutional governmental taking of property",1994-03-22,1,5,4,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1993/92-8346"
54255,512,504,1994,Thomas Jefferson University v. Shalala,0,512 U.S. 504,1994-06-24,93-120,1993,1993-10,judicial review of administrative agency's or administrative official's actions and procedures,1994-04-18,1,4,5,Amy L. Wax,0,loc,"https://www.oyez.org/cases/1993/93-120"
