oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53044,470,856,1985,Ball v. United States,0,470 U.S. 856,1985-03-26,84-5004,1984,1984-10,"statutory construction of criminal laws: firearms",1985-01-09,1,8,0,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1984/84-5004"
53160,475,657,1986,United States v. City of Fulton,0,475 U.S. 657,1986-04-07,84-1725,1985,1985-10,judicial review of administrative agency's or administrative official's actions and procedures,1986-01-21,1,9,0,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1985/84-1725"
53260,476,253,1986,Brock v. Pierce County,0,476 U.S. 253,1986-05-19,85-385,1985,1985-10,judicial review of administrative agency's or administrative official's actions and procedures,1986-04-01,1,9,0,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1985/85-385"
53216,478,597,1986,United States v. James,0,478 U.S. 597,1986-07-02,85-434,1985,1985-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1986-04-21,1,6,3,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1985/85-434"
53290,479,157,1986,Colorado v. Connelly,0,479 U.S. 157,1986-12-10,85-660,1986,1986-10,involuntary confession,1986-10-08,1,7,2,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1986/85-660"
53355,481,252,1987,"Brock v. Roadway Express, Inc.",0,481 U.S. 252,1987-04-22,85-1530,1986,1986-10,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)",1986-12-03,1,3,6,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1986/85-1530"
53273,483,635,1987,Anderson v. Creighton,0,483 U.S. 635,1987-06-25,85-1520,1986,1986-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1987-02-23,1,6,3,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1986/85-1520"
53468,485,439,1988,Lyng v. Northwest Indian Cemetery Protective Association,0,485 U.S. 439,1988-04-19,86-1013,1987,1987-10,free exercise of religion,1987-11-30,1,5,3,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1987/86-1013"
62188,485,399,1988,Bethesda Hospital Assn. v. Bowen,0,485 U.S. 399,1988-04-04,86-1764,1987,1987-10,judicial review of administrative agency's or administrative official's actions and procedures,1988-02-29,1,9,0,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1987/86-1764"
62208,487,285,1988,Patterson v. Illinois,0,487 U.S. 285,1988-06-24,86-7059,1987,1987-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1988-03-22,1,4,5,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1987/86-7059"
54055,504,334,1992,"Chemical Waste Management, Inc. v. Hunt",0,504 U.S. 334,1992-06-01,91-471,1991,1991-10,state or local government tax,1992-04-21,1,8,1,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1991/91-471"
54127,508,49,1993,"Professional Real Estate Investors, Inc. v. Columbia Pictures Industries, Inc.",0,508 U.S. 49,1993-05-03,91-1043,1992,1992-10,antitrust (except in the context of mergers and union antitrust),1992-11-02,1,0,9,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1992/91-1043"
54246,510,510,1994,Elder v. Holloway,0,510 U.S. 510,1994-02-23,92-8579,1993,1993-10,"judicial administration: jurisdiction or authority of federal courts of appeals",1994-01-10,1,9,0,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1993/92-8579"
54195,511,93,1994,"Oregon Waste Systems, Inc. v. Oregon Department of Environmental Quality",0,511 U.S. 93,1994-04-04,93-70,1993,1993-10,state or local government tax,1994-01-18,1,7,2,Andrew J. Pincus,0,loc,"https://www.oyez.org/cases/1993/93-70"
55354,547,28,2006,"Illinois Tool Works Inc. v. Independent Ink, Inc.",0,547 U.S. 28,2006-03-01,04-1329,2005,2005-10,antitrust (except in the context of mergers and union antitrust),2005-11-29,1,8,0,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2005/04-1329"
55411,549,312,2007,"Weyerhaeuser Co. v. Ross-Simmons Hardwood Lumber Co., Inc.",0,549 U.S. 312,2007-02-20,05-381,2006,2006-10,antitrust (except in the context of mergers and union antitrust),2006-11-28,1,9,0,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2006/05-381"
55393,551,587,2007,"Hein v. Freedom From Religion Foundation, Inc.",0,551 U.S. 587,2007-06-25,06-157,2006,2006-10,"standing to sue: taxpayer's suit",2007-02-28,1,5,4,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2006/06-157"
55486,552,1085,2007,"Klein & Co. Futures, Inc. v. Board of Trade of the City of New York",0,552 U.S. 1085,2007-12-28,06-1265,2007,2007-10,0,2007-10-29,1,0,9,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2007/06-1265"
55570,555,0,2009,Negusie v. Holder,0,555 U.S. ___,2009-03-03,07-499,2008,2008-10,deportation (cf. immigration and naturalization),2008-11-05,1,8,1,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2008/07-499"
55574,555,323,2009,Arizona v. Johnson,0,555 U.S. 323,2009-01-26,07-1122,2008,2008-10,"search and seizure, vehicles",2008-12-09,1,9,0,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2008/07-1122"
55734,562,29,2010,"Los Angeles County, CA v. Humphries",0,562 U.S. 29,2010-11-30,09-350,2010,2010-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2010-10-05,1,8,0,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2010/09-350"
55811,563,333,2011,AT&T Mobility LLC v. Concepcion,0,563 U.S. 333,2011-04-27,09-893,2010,2010-10,arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration),2010-11-09,1,5,4,Andrew J. Pincus,0,scotusBound,"https://www.oyez.org/cases/2010/09-893"
