oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55534,553,571,2008,Richlin Security Service Co. v. Chertoff,0,553 U.S. 571,2008-06-02,06-1717,2007,2007-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2008-03-19,1,9,0,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2007/06-1717"
55587,556,332,2009,Arizona v. Gant,0,556 U.S. 332,2009-04-21,07-542,2008,2008-10,"search and seizure, vehicles",2008-10-07,1,4,5,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2008/07-542"
55594,556,938,2009,Boyle v. United States,0,556 U.S. 938,2009-06-08,07-1309,2008,2008-10,"statutory construction of criminal laws: bank robbery",2009-01-14,1,2,7,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2008/07-1309"
55623,560,586,2010,Astrue v. Ratliff,0,560 U.S. 586,2010-06-14,08-1322,2009,2009-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2010-02-22,1,9,0,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2009/08-1322"
55677,561,89,2010,Kawasaki Kisen Kaisha Ltd. v. Regal-Beloit Corp.,0,561 U.S. 89,2010-06-21,08-1553,2009,2009-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2010-03-24,1,6,3,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2009/08-1553"
55785,563,307,2011,United States v. Tohono O'odham Nation,0,563 U.S. 307,2011-04-26,09-846,2010,2010-10,Indians (other than pertains to state jurisdiction over),2010-11-01,1,7,1,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2010/09-846"
55772,562,562,2011,Milner v. Department of the Navy,0,562 U.S. 562,2011-03-07,09-1163,2010,2010-10,Freedom of Information Act and related federal or state statutes or regulations,2010-12-01,1,8,1,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2010/09-1163"
55740,562,397,2011,FCC v. AT&T Inc.,0,562 U.S. 397,2011-03-01,09-1279,2010,2010-10,Freedom of Information Act and related federal or state statutes or regulations,2011-01-19,1,8,0,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2010/09-1279"
55874,566,0,2012,Missouri v. Frye,0,566 U.S. ___,2012-03-21,10-444,2011,2011-10,"indigents: inadequate representation by counsel (cf. right to counsel)",2011-10-31,1,5,4,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2011/10-444"
55877,567,0,2012,First American Financial Corp. v. Edwards,0,567 U.S. ___,2012-06-28,10-708,2011,2011-10,"no merits: writ improvidently granted",2011-11-28,1,0,9,Anthony A. Yang,0,scotusBound,"https://www.oyez.org/cases/2011/10-708"
