oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,urlOyez,datesArgued,dateArgument,dateRearg,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource
"60162",369,186,1962,"Baker v. Carr","","369 U.S. 186","1962-03-26","6","1960","1960-10","reapportionment: other than plans governed by the Voting Rights Act","https://www.oyez.org/cases/1960/6","1961-04-19,1961-04-20,1961-10-09","1961-04-19,1961-04-20","1961-10-09",3,6,2,"Archibald Cox","","loc"
"60287",370,294,1962,"Brown Shoe Company, Inc. v. United States","","370 U.S. 294","1962-06-25","4","1961","1961-10","mergers","https://www.oyez.org/cases/1961/4","1961-12-06","1961-12-06","",1,0,7,"Archibald Cox","","loc"
"60372",373,546,1963,"Arizona v. California","","373 U.S. 546","1963-06-03","8 Orig.","1961","1961-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","https://www.oyez.org/cases/1961/8_orig","1962-01-08,1962-01-09,1962-01-10,1962-01-11,1962-11-13,1962-11-14","1962-01-08,1962-01-09,1962-01-10,1962-01-11","1962-11-13,1962-11-14",6,5,3,"Archibald Cox","","loc"
"60337",369,141,1962,"Fong Foo v. United States","","369 U.S. 141","1962-03-19","64,65","1961","1961-10","double jeopardy","https://www.oyez.org/cases/1961/64","1962-01-16","1962-01-16","",1,7,1,"Archibald Cox","","loc"
"60229",372,29,1963,"United States v. National Dairy Products Corporation","","372 U.S. 29","1963-02-18","18","1961","1961-10","antitrust (except in the context of mergers and union antitrust)","https://www.oyez.org/cases/1961/18","1962-03-21,1962-12-05","1962-03-21","1962-12-05",2,6,3,"Archibald Cox","","loc"
"60280",371,471,1963,"Wong Sun v. United States","","371 U.S. 471","1963-01-14","36","1962","1962-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","https://www.oyez.org/cases/1962/36","1962-03-29,1962-04-02,1962-10-08","1962-03-29,1962-04-02","1962-10-08",3,5,4,"Archibald Cox","","loc"
"60276",374,109,1963,"Yellin v. United States","","374 U.S. 109","1963-06-17","35","1961","1961-10","legislative investigations: concerning internal security only","https://www.oyez.org/cases/1961/35","1962-04-18,1962-04-19,1962-12-06","1962-04-18,1962-04-19","1962-12-06",3,5,4,"Archibald Cox","","loc"
"60395",373,375,1963,"Avent v. North Carolina","","373 U.S. 375","1963-05-20","11","1962","1962-10","sit-in demonstrations (protests against racial discrimination in places of public accommodation)","https://www.oyez.org/cases/1962/11","1962-11-05","1962-11-05","",1,8,1,"Archibald Cox","","loc"
"60400",375,96,1963,"Retail Clerks International Association, Local 1625, AFL-CIO v. Schermerhorn","","375 U.S. 96","1963-12-02","13","1963","1963-10","federal pre-emption of state court jurisdiction","https://www.oyez.org/cases/1963/13","1963-04-18,1963-10-16,1963-10-17","1963-04-18","1963-10-16,1963-10-17",3,0,8,"Archibald Cox","","loc"
"60662",377,656,1964,"Maryland Committee for Fair Representation v. Tawes","","377 U.S. 656","1964-06-15","29","1963","1963-10","reapportionment: other than plans governed by the Voting Rights Act","https://www.oyez.org/cases/1963/29","1963-11-13,1963-11-14","1963-11-13,1963-11-14","",2,7,2,"Archibald Cox","","loc"
"60638",377,201,1964,"Massiah v. United States","","377 U.S. 201","1964-05-18","199","1963","1963-10","right to counsel (cf. indigents appointment of counsel or inadequate representation)","https://www.oyez.org/cases/1963/199","1964-03-03","1964-03-03","",1,6,3,"Archibald Cox","","loc"
"60743",377,218,1964,"Griffin v. School Board of Prince Edward County","","377 U.S. 218","1964-05-25","592","1963","1963-10","desegregation, schools","https://www.oyez.org/cases/1963/592","1964-03-30","1964-03-30","",1,7,2,"Archibald Cox","","loc"
"60636",378,39,1964,"United States v. Boyd","","378 U.S. 39","1964-06-15","185","1963","1963-10","national supremacy: intergovernmental tax immunity","https://www.oyez.org/cases/1963/185","1964-04-20,1964-04-21","1964-04-20,1964-04-21","",2,0,9,"Archibald Cox","","loc"
"60993",381,676,1965,"Local Union No. 189, Amalgamated Meat Cutters & Butcher Workmen of North America v. Jewel Tea Co.","","381 U.S. 676","1965-06-07","240","1964","1964-10","union antitrust: legality of anticompetitive union activity","https://www.oyez.org/cases/1964/240","1965-01-27,1965-01-28","1965-01-27,1965-01-28","",2,6,3,"Archibald Cox","","loc"
"62286",395,367,1969,"Red Lion Broadcasting Co. v. FCC","","395 U.S. 367","1969-06-09","2,717","1968","1968-10","First Amendment, miscellaneous (cf. comity: First Amendment)","https://www.oyez.org/cases/1968/2","1969-04-02,1969-04-03","1969-04-02,1969-04-03","",2,0,7,"Archibald Cox","","loc"
"51373",424,1,1976,"Buckley v. Valeo","","424 U.S. 1","1976-01-30","75-436","1975","1975-10","campaign spending (cf. governmental corruption):","https://www.oyez.org/cases/1975/75-436","1975-11-10","1975-11-10","",1,7,1,"Archibald Cox","","loc"
"51853",438,265,1978,"Regents of the University of California v. Bakke","","438 U.S. 265","1978-06-26","76-811","1979","1979-10","affirmative action","https://www.oyez.org/cases/1979/76-811","1977-10-12","1977-10-12","",1,4,5,"Archibald Cox","","loc"
"52484",455,129,1982,"Common Cause v. Schmitt","","455 U.S. 129","1982-01-19","80-847","1981","1981-10","","https://www.oyez.org/cases/1981/80-847","1981-10-07","1981-10-07","",1,4,4,"Archibald Cox","","loc"
