oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54574,522,329,1998,South Dakota v. Yankton Sioux Tribe,0,522 U.S. 329,1998-01-26,96-1581,1997,1997-10,"Indians, state jurisdiction over",1997-12-08,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1997/96-1581"
54580,524,103,1998,Cass County v. Leech Lake Band of Chippewa Indians,0,524 U.S. 103,1998-06-08,97-174,1997,1997-10,"Indians, state jurisdiction over",1998-02-24,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1997/97-174"
54754,526,172,1999,Minnesota v. Mille Lacs Band of Chippewa Indians,0,526 U.S. 172,1999-03-24,97-1337,1998,1998-10,Indians (other than pertains to state jurisdiction over),1998-12-02,1,4,5,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1998/97-1337"
54698,526,295,1999,Wyoming v. Houghton,0,526 U.S. 295,1999-04-05,98-184,1998,1998-10,"search and seizure, vehicles",1999-01-12,1,6,3,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1998/98-184"
54740,527,212,1999,West v. Gibson,0,527 U.S. 212,1999-06-14,98-238,1998,1998-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1999-04-26,1,5,4,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1998/98-238"
54828,529,53,2000,United States v. Johnson,0,529 U.S. 53,2000-03-01,98-1696,1999,1999-10,"statutory construction of criminal laws: miscellaneous",1999-12-08,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1999/98-1696"
54841,529,753,2000,Ohler v. United States,0,529 U.S. 753,2000-05-22,98-9828,1999,1999-10,"statutory construction of criminal laws: miscellaneous",2000-03-20,1,4,5,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/1999/98-9828"
54859,532,141,2001,Egelhoff v. Egelhoff,0,532 U.S. 141,2001-03-21,99-1529,2000,2000-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2000-11-08,1,7,2,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2000/99-1529"
54911,533,353,2001,Nevada v. Hicks,0,533 U.S. 353,2001-06-25,99-1994,2000,2000-10,"Indians, state jurisdiction over",2001-03-21,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2000/99-1994"
54867,533,405,2001,"United States v. United Foods, Inc.",0,533 U.S. 405,2001-06-25,00-276,2000,2000-10,"commercial speech, excluding attorneys",2001-04-17,1,3,6,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2000/00-276"
54947,534,184,2002,"Toyota Manufacturing, Kentucky, Inc. v. Williams",0,534 U.S. 184,2002-01-08,00-1089,2001,2001-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2001-11-07,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2001/00-1089"
55019,535,635,2002,"Verizon Maryland, Inc. v. Public Service Commission of Maryland",0,535 U.S. 635,2002-05-20,00-1531,2001,2001-10,"national supremacy: public utilities (cf. federal public utilities regulation)",2001-12-05,1,8,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2001/00-1531"
54956,535,682,2002,"Mathias v. WorldCom Technologies, Inc.",0,535 U.S. 682,2002-05-20,00-878,2001,2001-10,"federal and some few state regulations of public utilities regulation: telephone or telegraph company",2001-12-05,1,0,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2001/00-878"
55068,537,149,2003,Barnhart v. Peabody Coal Company,0,537 U.S. 149,2003-01-15,01-705,2002,2002-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",2002-10-08,1,6,3,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2002/01-705"
55108,538,701,2003,Inyo County v. Paiute-Shoshone Indians,0,538 U.S. 701,2003-05-19,02-281,2002,2002-10,Indians (other than pertains to state jurisdiction over),2003-03-31,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2002/02-281"
55065,539,59,2003,"Hillside Dairy, Inc. v. Lyons",0,539 U.S. 59,2003-06-09,"01-950,01-1018",2002,2002-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",2003-04-22,1,8,1,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2002/01-950"
55162,540,644,2004,Olympic Airways v. Husain,0,540 U.S. 644,2004-02-24,02-1348,2003,2003-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2003-11-12,1,2,6,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2003/02-1348"
55177,541,232,2004,"Household Credit Services, Inc. v. Pfennig",0,541 U.S. 232,2004-04-21,02-857,2003,2003-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2004-02-23,1,9,0,Barbara B. McDowell,0,loc,"https://www.oyez.org/cases/2003/02-857"
