oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52613,463,745,1983,Jones v. Barnes,0,463 U.S. 745,1983-07-05,81-1794,1982,1982-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1983-02-22,1,7,2,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1982/81-1794"
54582,524,742,1998,"Burlington Industries, Inc. v. Ellerth",0,524 U.S. 742,1998-06-26,97-569,1997,1997-10,sex discrimination in employment (cf. sex discrimination),1998-04-22,1,2,7,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1997/97-569"
54686,525,70,1998,Wright v. Universal Maritime Service Corporation,0,525 U.S. 70,1998-11-16,97-889,1998,1998-10,arbitration (in the context of labor-management or employer-employee relations) (cf. arbitration),1998-10-07,1,9,0,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1998/97-889"
54755,526,1,1999,Holloway Aka Ali v. United States,0,526 U.S. 1,1999-03-02,97-7164,1998,1998-10,"statutory construction of criminal laws: miscellaneous",1998-11-09,1,2,7,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1998/97-7164"
54701,526,629,1999,Davis v. Monroe County Board of Education,0,526 U.S. 629,1999-05-24,97-843,1998,1998-10,sex discrimination (excluding sex discrimination in employment),1999-01-12,1,5,4,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1998/97-843"
54757,527,173,1999,"Greater New Orleans Broadcasting Assn., Inc. v. United States",0,527 U.S. 173,1999-06-14,98-387,1998,1998-10,"commercial speech, excluding attorneys",1999-04-27,1,9,0,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1998/98-387"
54811,528,62,2000,Kimel v. Florida Board of Regents,0,528 U.S. 62,2000-01-11,98-791,1999,1999-10,"national supremacy: miscellaneous",1999-10-13,1,4,5,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1999/98-791"
54810,530,793,2000,Mitchell v. Helms,0,530 U.S. 793,2000-06-28,98-1648,1999,1999-10,"parochiaid: government aid to religious schools, or religious requirements in public schools",1999-12-01,1,6,3,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1999/98-1648"
54791,530,703,2000,Hill v. Colorado,0,530 U.S. 703,2000-06-28,98-1856,1999,1999-10,"abortion: including contraceptives",2000-01-19,1,3,6,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1999/98-1856"
54812,530,327,2000,Miller v. French,0,530 U.S. 327,2000-06-19,99-224,1999,1999-10,"miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)",2000-04-18,1,5,4,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/1999/99-224"
54896,531,288,2001,Brentwood Academy v. Tennessee Secondary School Athletic Assn.,0,531 U.S. 288,2001-02-20,99-901,2000,2000-10,"due process: miscellaneous (cf. loyalty oath), the residual code",2000-10-11,1,5,4,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/2000/99-901"
54876,531,510,2001,Cook v. Gralike,0,531 U.S. 510,2001-02-28,99-929,2000,2000-10,ballot access (of candidates and political parties),2000-11-06,1,0,9,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/2000/99-929"
54895,532,661,2001,"PGA TOUR, Inc. v. Martin",0,532 U.S. 661,2001-05-29,00-24,2000,2000-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2001-01-17,1,2,7,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/2000/00-24"
54919,533,431,2001,Federal Election Commission v. Colorado Republican Federal Campaign Committee,0,533 U.S. 431,2001-06-25,00-191,2000,2000-10,"campaign spending (cf. governmental corruption):",2001-02-28,1,5,4,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/2000/00-191"
54897,532,483,2001,United States v. Oakland Cannabis Buyers' Coop,0,532 U.S. 483,2001-05-14,00-151,2000,2000-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",2001-03-28,1,8,0,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/2000/00-151"
54890,533,525,2001,Lorillard Tobacco Company v. Reilly,0,533 U.S. 525,2001-06-28,00-596,2000,2000-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2001-04-25,1,5,4,Barbara D. Underwood,0,loc,"https://www.oyez.org/cases/2000/00-596"
55406,551,877,2007,"Leegin Creative Leather Products, Inc. v. PSKS, Inc.",0,551 U.S. 877,2007-06-28,06-480,2006,2006-10,antitrust (except in the context of mergers and union antitrust),2007-03-26,1,5,4,Barbara D. Underwood,0,scotusBound,"https://www.oyez.org/cases/2006/06-480"
55612,556,0,2009,Haywood v. Drown,0,556 U.S. ___,2009-05-26,07-10374,2008,2008-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2008-12-03,1,5,4,Barbara D. Underwood,0,scotusBound,"https://www.oyez.org/cases/2008/07-10374"
55608,557,0,2009,"Cuomo v. Clearing House Assn., L. L. C.",0,557 U.S. ___,2009-06-29,08-453,2008,2008-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2009-04-28,1,5,4,Barbara D. Underwood,0,scotusBound,"https://www.oyez.org/cases/2008/08-453"
55787,564,0,2011,"American Electric Power Co., Inc. v. Connecticut",0,564 U.S. ___,2011-06-20,10-174,2010,2010-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2011-04-19,1,8,0,Barbara D. Underwood,0,scotusBound,"https://www.oyez.org/cases/2010/10-174"
63296,592,0,2020,Trump v. New York,0,592 U.S. ___,2020-12-18,20-366,2020,2020-10,0,2020-11-30,1,0,0,Barbara D. Underwood,0,slipopinion/20,"https://www.oyez.org/cases/2020/20-366"
63362,597,0,2022,New York State Rifle & Pistol Association Inc. v. Bruen,0,597 U.S. ___,2022-06-23,20-843,2021,2021-10,0,2021-11-03,1,0,0,Barbara D. Underwood,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-843"
