oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
60495,373,334,1963,Andrews v. United States,0,373 U.S. 334,1963-05-20,491,1962,1962-10,Federal Rules of Criminal Procedure,"1963-03-25,1963-03-26",2,9,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1962/491"
61780,395,164,1969,Crane v. Cedar Rapids & Iowa City Railway Company,0,395 U.S. 164,1969-05-26,791,1968,1968-10,"election of remedies: legal remedies available to injured persons or things",1969-04-24,1,3,5,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1968/791"
61908,399,149,1970,California v. Green,0,399 U.S. 149,1970-06-23,387,1969,1969-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1970-04-20,1,6,1,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1969/387"
50744,408,665,1972,In re Pappas,0,408 U.S. 665,1972-06-29,70-94,1971,1971-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1972-02-23,1,4,5,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1971/70-94"
50730,406,340,1972,Atlantic Coast Line R. Co. v. Erie Lackawanna R. Co.,0,406 U.S. 340,1972-05-15,71-107,1971,1971-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages","1972-04-17,1972-04-18",2,0,8,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1971/71-107"
50605,407,245,1972,"McNeil v. Director, Patuxent Institution",0,407 U.S. 245,1972-06-19,71-5144,1971,1971-10,"due process: miscellaneous (cf. loyalty oath), the residual code",1972-04-20,1,9,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1971/71-5144"
62283,412,534,1973,United States v. Nevada,0,412 U.S. 534,1973-06-11,59 Orig.,1972,1972-10,"judicial administration: Supreme Court's original jurisdiction",1973-04-16,1,1,8,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1972/59_orig"
51129,414,453,1974,National Railroad Passenger Corporation v. National Association of Railroad Passengers,0,414 U.S. 453,1974-01-09,72-1289,1973,1973-10,"federal or state regulation of transportation regulation: railroad",1973-11-12,1,7,1,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1973/72-1289"
51434,426,290,1976,"Nader v. Allegheny Airlines, Inc.",0,426 U.S. 290,1976-06-07,75-455,1975,1975-10,judicial review of administrative agency's or administrative official's actions and procedures,1976-03-24,1,9,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1975/75-455"
51333,427,539,1976,Nebraska Press Association v. Stuart,0,427 U.S. 539,1976-06-30,75-817,1975,1975-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1976-04-19,1,9,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1975/75-817"
51570,432,249,1977,"Northeast Marine Terminal Company, Inc. v. Caputo",0,432 U.S. 249,1977-06-17,76-444,1976,1976-10,"election of remedies: legal remedies available to injured persons or things",1977-04-18,1,0,9,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1976/76-444"
52008,443,595,1979,Jones v. Wolf,0,443 U.S. 595,1979-07-02,78-91,1978,1978-10,free exercise of religion,1979-01-16,1,5,4,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1978/78-91"
52713,463,110,1983,Nevada v. United States,0,463 U.S. 110,1983-06-24,81-2245,1982,1982-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1983-04-27,1,9,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1982/81-2245"
52900,467,925,1984,Washington Metropolitan Area Transit Authority v. Johnson,0,467 U.S. 925,1984-06-26,83-747,1983,1983-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1984-04-24,1,6,3,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1983/83-747"
53099,475,41,1986,"City of Renton v. Playtime Theatres, Inc.",0,475 U.S. 41,1986-02-25,84-1360,1985,1985-10,"obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",1985-11-12,1,7,2,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1985/84-1360"
62198,484,49,1987,"Gwaltney of Smithfield, Ltd. v. Chesapeake Bay Foundation, Inc.",0,484 U.S. 49,1987-12-01,86-473,1987,1987-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1987-10-05,1,8,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1987/86-473"
53630,488,336,1989,"Allegheny Pittsburgh Coal Company v. County Commission of Webster County, West Virginia",0,488 U.S. 336,1989-01-18,87-1303,1988,1988-10,state or local government tax,1988-12-07,1,9,0,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1988/87-1303"
53734,497,871,1990,Lujan v. National Wildlife Federation,0,497 U.S. 871,1990-06-27,89-640,1989,1989-10,"standing to sue: personal injury",1990-04-16,1,5,4,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1989/89-640"
53939,505,214,1992,"Wisconsin Department of Revenue v. William Wrigley, Jr., Company",0,505 U.S. 214,1992-06-19,91-119,1991,1991-10,state or local government tax,1992-01-22,1,6,3,"E. Barrett Prettyman, Jr.",0,loc,"https://www.oyez.org/cases/1991/91-119"
