oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51679,430,584,1977,Rosebud Sioux Tribe v. Kneip,0,430 U.S. 584,1977-04-04,75-562,1976,1976-10,Indians (other than pertains to state jurisdiction over),1977-01-12,1,3,6,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1976/75-562"
51660,433,165,1977,"Puyallup Tribe, Inc. v. Department of Game of Washington",0,433 U.S. 165,1977-06-23,76-423,1976,1976-10,"Indians, state jurisdiction over",1977-04-18,1,7,2,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1976/76-423"
51760,435,6,1978,Simpson v. United States,0,435 U.S. 6,1978-02-28,76-5761,1977,1977-10,"statutory construction of criminal laws: bank robbery",1977-11-01,1,8,1,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1977/76-5761"
51749,435,6,1978,Simpson v. United States,0,435 U.S. 6,1978-02-28,"76-5796,76-5796",1977,1977-10,"statutory construction of criminal laws: bank robbery",1977-11-01,1,8,1,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1977/76-5796"
51826,435,191,1978,Oliphant v. Suquamish Indian Tribe,0,435 U.S. 191,1978-03-06,76-5729,1977,1977-10,"military: veteran",1978-01-09,1,6,2,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1977/76-5729"
51782,437,634,1978,United States v. John,0,437 U.S. 634,1978-06-23,77-836,1977,1977-10,"Indians, state jurisdiction over",1978-04-19,1,9,0,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1977/77-836"
52590,465,89,1984,Pennhurst State School & Hosp. v. Halderman,0,465 U.S. 89,1984-01-23,81-2101,1982,1982-10,"national supremacy: miscellaneous","1983-02-22,1983-10-03",2,5,4,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1982/81-2101"
52943,471,626,1985,Zauderer v. Office of Disciplinary Counsel of Supreme Court of Ohio,0,471 U.S. 626,1985-05-28,83-2166,1984,1984-10,"commercial speech, attorneys (cf. commercial speech)",1985-01-07,1,5,3,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1984/83-2166"
52991,472,612,1985,Hooper v. Bernalillo County Assessor,0,472 U.S. 612,1985-06-24,84-231,1984,1984-10,"residency requirements: durational, plus discrimination against nonresidents",1985-02-20,1,5,3,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1984/84-231"
62216,486,847,1988,Liljeberg v. Health Services Acquisition Corporation,0,486 U.S. 847,1988-06-17,86-957,1987,1987-10,"due process: impartial decision maker","1987-12-09,1988-04-25",2,4,5,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1987/86-957"
62225,486,57,1988,City of New York v. Federal Communications Commission,0,486 U.S. 57,1988-05-16,87-339,1987,1987-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1988-03-29,1,0,9,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1987/87-339"
53527,496,18,1990,"McKesson Corporation v. Division of Alcoholic Beverages and Tobacco, Department of Business Regulation of Florida",0,496 U.S. 18,1990-06-04,88-192,1988,1988-10,state or local government tax,"1989-03-22,1989-12-06",2,9,0,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1988/88-192"
53622,492,257,1989,"Browning-Ferris Industries of Vermont, Inc. v. Kelco Disposal, Inc.",0,492 U.S. 257,1989-06-26,88-556,1988,1988-10,"liability, punitive damages",1989-04-18,1,2,7,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1988/88-556"
53741,495,33,1990,Missouri v. Jenkins,0,495 U.S. 33,1990-04-18,88-1150,1989,1989-10,"desegregation, schools",1989-10-30,1,0,9,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1989/88-1150"
53829,500,172,1991,Ford Motor Credit Co. v. Department of Revenue of Fla.,0,500 U.S. 172,1991-05-20,88-1847,1990,1990-10,state or local government tax,1990-11-06,1,4,4,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1990/88-1847"
53934,501,496,1991,"Masson v. New Yorker Magazine, Inc.",0,501 U.S. 496,1991-06-20,89-1799,1990,1990-10,"libel, defamation: defamation of public officials and public and private persons",1991-01-14,1,7,2,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1990/89-1799"
53971,505,504,1992,"Cipollone v. Liggett Group, Inc.",0,505 U.S. 504,1992-06-24,90-1038,1991,1991-10,federal pre-emption of state court jurisdiction,"1991-10-08,1992-01-13",2,7,2,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1991/90-1038"
54267,512,622,1994,"Turner Broadcasting System, Inc. v. Federal Communications Commission",0,512 U.S. 622,1994-06-27,93-44,1993,1993-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1994-01-12,1,5,4,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1993/93-44"
54330,513,265,1995,Allied-Bruce Terminix Co. v. Dobson,0,513 U.S. 265,1995-01-18,93-1001,1994,1994-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1994-10-04,1,7,2,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1994/93-1001"
54492,520,180,1997,"Turner Broadcasting System, Inc. v. Federal Communications Commission",0,520 U.S. 180,1997-03-31,95-992,1996,1996-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1996-10-07,1,4,5,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1996/95-992"
54687,526,473,1999,El Paso Natural Gas Company v. Neztsosie,0,526 U.S. 473,1999-05-03,98-6,1998,1998-10,Indians (other than pertains to state jurisdiction over),1999-03-02,1,9,0,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/1998/98-6"
54895,532,661,2001,"PGA TOUR, Inc. v. Martin",0,532 U.S. 661,2001-05-29,00-24,2000,2000-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2001-01-17,1,2,7,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/2000/00-24"
55089,538,488,2003,Franchise Tax Board of California v. Hyatt,0,538 U.S. 488,2003-04-23,02-42,2002,2002-10,miscellaneous interstate relations conflict,2003-02-24,1,0,9,"H. Bartow Farr, III",0,loc,"https://www.oyez.org/cases/2002/02-42"
