oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"54213",512,61,1994,"Department of Taxation and Finance of N. Y. v. Milhelm Attea & Bros.","","512 U.S. 61","1994-06-13","93-377","1993","1993-10","Indians, state jurisdiction over","1994-03-23",1,9,0,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1993/93-377"
"54339",514,386,1995,"Stone v. Immigration and Naturalization Service","","514 U.S. 386","1995-04-19","93-1199","1994","1994-10","deportation (cf. immigration and naturalization)","1994-11-28",1,3,6,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1994/93-1199"
"54356",514,122,1995,"Director, Office of Workers' Compensation Programs v. Newport News Shipbuilding & Drydock Company","","514 U.S. 122","1995-03-21","93-1783","1994","1994-10","standing to sue: statutory standing","1995-01-09",1,0,9,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1994/93-1783"
"54392",518,668,1996,"Board of County Commissioners, Wabaunsee County, Kansas v. Umbehr","","518 U.S. 668","1996-06-28","94-1654","1995","1995-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1995-11-28",1,2,7,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1995/94-1654"
"54396",518,187,1996,"Lane v. Peña","","518 U.S. 187","1996-06-20","95-365","1995","1995-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1996-04-15",1,2,7,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1995/95-365"
"54499",519,26,1996,"Immigration and Naturalization Service v. Yueh-Shaio Yang","","519 U.S. 26","1996-11-13","95-938","1996","1996-10","deportation (cf. immigration and naturalization)","1996-10-15",1,9,0,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1996/95-938"
"54561",519,248,1997,"Ingalls Shipbuilding, Inc. v. Director, Office of Workers' Compensation Programs","","519 U.S. 248","1997-02-18","95-1081","1996","1996-10","election of remedies: legal remedies available to injured persons or things","1996-11-12",1,0,9,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1996/95-1081"
"54664",523,224,1998,"Almendarez-Torres v. United States","","523 U.S. 224","1998-03-24","96-6839","1997","1997-10","double jeopardy","1997-10-14",1,4,5,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1997/96-6839"
"54568",522,422,1998,"Oubre v. Entergy Operations Inc.","","522 U.S. 422","1998-01-26","96-1291","1997","1997-10","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","1997-11-12",1,6,3,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1997/96-1291"
"54587",523,1015,1998,"Caterpillar, Inc. v. International Union, United Automobile, Aerospace and Agricultural Implement Workers of America","","523 U.S. 1015","1998-03-23","96-1925","1997","1997-10","","1998-01-20",1,0,9,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1997/96-1925"
"54641",524,274,1998,"Gebser v. Lago Vista Independent School District","","524 U.S. 274","1998-06-22","96-1866","1997","1997-10","sex discrimination (excluding sex discrimination in employment)","1998-03-25",1,4,5,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1997/96-1866"
"54749",526,66,1999,"Cedar Rapids Community School Dist. v. Garret F.","","526 U.S. 66","1999-03-03","96-1793","1998","1998-10","handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes","1998-11-04",1,2,7,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1998/96-1793"
"54675",526,32,1999,"Arizona Department of Revenue v. Blaze Construction Company","","526 U.S. 32","1999-03-02","97-1536","1998","1998-10","national supremacy: state tax (cf. state tax)","1998-12-08",1,9,0,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1998/97-1536"
"54776",529,513,2000,"Carmell v. Texas","","529 U.S. 513","2000-05-01","98-7540","1999","1999-10","miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)","1999-11-30",1,5,4,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1999/98-7540"
"54822",530,238,2000,"Harris Trust & Savings Bank v. Salomon Smith Barney, Inc.","","530 U.S. 238","2000-06-12","99-579","1999","1999-10","Employee Retirement Income Security Act (cf. union trust funds)","2000-04-17",1,9,0,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/1999/99-579"
"54858",531,230,2001,"Lopez v. Davis","","531 U.S. 230","2001-01-10","99-7504","2000","2000-10","statutory construction of criminal laws: sentencing guidelines","2000-10-30",1,3,6,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/2000/99-7504"
"54924",532,598,2001,"Buckhannon Board & Care Home, Inc. v. West Virginia Department of Health & Human Resources","","532 U.S. 598","2001-05-29","99-1848","2000","2000-10","attorneys' and governmental employees' or officials' fees or compensation or licenses","2001-02-27",1,4,5,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/2000/99-1848"
"54900",532,645,2001,"Atkinson Trading Company, Inc. v. Shirley","","532 U.S. 645","2001-05-29","00-454","2000","2000-10","Indians (other than pertains to state jurisdiction over)","2001-03-27",1,9,0,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/2000/00-454"
"55016",536,273,2002,"Gonzaga University v. Doe","","536 U.S. 273","2002-06-20","01-679","2001","2001-10","privacy (cf. libel, comity: privacy)","2002-04-24",1,7,2,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/2001/01-679"
"55045",539,1,2003,"Beneficial National Bank v. Anderson","","539 U.S. 1","2003-06-02","02-306","2002","2002-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","2003-04-30",1,7,2,"Beth S. Brinkmann","","loc","https://www.oyez.org/cases/2002/02-306"
"55225",543,111,2004,"KP Permanent Make-Up, Inc. v. Lasting Impression I, Inc.","","543 U.S. 111","2004-12-08","03-409","2004","2004-10","patents and copyrights: trademark","2004-10-05",1,9,0,"Beth S. Brinkmann","","scotusBound","https://www.oyez.org/cases/2004/03-409"
"55424",549,483,2007,"Limtiaco v. Camacho","","549 U.S. 483","2007-03-27","06-116","2006","2006-10","state or local government tax","2007-01-08",1,5,4,"Beth S. Brinkmann","","scotusBound","https://www.oyez.org/cases/2006/06-116"
"55521",552,576,2008,"Hall Street Associates, L.L.C. v. Mattel, Inc.","","552 U.S. 576","2008-03-25","06-989","2007","2007-10","arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration)","2007-11-07",1,3,6,"Beth S. Brinkmann","","scotusBound","https://www.oyez.org/cases/2007/06-989"
"55468",552,364,2008,"Rowe v. New Hampshire Motor Transport Association","","552 U.S. 364","2008-02-20","06-457","2007","2007-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2007-11-28",1,0,9,"Beth S. Brinkmann","","scotusBound","https://www.oyez.org/cases/2007/06-457"
"55481",553,16,2008,"MeadWestvaco Corp. v. Illinois Department of Revenue","","553 U.S. 16","2008-04-15","06-1413","2007","2007-10","state or local government tax","2008-01-16",1,0,9,"Beth S. Brinkmann","","scotusBound","https://www.oyez.org/cases/2007/06-1413"
"63042",0,0,0,"Return Mail, Inc. v. United States Postal Service","","___ U.S. ___","","17-1594","2018","2018-10","","2019-02-19",1,0,0,"Beth S. Brinkmann","","slipopinion/18","https://www.oyez.org/cases/2018/17-1594"
