oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
56124,574,0,2015,Whitfield v. United States,0,574 U.S. ___,2015-01-13,13-9026,2014,2014-10,"statutory construction of criminal laws: bank robbery",2014-12-02,1,0,9,Brian H. Fletcher,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-9026"
56135,576,0,2015,"Baker Botts, LLP v. ASARCO, LLC",0,576 U.S. ___,2015-06-15,14-103,2014,2014-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2015-02-25,1,3,6,Brian H. Fletcher,0,slipopinion/14,"https://www.oyez.org/cases/2014/14-103"
62324,577,0,2016,Hawkins v. Community Bank of Raymore,0,577 U.S. ___,2016-03-22,14-520,2015,2015-10,0,2015-10-05,1,4,4,Brian H. Fletcher,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-520"
62634,578,0,2016,CRST Van Expedited v. EEOC,0,578 U.S. ___,2016-05-19,14-1375,2015,2015-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2016-03-28,1,8,0,Brian H. Fletcher,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1375"
62690,580,0,2016,Samsung Electronics Co. v. Apple Inc.,0,580 U.S. ___,2016-12-06,15-777,2016,2016-10,"patents and copyrights: patent",2016-10-11,1,8,0,Brian H. Fletcher,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-777"
62784,581,0,2017,Honeycutt v. United States,0,581 U.S. ___,2017-06-05,16-142,2016,2016-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2017-03-29,1,8,0,Brian H. Fletcher,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-142"
62808,582,0,2017,Perry v. Merit Systems Protection Board,0,582 U.S. ___,2017-06-23,16-399,2016,2016-10,judicial review of administrative agency's or administrative official's actions and procedures,2017-04-17,1,7,2,Brian H. Fletcher,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-399"
62830,584,0,2018,"Jesner v. Arab Bank, PLC",0,584 U.S. ___,2018-04-24,16-499,2017,2017-10,"standing to sue: legal injury",2017-10-11,1,4,5,Brian H. Fletcher,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-499"
63006,585,0,2018,Cox v. United States,0,585 U.S. ___,2018-06-22,"16-1017,16-961",2017,2017-10,"military: active duty",2018-01-16,1,0,9,Brian H. Fletcher,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1017"
63005,585,0,2018,Ortiz v. United States,0,585 U.S. ___,2018-06-22,16-1423,2017,2017-10,"Supreme Court's certiorari, writ of error, or appeals jurisdiction",2018-01-16,1,2,7,Brian H. Fletcher,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1423"
62891,585,0,2018,Dalmazzi v. United States,0,585 U.S. ___,2018-06-22,16-961,2017,2017-10,"military: active duty",2018-01-16,1,0,9,Brian H. Fletcher,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-961"
62994,585,0,2018,"Animal Science Products, Inc. v. Hebei Welcome Pharmaceutical Co. Ltd.",0,585 U.S. ___,2018-06-14,16-1220,2017,2017-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",2018-04-24,1,9,0,Brian H. Fletcher,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1220"
63361,0,0,0,United States v. Zubaydah,0,___ U.S. ___,2022-03-03,20-827,2021,2021-10,0,2021-10-06,1,0,0,Brian H. Fletcher,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-827"
63362,597,0,2022,New York State Rifle & Pistol Association Inc. v. Bruen,0,597 U.S. ___,2022-06-23,20-843,2021,2021-10,0,2021-11-03,1,0,0,Brian H. Fletcher,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-843"
63435,0,0,0,Biden v. Missouri,0,___ U.S. ___,2022-01-13,21A240,2021,2021-10,0,2022-01-07,1,0,0,Brian H. Fletcher,0,slipopinion/21,"https://www.oyez.org/cases/2021/21a240"
63445,596,0,2022,Arizona v. City and County of San Francisco,0,596 U.S. ___,2022-06-15,20-1775,2021,2021-10,0,2022-02-23,1,0,0,Brian H. Fletcher,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-1775"
63455,598,0,2023,Sackett v. Environmental Protection Agency,0,598 U.S. ___,2023-05-25,21-454,2022,2022-10,0,2022-10-03,1,0,0,Brian H. Fletcher,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-454"
63456,600,0,2023,303 Creative LLC v. Elenis,0,600 U.S. ___,2023-06-30,21-476,2022,2022-10,0,2022-12-05,1,0,0,Brian H. Fletcher,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-476"
63533,599,0,2023,United States v. Hansen,0,599 U.S. ___,2023-06-23,22-179,2022,2022-10,0,2023-03-27,1,0,0,Brian H. Fletcher,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-179"
63592,0,0,0,Securities and Exchange Commission v. Jarkesy,0,___ U.S. ___,0,22-859,2023,2023-10,0,2023-11-29,1,0,0,Brian H. Fletcher,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-859"
