oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
60051,364,661,1961,Kimbrough v. United States,0,364 U.S. 661,1961-01-16,128,1960,1960-10,"no merits: writ improvidently granted","1961-01-11,1961-01-12",2,0,9,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1960/128"
60084,367,421,1961,Lott v. United States,0,367 U.S. 421,1961-06-12,238,1960,1960-10,Federal Rules of Criminal Procedure,1961-04-18,1,5,4,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1960/238"
60260,372,144,1963,Kennedy v. Mendoza-Martinez,0,372 U.S. 144,1963-02-18,"2,3,19,20",1961,1961-10,"immigration and naturalization: loss of citizenship, denaturalization","1961-10-10,1961-10-11,1962-12-04,1962-12-05",4,4,5,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1961/2"
60360,369,749,1962,Russell v. United States,0,369 U.S. 749,1962-05-21,"8,9,10,11,12,128",1961,1961-10,"legislative investigations: concerning internal security only","1961-12-06,1961-12-07,1961-12-11,1961-12-12",4,5,2,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1961/8"
60235,369,121,1962,DiBella v. United States,0,369 U.S. 121,1962-03-19,"21,93",1961,1961-10,Federal Rules of Criminal Procedure,"1962-01-16,1962-01-17",2,8,0,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1961/21"
60276,374,109,1963,Yellin v. United States,0,374 U.S. 109,1963-06-17,35,1961,1961-10,"legislative investigations: concerning internal security only","1962-04-18,1962-04-19,1962-12-06",3,5,4,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1961/35"
60295,370,288,1962,Grumman v. United States,0,370 U.S. 288,1962-06-18,436,1961,1961-10,"legislative investigations: concerning internal security only",1962-04-19,1,5,2,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1961/436"
60300,370,717,1962,Silber v. United States,0,370 U.S. 717,1962-06-25,454,1961,1961-10,"legislative investigations: concerning internal security only",1962-04-19,1,5,2,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1961/454"
60464,374,469,1963,Gastelum-Quinones v. Kennedy,0,374 U.S. 469,1963-06-17,39,1962,1962-10,deportation (cf. immigration and naturalization),1963-03-19,1,5,4,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1962/39"
60646,376,1,1964,Wesberry v. Sanders,0,376 U.S. 1,1964-02-17,22,1963,1963-10,"reapportionment: other than plans governed by the Voting Rights Act","1963-11-18,1963-11-19",2,6,3,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1963/22"
60687,377,163,1964,Schneider v. Rusk,0,377 U.S. 163,1964-05-18,368,1963,1963-10,"immigration and naturalization: loss of citizenship, denaturalization",1964-04-02,1,5,3,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1963/368"
60835,379,61,1964,Ryan v. United States,0,379 U.S. 61,1964-11-23,12,1964,1964-10,"federal taxation, typically under provisions of the Internal Revenue Code",1964-10-14,1,1,8,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1964/12"
60927,379,48,1964,United States v. Powell,0,379 U.S. 48,1964-11-23,54,1964,1964-10,"federal taxation, typically under provisions of the Internal Revenue Code","1964-10-14,1964-10-15",2,6,3,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1964/54"
60906,380,503,1965,American Committee for Protection of Foreign Born v. Subversive Activities Control Board,0,380 U.S. 503,1965-04-26,44,1964,1964-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1964-12-08,1964-12-09",2,5,3,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1964/44"
60952,380,513,1965,Veterans of Abraham Lincoln Brigade v. Subversive Activities Control Board,0,380 U.S. 513,1965-04-26,65,1964,1964-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1964-12-09,1,5,3,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1964/65"
50903,412,541,1973,Fri v. Sierra Club,0,412 U.S. 541,1973-06-11,72-804,1972,1972-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1973-04-18,1,4,4,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1972/72-804"
51210,419,65,1974,Saxbe v. Bustos,0,419 U.S. 65,1974-11-25,"73-300,73-480",1974,1974-10,employability of aliens (cf. immigration and naturalization),1974-10-17,1,5,4,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1974/73-300"
51347,427,390,1976,Kleppe v. Sierra Club,0,427 U.S. 390,1976-06-28,75-552,1975,1975-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1976-04-28,1,7,2,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1975/75-552"
54853,528,167,2000,"Friends of the Earth, Inc. v. Laidlaw Environmental Services (TOC), Inc.",0,528 U.S. 167,2000-01-12,98-822,1999,1999-10,"standing to sue: personal injury",1999-10-12,1,7,2,Bruce J. Terris,0,loc,"https://www.oyez.org/cases/1999/98-822"
