oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52482,455,642,1982,McElroy v. United States,0,455 U.S. 642,1982-03-23,80-6680,1981,1981-10,"statutory construction of criminal laws: financial (other than in fraud or internal revenue)",1982-01-12,1,1,8,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1981/80-6680"
52407,458,858,1982,United States v. Valenzuela-Bernal,0,458 U.S. 858,1982-07-02,81-450,1981,1981-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1982-04-20,1,7,2,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1981/81-450"
52625,459,159,1982,City of Port Arthur v. United States,0,459 U.S. 159,1982-12-13,81-708,1982,1982-10,"Voting Rights Act of 1965, plus amendments",1982-10-06,1,3,6,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1982/81-708"
52731,460,289,1983,Block v. Neal,0,460 U.S. 289,1983-03-07,81-1494,1982,1982-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1983-01-19,1,0,9,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1982/81-1494"
52579,461,757,1983,"W. R. Grace & Company v. Local Union 759, International Union of Rubber, Cork, Linoleum & Plastic Workers of America",0,461 U.S. 757,1983-05-31,81-1314,1982,1982-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1983-02-28,1,0,9,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1982/81-1314"
52855,464,206,1984,Commissioner of Internal Revenue v. Engle,0,464 U.S. 206,1984-01-10,82-599,1983,1983-10,"federal taxation, typically under provisions of the Internal Revenue Code",1983-10-11,1,4,5,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1983/82-599"
52791,467,354,1984,"Interstate Commerce Commission v. American Trucking Associations, Inc.",0,467 U.S. 354,1984-06-05,82-1643,1983,1983-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1984-01-10,1,5,4,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1983/82-1643"
52829,468,207,1984,Securities Industry Association v. Board of Governors of the Federal Reserve System,0,468 U.S. 207,1984-06-28,83-614,1983,1983-10,federal or state regulation of securities,1984-04-24,1,0,9,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1983/83-614"
53009,470,184,1985,Heckler v. Turner,0,470 U.S. 184,1985-02-27,83-1097,1984,1984-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",1984-10-09,1,9,0,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1984/83-1097"
53382,479,27,1986,O'Connor v. United States,0,479 U.S. 27,1986-11-04,85-558,1986,1986-10,"federal taxation, typically under provisions of the Internal Revenue Code",1986-10-14,1,0,9,Carter G. Phillips,0,loc,"https://www.oyez.org/cases/1986/85-558"
