oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53001,473,95,1985,"Pattern Makers' League of North America, AFL-CIO v. National Labor Relations Board",0,473 U.S. 95,1985-06-27,83-1894,1984,1984-10,union-union member dispute (except as pertains to union or closed shop),"1985-02-27,1985-04-22",2,4,5,Charles Fried,0,loc,"https://www.oyez.org/cases/1984/83-1894"
52953,471,290,1985,Tony and Susan Alamo Foundation v. Secretary of Labor,0,471 U.S. 290,1985-04-23,83-1935,1984,1984-10,Fair Labor Standards Act,1985-03-25,1,0,9,Charles Fried,0,loc,"https://www.oyez.org/cases/1984/83-1935"
53114,475,534,1986,Bender v. Williamsport Area School District,0,475 U.S. 534,1986-03-25,84-773,1985,1985-10,"establishment of religion (other than as pertains to parochiaid:)",1985-10-15,1,4,5,Charles Fried,0,loc,"https://www.oyez.org/cases/1985/84-773"
53235,474,344,1986,Davidson v. Cannon,0,474 U.S. 344,1986-01-21,84-6470,1985,1985-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1985-11-06,1,3,6,Charles Fried,0,loc,"https://www.oyez.org/cases/1985/84-6470"
53254,478,30,1986,Thornburg v. Gingles,0,478 U.S. 30,1986-06-30,83-1968,1985,1985-10,"Voting Rights Act of 1965, plus amendments",1985-12-04,1,0,9,Charles Fried,0,loc,"https://www.oyez.org/cases/1985/83-1968"
53101,476,355,1986,Louisiana Public Service Commission v. Federal Communications Commission,0,476 U.S. 355,1986-05-27,84-871,1985,1985-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1986-01-13,1,5,2,Charles Fried,0,loc,"https://www.oyez.org/cases/1985/84-871"
53244,477,597,1986,United States Department of Transportation v. Paralyzed Veterans of America,0,477 U.S. 597,1986-06-27,85-289,1985,1985-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1986-03-26,1,6,3,Charles Fried,0,loc,"https://www.oyez.org/cases/1985/85-289"
53267,478,714,1986,Bowsher v. Synar,0,478 U.S. 714,1986-07-07,85-1377,1985,1985-10,miscellaneous,1986-04-23,1,2,7,Charles Fried,0,loc,"https://www.oyez.org/cases/1985/85-1377"
53284,479,60,1986,Ansonia Board of Education v. Philbrook,0,479 U.S. 60,1986-11-17,85-495,1986,1986-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1986-10-14,1,8,1,Charles Fried,0,loc,"https://www.oyez.org/cases/1986/85-495"
53286,480,149,1987,United States v. Paradise,0,480 U.S. 149,1987-02-25,85-999,1986,1986-10,affirmative action,1986-11-12,1,4,5,Charles Fried,0,loc,"https://www.oyez.org/cases/1986/85-999"
53429,480,273,1987,"School Board of Nassau County, Florida v. Arline",0,480 U.S. 273,1987-03-03,85-1277,1986,1986-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1986-12-03,1,2,7,Charles Fried,0,loc,"https://www.oyez.org/cases/1986/85-1277"
