oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52966,470,729,1985,Florida Power & Light Company v. Lorion,0,470 U.S. 729,1985-03-20,83-703,1984,1984-10,judicial review of administrative agency's or administrative official's actions and procedures,1984-10-29,1,8,1,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1984/83-703"
53060,472,648,1985,"Cornelius, Acting Director, Office of Personnel Management v. Nutt",0,472 U.S. 648,1985-06-24,83-1673,1984,1984-10,"due process: hearing, government employees",1985-01-07,1,6,2,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1984/83-1673"
52947,471,419,1985,Liparota v. United States,0,471 U.S. 419,1985-05-13,84-5108,1984,1984-10,"statutory construction of criminal laws: fraud",1985-03-19,1,6,2,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1984/84-5108"
53141,478,310,1986,Library of Congress v. Shaw,0,478 U.S. 310,1986-07-01,85-54,1985,1985-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,1986-02-24,1,6,3,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1985/85-54"
53228,476,426,1986,Federal Deposit Insurance Corporation v. Philadelphia Gear Corporation,0,476 U.S. 426,1986-05-27,84-1972,1985,1985-10,miscellaneous economic regulation,1986-03-04,1,6,3,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1985/84-1972"
53138,477,556,1986,"United States Dept. of the Treasury, Bureau of Alcohol, Tobacco and Firearms v. Galioto",0,477 U.S. 556,1986-06-26,84-1904,1985,1985-10,"mootness (cf. standing to sue: live dispute)",1986-03-26,1,9,0,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1985/84-1904"
53295,479,388,1987,Clarke v. Securities Industry Association,0,479 U.S. 388,1987-01-14,85-971,1986,1986-10,federal or state regulation of securities,1986-11-03,1,8,0,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1986/85-971"
53340,479,523,1987,Connecticut v. Barrett,0,479 U.S. 523,1987-01-27,85-899,1986,1986-10,Miranda warnings,1986-12-09,1,7,0,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1986/85-899"
53299,483,27,1987,"Citicorp Industrial Credit, Inc. v. Brock",0,483 U.S. 27,1987-06-22,86-88,1986,1986-10,Fair Labor Standards Act,1987-04-20,1,2,7,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1986/86-88"
53463,485,58,1988,Mathews v. United States,0,485 U.S. 58,1988-02-24,86-6109,1987,1987-10,"subconstitutional fair procedure: entrapment",1987-12-02,1,6,2,Charles A. Rothfeld,0,loc,"https://www.oyez.org/cases/1987/86-6109"
