oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53092,471,858,1985,Russell v. United States,0,471 U.S. 858,1985-06-03,84-435,1984,1984-10,"statutory construction of criminal laws: miscellaneous",1985-04-24,1,0,9,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1984/84-435"
53123,475,133,1986,United States v. Koecher,0,475 U.S. 133,1986-02-25,84-1922,1985,1985-10,"mootness (cf. standing to sue: live dispute)",1986-01-15,1,0,9,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1985/84-1922"
53180,476,16,1986,McLaughlin v. United States,0,476 U.S. 16,1986-04-29,85-5189,1985,1985-10,"statutory construction of criminal laws: bank robbery",1986-03-31,1,0,9,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1985/85-5189"
53322,479,511,1987,Wimberly v. Labor and Industrial Relations Commission of Missouri,0,479 U.S. 511,1987-01-21,85-129,1986,1986-10,sex discrimination in employment (cf. sex discrimination),1986-12-09,1,0,8,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1986/85-129"
53306,481,828,1987,United States v. Mendoza-Lopez,0,481 U.S. 828,1987-05-26,85-2067,1986,1986-10,deportation (cf. immigration and naturalization),1987-03-03,1,4,5,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1986/85-2067"
53357,483,669,1987,United States v. Stanley,0,483 U.S. 669,1987-06-25,86-393,1986,1986-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1987-04-21,1,5,4,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1986/86-393"
62200,484,439,1988,United States v. Fausto,0,484 U.S. 439,1988-01-25,86-595,1987,1987-10,"election of remedies: legal remedies available to injured persons or things",1987-10-07,1,5,3,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1987/86-595"
53501,485,589,1988,Regents of the University of California v. Public Employment Relations Board,0,485 U.S. 589,1988-04-20,86-935,1987,1987-10,"labor-management disputes: distribution of union literature",1988-01-12,1,6,2,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1987/86-935"
62241,487,392,1988,Sheridan v. United States,0,487 U.S. 392,1988-06-24,87-626,1987,1987-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1988-04-26,1,6,3,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1987/87-626"
53591,489,101,1989,Firestone Tire & Rubber Company v. Bruch,0,489 U.S. 101,1989-02-21,87-1054,1988,1988-10,Employee Retirement Income Security Act (cf. union trust funds),1988-11-30,1,0,9,Christopher J. Wright,0,loc,"https://www.oyez.org/cases/1988/87-1054"
