oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55473,554,316,2008,Plains Commerce Bank v. Long Family Land & Cattle Co.,0,554 U.S. 316,2008-06-25,07-411,2007,2007-10,Indians (other than pertains to state jurisdiction over),2008-04-14,1,5,4,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2007/07-411"
55535,556,247,2009,14 Penn Plaza LLC v. Pyett,0,556 U.S. 247,2009-04-01,07-581,2008,2008-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2008-12-01,1,5,4,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2008/07-581"
55546,557,0,2009,Nijhawan v. Holder,0,557 U.S. ___,2009-06-15,08-495,2008,2008-10,deportation (cf. immigration and naturalization),2009-04-27,1,0,9,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2008/08-495"
55659,559,335,2010,Jones v. Harris Associates L.P.,0,559 U.S. 335,2010-03-30,08-586,2009,2009-10,federal or state regulation of securities,2009-11-02,1,9,0,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2009/08-586"
55707,560,438,2010,Carr v. United States,0,560 U.S. 438,2010-06-01,08-1301,2009,2009-10,"statutory construction of criminal laws: miscellaneous",2010-02-24,1,6,3,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2009/08-1301"
55810,564,0,2011,"Janus Capital Group, Inc. v. First Derivative Traders",0,564 U.S. ___,2011-06-13,09-525,2010,2010-10,federal or state regulation of securities,2010-12-07,1,5,4,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2010/09-525"
55750,564,0,2011,Freeman v. United States,0,564 U.S. ___,2011-06-23,09-10245,2010,2010-10,"statutory construction of criminal laws: sentencing guidelines",2011-02-23,1,5,4,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2010/09-10245"
55779,563,816,2011,McNeill v. United States,0,563 U.S. 816,2011-06-06,10-5258,2010,2010-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",2011-04-25,1,0,9,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2010/10-5258"
55870,565,0,2011,Judulang v. Holder,0,565 U.S. ___,2011-12-12,10-694,2011,2011-10,deportation (cf. immigration and naturalization),2011-10-12,1,9,0,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2011/10-694"
55839,565,0,2012,Kawashima v. Holder,0,565 U.S. ___,2012-02-21,10-577,2011,2011-10,deportation (cf. immigration and naturalization),2011-11-07,1,3,6,Curtis E. Gannon,0,scotusBound,"https://www.oyez.org/cases/2011/10-577"
