oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"59205",351,56,1956,"Dixie Carriers, Inc. v. United States","","351 U.S. 56","1956-04-23","233","1955","1955-10","federal or state regulation of transportation regulation: railroad","1956-03-27",1,9,0,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1955/233"
"59502",355,24,1957,"Black v. Magnolia Liquor Company, Inc.","","355 U.S. 24","1957-11-12","14","1957","1957-10","antitrust (except in the context of mergers and union antitrust)","1957-10-17",1,9,0,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1957/14"
"59613",356,1,1958,"Northern Pacific Railway Company v. United States","","356 U.S. 1","1958-03-10","59","1957","1957-10","antitrust (except in the context of mergers and union antitrust)","1958-01-07,1958-01-08",2,3,5,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1957/59"
"59820",360,593,1959,"Howard v. Lyons","","360 U.S. 593","1959-06-29","57","1958","1958-10","corruption, governmental or governmental regulation of other than as in campaign spending","1958-12-08,1958-12-09,1959-04-20,1959-04-21",4,6,3,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1958/57"
"59733",359,385,1959,"Federal Trade Commission v. Mandel Brothers, Inc.","","359 U.S. 385","1959-05-04","234","1958","1958-10","antitrust (except in the context of mergers and union antitrust)","1959-03-23",1,9,0,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1958/234"
"59767",360,564,1959,"Barr v. Matteo","","360 U.S. 564","1959-06-29","350","1958","1958-10","corruption, governmental or governmental regulation of other than as in campaign spending","1959-04-20",1,5,4,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1958/350"
"59896",362,29,1960,"United States v. Parke, Davis & Company","","362 U.S. 29","1960-02-29","20","1959","1959-10","antitrust (except in the context of mergers and union antitrust)","1959-11-10",1,6,3,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1959/20"
"59994",363,166,1960,"FTC v. Henry Broch & Company","","363 U.S. 166","1960-06-06","61","1959","1959-10","antitrust (except in the context of mergers and union antitrust)","1960-01-14,1960-01-18",2,5,4,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1959/61"
"59876",363,237,1960,"United States v. Brosnan","","363 U.S. 237","1960-06-13","137,183","1959","1959-10","priority of federal fiscal claims: over those of the states or private entities","1960-03-21,1960-03-22",2,4,5,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1959/137"
"59950",364,59,1960,"Gonzales v. United States","","364 U.S. 59","1960-06-27","416","1959","1959-10","conscientious objectors (cf. military draftee or military active duty) to military service","1960-05-02",1,4,5,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1959/416"
"60108",364,372,1960,"McPhaul v. United States","","364 U.S. 372","1960-11-14","33","1960","1960-10","legislative investigations: concerning internal security only","1960-10-13",1,4,5,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1960/33"
"60068",365,381,1961,"Wilson v. Schnettler","","365 U.S. 381","1961-02-27","182","1960","1960-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1960-12-15",1,3,6,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1960/182"
"60197",365,312,1961,"Clancy v. United States","","365 U.S. 312","1961-02-27","88","1960","1960-10","discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)","1961-01-10",1,6,3,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1960/88"
"60156",366,683,1961,"Sam Fox Publishing Company, Inc. v. United States","","366 U.S. 683","1961-05-29","56","1960","1960-10","Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","1961-03-29,1961-03-30",2,0,8,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1960/56"
"60290",368,324,1961,"A. L. Mechling Barge Lines, Inc. v. United States","","368 U.S. 324","1961-12-18","41","1961","1961-10","mootness (cf. standing to sue: live dispute)","1961-11-08,1961-11-09",2,5,4,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1961/41"
"60212",369,643,1962,"Malone v. Bowdoin","","369 U.S. 643","1962-05-14","113","1961","1961-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","1962-03-20",1,5,2,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1961/113"
"60229",372,29,1963,"United States v. National Dairy Products Corporation","","372 U.S. 29","1963-02-18","18","1961","1961-10","antitrust (except in the context of mergers and union antitrust)","1962-03-21,1962-12-05",2,6,3,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1961/18"
"60255",369,654,1962,"United States v. Diebold, Inc.","","369 U.S. 654","1962-05-14","286","1961","1961-10","Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","1962-04-23",1,8,0,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1961/286"
"60473",371,38,1962,"United States v. Lowe's Incorporated","","371 U.S. 38","1962-11-05","42","1962","1962-10","antitrust (except in the context of mergers and union antitrust)","1962-10-16",1,7,2,"Daniel M. Friedman","","loc","https://www.oyez.org/cases/1962/42"
