oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54498,520,548,1997,Harbor Tug & Barge Company v. Papai,0,520 U.S. 548,1997-05-12,95-1621,1996,1996-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1997-01-13,1,6,3,David C. Frederick,0,loc,"https://www.oyez.org/cases/1996/95-1621"
54576,523,491,1998,"California v. Deep Sea Research, Inc.",0,523 U.S. 491,1998-04-22,96-1400,1997,1997-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1997-12-01,1,0,9,David C. Frederick,0,loc,"https://www.oyez.org/cases/1997/96-1400"
54602,523,65,1998,United States v. Ramirez,0,523 U.S. 65,1998-03-04,96-1469,1997,1997-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1998-01-13,1,9,0,David C. Frederick,0,loc,"https://www.oyez.org/cases/1997/96-1469"
54665,523,1114,1998,"Lewis, Deceased v. Brunswick Corporation",0,523 U.S. 1114,1998-05-15,97-288,1997,1997-10,0,1998-03-02,1,0,9,David C. Frederick,0,loc,"https://www.oyez.org/cases/1997/97-288"
54710,525,120,1998,Mosley v. United States,0,525 U.S. 120,1998-12-08,97-7213,1998,1998-10,"mootness (cf. standing to sue: live dispute)",1998-10-14,1,0,9,David C. Frederick,0,loc,"https://www.oyez.org/cases/1998/97-7213"
54735,525,315,1999,California Public Employees' Retirement System v. Felzen,0,525 U.S. 315,1999-01-20,97-1732,1998,1998-10,0,1999-01-11,1,4,4,David C. Frederick,0,loc,"https://www.oyez.org/cases/1998/97-1732"
54760,527,229,1999,National Aeronautics and Space Administration v. Federal Labor Relations Authority,0,527 U.S. 229,1999-06-17,98-369,1998,1998-10,"labor-management disputes: union representatives",1999-03-23,1,4,5,David C. Frederick,0,loc,"https://www.oyez.org/cases/1998/98-369"
54833,529,89,2000,United States v. Locke,0,529 U.S. 89,2000-03-06,98-1701,1999,1999-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1999-12-07,1,9,0,David C. Frederick,0,loc,"https://www.oyez.org/cases/1999/98-1701"
54767,530,255,2000,Carter v. United States,0,530 U.S. 255,2000-06-12,99-5716,1999,1999-10,"statutory construction of criminal laws: bank robbery",2000-04-19,1,4,5,David C. Frederick,0,loc,"https://www.oyez.org/cases/1999/99-5716"
54920,531,425,2001,Central Green Company v. United States,0,531 U.S. 425,2001-02-21,99-859,2000,2000-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2000-10-30,1,9,0,David C. Frederick,0,loc,"https://www.oyez.org/cases/2000/99-859"
54912,531,316,2001,Director of Revenue of Missouri v. CoBank ACB,0,531 U.S. 316,2001-02-20,99-1792,2000,2000-10,state or local government tax,2000-11-28,1,9,0,David C. Frederick,0,loc,"https://www.oyez.org/cases/2000/99-1792"
54939,533,262,2001,Idaho v. United States,0,533 U.S. 262,2001-06-18,00-189,2000,2000-10,"Indians, state jurisdiction over",2001-04-23,1,4,5,David C. Frederick,0,loc,"https://www.oyez.org/cases/2000/00-189"
55251,543,14,2004,"Norfolk Southern Railway Company v. James N. Kirby, Proprietary Limited",0,543 U.S. 14,2004-11-09,02-1028,2004,2004-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2004-10-06,1,9,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2004/02-1028"
55244,544,431,2005,Bates v. Dow Agrosciences LLC,0,544 U.S. 431,2005-04-27,03-388,2004,2004-10,federal pre-emption of state court jurisdiction,2005-01-10,1,7,2,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2004/03-388"
55260,545,0,2005,Spector v. Norwegian Cruise Line Ltd.,0,545 U.S. ___,2005-06-06,03-1388,2004,2004-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2005-02-28,1,6,3,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2004/03-1388"
55363,546,81,2005,Lincoln Property Co. v. Roche,0,546 U.S. 81,2005-11-29,04-712,2005,2005-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2005-10-11,1,9,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2005/04-712"
55296,547,71,2006,"Merrill Lynch, Pierce, Fenner & Smith, Inc. v. Dabit",0,547 U.S. 71,2006-03-21,04-1371,2005,2005-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2006-01-18,1,8,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2005/04-1371"
55319,547,451,2006,Anza v. Ideal Steel Supply Corporation,0,547 U.S. 451,2006-06-05,04-433,2005,2005-10,"standing to sue: statutory standing",2006-03-27,1,9,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2005/04-433"
55339,547,633,2006,Kircher v. Putnam Funds Trust,0,547 U.S. 633,2006-06-15,05-409,2005,2005-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2006-04-24,1,9,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2005/05-409"
55396,551,224,2007,"Powerex Corp. v. Reliant Energy Services, Inc.",0,551 U.S. 224,2007-06-18,05-85,2006,2006-10,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)",2007-04-16,1,7,2,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2006/05-85"
55452,551,142,2007,"Watson v. Philip Morris Companies, Inc.",0,551 U.S. 142,2007-06-11,05-1284,2006,2006-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2007-04-25,1,9,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2006/05-1284"
55514,552,597,2008,New Jersey v. Delaware,0,552 U.S. 597,2008-03-31,134 Orig.,2007,2007-10,boundary dispute between states,2007-11-27,1,3,5,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2007/134-orig"
55473,554,316,2008,Plains Commerce Bank v. Long Family Land & Cattle Co.,0,554 U.S. 316,2008-06-25,07-411,2007,2007-10,Indians (other than pertains to state jurisdiction over),2008-04-14,1,5,4,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2007/07-411"
55602,555,70,2008,"Altria Group, Inc. v. Good",0,555 U.S. 70,2008-12-15,07-562,2008,2008-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2008-10-06,1,4,5,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2008/07-562"
55586,555,0,2009,Wyeth v. Levine,0,555 U.S. ___,2009-03-04,06-1249,2008,2008-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2008-11-03,1,3,6,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2008/06-1249"
55535,556,247,2009,14 Penn Plaza LLC v. Pyett,0,556 U.S. 247,2009-04-01,07-581,2008,2008-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2008-12-01,1,5,4,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2008/07-581"
55632,558,256,2010,South Carolina v. North Carolina,0,558 U.S. 256,2010-01-20,138 Orig.,2009,2009-10,non-real property dispute between states,2009-10-13,1,5,4,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2009/138-orig"
55659,559,335,2010,Jones v. Harris Associates L.P.,0,559 U.S. 335,2010-03-30,08-586,2009,2009-10,federal or state regulation of securities,2009-11-02,1,9,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2009/08-586"
55693,559,633,2010,Merck & Co. v. Reynolds,0,559 U.S. 633,2010-04-27,08-905,2009,2009-10,federal or state regulation of securities,2009-11-30,1,0,9,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2009/08-905"
55677,561,89,2010,Kawasaki Kisen Kaisha Ltd. v. Regal-Beloit Corp.,0,561 U.S. 89,2010-06-21,08-1553,2009,2009-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2010-03-24,1,6,3,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2009/08-1553"
55721,562,223,2011,Bruesewitz v. Wyeth Inc.,0,562 U.S. 223,2011-02-22,09-152,2010,2010-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2010-10-12,1,2,6,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2010/09-152"
55810,564,0,2011,"Janus Capital Group, Inc. v. First Derivative Traders",0,564 U.S. ___,2011-06-13,09-525,2010,2010-10,federal or state regulation of securities,2010-12-07,1,5,4,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2010/09-525"
55780,563,27,2011,"Matrixx Initiatives, Inc. v. Siracusano",0,563 U.S. 27,2011-03-22,09-1156,2010,2010-10,federal or state regulation of securities,2011-01-10,1,0,9,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2010/09-1156"
55757,563,110,2011,Astra USA v. Santa Clara County,0,563 U.S. 110,2011-03-29,09-1273,2010,2010-10,judicial review of administrative agency's or administrative official's actions and procedures,2011-01-19,1,8,0,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2010/09-1273"
55719,564,0,2011,CSX Transportation v. McBride,0,564 U.S. ___,2011-06-23,10-235,2010,2010-10,"sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death",2011-03-28,1,4,5,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2010/10-235"
55826,565,0,2012,Pacific Operators Offshore v. Valladolid,0,565 U.S. ___,2012-01-11,10-507,2011,2011-10,"sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death",2011-10-11,1,0,9,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2011/10-507"
55860,565,0,2012,Kurns v. Railroad Friction Products Corp.,0,565 U.S. ___,2012-02-29,10-879,2011,2011-10,federal pre-emption of state court jurisdiction,2011-11-09,1,3,6,David C. Frederick,0,scotusBound,"https://www.oyez.org/cases/2011/10-879"
55943,568,115,2013,Lozman v. Riviera Beach,0,568 U.S. 115,2013-01-15,11-626,2012,2012-10,"due process: takings clause, or other non-constitutional governmental taking of property",2012-10-01,1,7,2,David C. Frederick,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-626"
55907,568,455,2013,Amgen Inc. v. Connecticut Retirement Plans and Trust Funds,0,568 U.S. 455,2013-02-27,11-1085,2012,2012-10,federal or state regulation of securities,2012-11-05,1,3,6,David C. Frederick,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1085"
55921,568,588,2013,Standard Fire Insurance Company v. Knowles,0,568 U.S. 588,2013-03-19,11-1450,2012,2012-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2013-01-07,1,9,0,David C. Frederick,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1450"
55962,570,0,2013,Mutual Pharmaceutical Co. v. Bartlett,0,570 U.S. ___,2013-06-24,12-142,2012,2012-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2013-03-19,1,5,4,David C. Frederick,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-142"
62265,573,0,2014,"ABC, Inc. v. Aereo, Inc.",0,573 U.S. ___,2014-06-25,13-461,2013,2013-10,"patents and copyrights: trademark",2014-04-22,1,6,3,David C. Frederick,0,slipopinion/13,"https://www.oyez.org/cases/2013/13-461"
56106,574,0,2015,"Jesinoski v. Countrywide Home Loans, Inc.",0,574 U.S. ___,2015-01-13,13-684,2014,2014-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2014-11-04,1,9,0,David C. Frederick,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-684"
56096,575,0,2015,Tibble v. Edison International,0,575 U.S. ___,2015-05-18,13-550,2014,2014-10,Employee Retirement Income Security Act (cf. union trust funds),2015-02-24,1,9,0,David C. Frederick,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-550"
62322,577,0,2016,"Tyson Foods, Inc. v. Bouaphakeo",0,577 U.S. ___,2016-03-22,14-1146,2015,2015-10,Fair Labor Standards Act,2015-11-10,1,2,6,David C. Frederick,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1146"
62314,578,0,2016,Friedrichs v. California Teachers Association,0,578 U.S. ___,2016-03-29,14-915,2015,2015-10,"union or closed shop: includes agency shop litigation",2016-01-11,1,4,4,David C. Frederick,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-915"
62582,579,0,2016,RJR Nabisco v. The European Community,0,579 U.S. ___,2016-06-20,15-138,2015,2015-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2016-03-21,1,4,3,David C. Frederick,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-138"
62633,579,0,2016,"Universal Health Services, Inc. v. Escobar",0,579 U.S. ___,2016-06-16,15-7,2015,2015-10,"corruption, governmental or governmental regulation of other than as in campaign spending",2016-04-19,1,8,0,David C. Frederick,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-7"
62896,585,0,2018,"Janus v. American Federation of State, County, and Municipal Employees, Council 31",0,585 U.S. ___,2018-06-27,16-1466,2017,2017-10,"union or closed shop: includes agency shop litigation",2018-02-26,1,5,4,David C. Frederick,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1466"
62934,584,0,2018,China Agritech v. Resh,0,584 U.S. ___,2018-06-11,17-432,2017,2017-10,"judicial administration: untimely filing",2018-03-26,1,9,0,David C. Frederick,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-432"
62992,0,0,0,BNSF Railway Company v. Loos,0,___ U.S. ___,0,17-1042,2018,2018-10,0,2018-11-06,1,0,0,David C. Frederick,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1042"
63000,0,0,0,Apple v. Pepper,0,___ U.S. ___,0,17-204,2018,2018-10,0,2018-11-26,1,0,0,David C. Frederick,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-204"
63017,0,0,0,Merck Sharp & Dohme Corp. v. Albrecht,0,___ U.S. ___,0,17-290,2018,2018-10,0,2019-01-07,1,0,0,David C. Frederick,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-290"
63079,587,0,2019,"Parker Drilling Management Services, Ltd. v. Newton",0,587 U.S. ___,2019-06-10,18-389,2018,2018-10,0,2019-04-16,1,0,0,David C. Frederick,0,slipopinion/18,"https://www.oyez.org/cases/2018/18-389"
63385,0,0,0,Mississippi v. Tennessee,0,___ U.S. ___,2021-11-22,143 Orig.,2021,2021-10,0,2021-10-04,1,0,0,David C. Frederick,0,slipopinion/21,"https://www.oyez.org/cases/2021/143-orig"
63382,595,0,2022,Hughes v. Northwestern University,0,595 U.S. ___,2022-01-24,19-1401,2021,2021-10,0,2021-12-06,1,0,0,David C. Frederick,0,slipopinion/21,"https://www.oyez.org/cases/2021/19-1401"
63433,596,0,2022,LeDure v. Union Pacific Railroad Company,0,596 U.S. ___,2022-04-28,20-807,2021,2021-10,0,2022-03-28,1,0,0,David C. Frederick,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-807"
63604,0,0,0,"Macquarie Infrastructure Corp. v. Moab Partners, L.P.",0,___ U.S. ___,0,22-1165,2023,2023-10,0,2024-01-16,1,0,0,David C. Frederick,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-1165"
