oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52498,454,201,1981,Ralston v. Robinson,0,454 U.S. 201,1981-12-02,80-2049,1981,1981-10,juveniles (cf. rights of illegitimates),1981-10-05,1,6,3,David A. Strauss,0,loc,"https://www.oyez.org/cases/1981/80-2049"
52507,456,63,1982,American Tobacco Company v. Patterson,0,456 U.S. 63,1982-04-05,80-1199,1981,1981-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1982-01-19,1,5,4,David A. Strauss,0,loc,"https://www.oyez.org/cases/1981/80-1199"
52455,458,219,1982,Ford Motor Company v. Equal Employment Opportunity Commission,0,458 U.S. 219,1982-06-28,81-300,1981,1981-10,sex discrimination in employment (cf. sex discrimination),1982-04-20,1,6,3,David A. Strauss,0,loc,"https://www.oyez.org/cases/1981/81-300"
52609,463,60,1983,Bolger v. Youngs Drug Products Corporation,0,463 U.S. 60,1983-06-24,81-1590,1982,1982-10,"commercial speech, excluding attorneys",1983-01-12,1,0,8,David A. Strauss,0,loc,"https://www.oyez.org/cases/1982/81-1590"
52673,463,1032,1983,Michigan v. Long,0,463 U.S. 1032,1983-07-06,82-256,1982,1982-10,"search and seizure, vehicles",1983-02-23,1,6,3,David A. Strauss,0,loc,"https://www.oyez.org/cases/1982/82-256"
52632,462,87,1983,"Baltimore Gas & Electric Company v. Natural Resources Defense Council, Inc.",0,462 U.S. 87,1983-06-06,82-524,1982,1982-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1983-04-19,1,8,0,David A. Strauss,0,loc,"https://www.oyez.org/cases/1982/82-524"
52862,465,420,1984,Minnesota v. Murphy,0,465 U.S. 420,1984-02-22,82-827,1983,1983-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),1983-10-12,1,6,3,David A. Strauss,0,loc,"https://www.oyez.org/cases/1983/82-827"
52873,466,109,1984,United States v. Jacobsen,0,466 U.S. 109,1984-04-02,82-1167,1983,1983-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1983-12-07,1,7,2,David A. Strauss,0,loc,"https://www.oyez.org/cases/1983/82-1167"
52836,467,649,1984,New York v. Quarles,0,467 U.S. 649,1984-06-12,82-1213,1983,1983-10,Miranda warnings,1984-01-18,1,5,4,David A. Strauss,0,loc,"https://www.oyez.org/cases/1983/82-1213"
52868,467,512,1984,Franchise Tax Board of California v. United States Postal Service,0,467 U.S. 512,1984-06-11,83-372,1983,1983-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1984-04-17,1,9,0,David A. Strauss,0,loc,"https://www.oyez.org/cases/1983/83-372"
52990,470,166,1985,National Association for the Advancement of Colored People v. Hampton County Election Commission,0,470 U.S. 166,1985-02-27,83-1015,1984,1984-10,"Voting Rights Act of 1965, plus amendments",1984-11-28,1,9,0,David A. Strauss,0,loc,"https://www.oyez.org/cases/1984/83-1015"
52982,473,667,1985,United States v. Bagley,0,473 U.S. 667,1985-07-02,84-48,1984,1984-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",1985-03-20,1,5,3,David A. Strauss,0,loc,"https://www.oyez.org/cases/1984/84-48"
53018,472,675,1985,United States v. Albertini,0,472 U.S. 675,1985-06-24,83-1624,1984,1984-10,"protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees",1985-04-15,1,6,3,David A. Strauss,0,loc,"https://www.oyez.org/cases/1984/83-1624"
54357,515,189,1995,"Milwaukee v. Cement Div., National Gypsum Co.",0,515 U.S. 189,1995-06-12,94-788,1994,1994-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1995-04-24,1,0,8,David A. Strauss,0,loc,"https://www.oyez.org/cases/1994/94-788"
54612,523,83,1998,Steel Company v. Citizens for Better Environment,0,523 U.S. 83,1998-03-04,96-643,1997,1997-10,"standing to sue: direct injury",1997-10-06,1,9,0,David A. Strauss,0,loc,"https://www.oyez.org/cases/1997/96-643"
54630,523,613,1998,Ricci v. Arlington Heights,0,523 U.S. 613,1998-05-04,97-501,1997,1997-10,"no merits: writ improvidently granted",1998-04-21,1,0,9,David A. Strauss,0,loc,"https://www.oyez.org/cases/1997/97-501"
54972,534,316,2002,Thomas v. Chicago Park District,0,534 U.S. 316,2002-01-15,00-1249,2001,2001-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2001-12-03,1,0,9,David A. Strauss,0,loc,"https://www.oyez.org/cases/2001/00-1249"
55186,541,125,2004,Nixon v. Missouri Municipal League,0,541 U.S. 125,2004-03-24,02-1238,2003,2003-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2004-01-12,1,8,1,David A. Strauss,0,loc,"https://www.oyez.org/cases/2003/02-1238"
62872,583,0,2018,Rubin v. Islamic Republic of Iran,0,583 U.S. ___,2018-02-21,16-534,2017,2017-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2017-12-04,1,0,8,David A. Strauss,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-534"
