oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"55233",543,1032,2004,"Wilkinson v. Austin","","543 U.S. 1032","2005-06-13","04-495","2004","2004-10","due process: prisoners' rights and defendants' rights","2005-03-30",1,9,0,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2004/04-495"
"55373",546,43,2005,"United States v. Olson","","546 U.S. 43","2005-11-08","04-759","2005","2005-10","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","2005-10-12",1,9,0,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2005/04-759"
"55352",547,293,2006,"Marshall v. Marshall","","547 U.S. 293","2006-05-01","04-1544","2005","2005-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","2006-02-28",1,9,0,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2005/04-1544"
"55404",549,118,2007,"MedImmune, Inc. v. Genentech, Inc.","","549 U.S. 118","2007-01-09","05-608","2006","2006-10","standing to sue: legal injury","2006-10-04",1,8,1,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2006/05-608"
"55428",550,429,2007,"EC Term of Years Trust v. United States","","550 U.S. 429","2007-04-30","05-1541","2006","2006-10","federal taxation, typically under provisions of the Internal Revenue Code","2007-02-26",1,0,9,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2006/05-1541"
"55523",552,74,2007,"Watson v. United States","","552 U.S. 74","2007-12-10","06-571","2007","2007-10","statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol","2007-10-09",1,9,0,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2007/06-571"
"55463",552,421,2008,"Boulware v. United States","","552 U.S. 421","2008-03-03","06-1509","2007","2007-10","statutory construction of criminal laws: internal revenue (cf. Federal Taxation)","2008-01-08",1,9,0,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2007/06-1509"
"55497",554,237,2008,"Greenlaw v. United States","","554 U.S. 237","2008-06-23","07-330","2007","2007-10","judicial administration: jurisdiction or authority of federal courts of appeals","2008-04-15",1,6,3,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2007/07-330"
"55553",555,0,2009,"Carcieri v. Salazar","","555 U.S. ___","2009-02-24","07-526","2008","2008-10","Indians, state jurisdiction over","2008-11-03",1,6,3,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2008/07-526"
"55595",555,0,2009,"Pacific Bell Telephone Co. v. LinkLine Communications","","555 U.S. ___","2009-02-25","07-512","2008","2008-10","antitrust (except in the context of mergers and union antitrust)","2008-12-08",1,9,0,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2008/07-512"
"55583",556,0,2009,"Dean v. United States","","556 U.S. ___","2009-04-29","08-5274","2008","2008-10","statutory construction of criminal laws: sentencing guidelines","2009-03-04",1,2,7,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2008/08-5274"
"55761",562,61,2011,"Ransom v. FIA Card Services, N.A.","","562 U.S. 61","2011-01-11","09-907","2010","2010-10","bankruptcy (except in the context of priority of federal fiscal claims)","2010-10-04",1,1,8,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2010/09-907"
"55827",566,0,2012,"RadLAX Gateway Hotel v. Amalgamated Bank","","566 U.S. ___","2012-05-29","11-166","2011","2011-10","debtors' rights","2012-04-23",1,0,8,"Deanne E. Maynard","","scotusBound","https://www.oyez.org/cases/2011/11-166"
"62799",582,0,2017,"Sandoz Inc. v. Amgen Inc.","","582 U.S. ___","2017-06-12","15-1039,15-1195","2016","2016-10","patents and copyrights: patent","2017-04-26",1,9,0,"Deanne E. Maynard","","slipopinion/16","https://www.oyez.org/cases/2016/15-1039"
