oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59195,350,270,1956,Mastro Plastics Corporation v. National Labor Relations Board,0,350 U.S. 270,1956-02-27,19,1955,1955-10,"labor-management disputes: no-strike clause",1955-10-17,1,3,6,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1955/19"
59208,351,105,1956,National Labor Relations Board v. Babcock & Wilcox Company,0,351 U.S. 105,1956-04-30,"250,422,251",1955,1955-10,"labor-management disputes: distribution of union literature","1956-01-25,1956-01-26",2,0,8,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1955/250"
59344,353,87,1957,"National Labor Relations Board v. Truck Drivers Local Union Warehousemen and Helpers of America, A.F.L.",0,353 U.S. 87,1957-04-01,103,1956,1956-10,"labor-management disputes: miscellaneous dispute","1957-01-17,1957-01-22",2,8,0,Dominick L.Manoli,0,loc,"https://www.oyez.org/cases/1956/103"
59417,353,313,1957,"Office Employees International Union, Local No. 11, AFL-CIO v. National Labor Relations Board",0,353 U.S. 313,1957-05-06,422,1956,1956-10,"labor-management disputes: right to organize",1957-03-28,1,5,4,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1956/422"
59598,356,342,1958,National Labor Relations Board v. Wooster Division of Borg-Warner Corporation,0,356 U.S. 342,1958-05-05,53,1957,1957-10,"labor-management disputes: bargaining","1957-11-20,1957-11-21",2,5,4,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1957/53"
59622,355,453,1958,"National Labor Relations Board v. District 50, United Mine Workers of America",0,355 U.S. 453,1958-02-03,64,1957,1957-10,"labor-management disputes: representative election",1958-01-06,1,9,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1957/64"
59651,357,357,1958,"National Labor Relations Board v. United Steelworkers of America, CIO",0,357 U.S. 357,1958-06-30,"81,289",1957,1957-10,"labor-management disputes: distribution of union literature",1958-01-29,1,7,2,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1957/81"
59495,357,93,1958,"Local 1976, United Brotherhood of Carpenters and Joiners of America, A.F.L. v. National Labor Relations Board",0,357 U.S. 93,1958-06-16,"127,273",1957,1957-10,"labor-management disputes: secondary activity","1958-03-11,1958-03-12",2,3,6,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1957/127"
59727,358,99,1958,"Hotel Employees Local No. 255, Hotel and Restaurant Employees and Bartenders International Union v. Leedom",0,358 U.S. 99,1958-11-24,21,1958,1958-10,judicial review of administrative agency's or administrative official's actions and procedures,1958-11-10,1,9,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1958/21"
59804,360,301,1959,National Labor Relations Board v. Fant Milling Company,0,360 U.S. 301,1959-06-15,482,1958,1958-10,"labor-management disputes: bargaining",1959-05-20,1,9,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1958/482"
59882,361,477,1960,"National Labor Relations Board v. Insurance Agents' International Union, AFL-CIO",0,361 U.S. 477,1960-02-23,15,1959,1959-10,"labor-management disputes: bargaining","1959-12-07,1959-12-08",2,3,6,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1959/15"
59931,362,274,1960,"National Labor Relations Board v. Drivers, Chauffeurs, Helpers, Local Union No. 639, International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America",0,362 U.S. 274,1960-03-28,34,1959,1959-10,"labor-management disputes: picketing",1960-01-14,1,3,6,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1959/34"
59952,362,479,1960,"Communications Workers of America, AFL-CIO v. National Labor Relations Board",0,362 U.S. 479,1960-05-02,418,1959,1959-10,"labor-management disputes: miscellaneous dispute",1960-04-18,1,0,9,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1959/418"
60175,364,573,1961,"National Labor Relations Board v. Radio and Television Broadcast Engineers Union, Local 1212, International Brotherhood of Electrical Workers, AFL-CIO",0,364 U.S. 573,1961-01-09,69,1960,1960-10,"labor-management disputes: jurisdictional dispute","1960-11-10,1960-11-14",2,0,9,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1960/69"
60111,365,695,1961,"National Labor Relations Board v. News Syndicate Company, Inc.",0,365 U.S. 695,1961-04-17,339,1960,1960-10,"union or closed shop: includes agency shop litigation",1961-03-01,1,2,6,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1960/339"
60113,365,705,1961,"International typographical Union, AFL-CIO v. National Labor Relations Board",0,365 U.S. 705,1961-04-17,340,1960,1960-10,"union or closed shop: includes agency shop litigation",1961-03-01,1,6,2,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1960/340"
60093,366,731,1961,"International Ladies' Garment Workers' Union, AFL-CIO v. National Labor Relations Board",0,366 U.S. 731,1961-06-05,284,1960,1960-10,"labor-management disputes: representative election",1961-04-17,1,2,7,Dominick L.Manoli,0,loc,"https://www.oyez.org/cases/1960/284"
60302,370,9,1962,National Labor Relations Board v. Washington Aluminum Company,0,370 U.S. 9,1962-05-28,464,1961,1961-10,"labor-management disputes: employee discharge",1962-04-10,1,7,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1961/464"
60387,372,10,1963,McCulloch v. Sociedad Nacional de Marineros de Honduras,0,372 U.S. 10,1963-02-18,107,1962,1962-10,"labor-management disputes: representative election","1962-12-11,1962-12-12",2,0,8,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1962/107"
60656,375,405,1964,National Labor Relations Board v. Exchange Parts Company,0,375 U.S. 405,1964-01-13,26,1963,1963-10,"labor-management disputes: representative election",1963-12-11,1,9,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1963/26"
60794,376,492,1964,"United Steelworkers of America, AFL-CIO v. National Labor Relations Board",0,376 U.S. 492,1964-03-23,89,1963,1963-10,"labor-management disputes: picketing",1964-02-19,1,8,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1963/89"
60894,380,263,1965,Textile Workers Union of America v. Darlington Manufacturing Company,0,380 U.S. 263,1965-03-29,37,1964,1964-10,"labor-management disputes: miscellaneous dispute","1964-12-09,1964-12-10",2,7,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1964/37"
61180,386,612,1967,National Woodwork Manufacturers Association v. National Labor Relations Board,0,386 U.S. 612,1967-04-17,110,1966,1966-10,"union antitrust: legality of anticompetitive union activity","1967-01-18,1967-01-19",2,4,5,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1966/110"
61417,390,254,1968,National Labor Relations Board v. United Insurance Company of America,0,390 U.S. 254,1968-03-06,178,1967,1967-10,"labor-management disputes: bargaining","1968-01-23,1968-01-24",2,7,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1967/178"
61734,395,575,1969,"National Labor Relations Board v. Gissel Packing Company, Inc.",0,395 U.S. 575,1969-06-16,"573,585",1968,1968-10,"labor-management disputes: bargaining","1969-03-26,1969-03-27",2,8,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1968/573"
61928,397,655,1970,"Sears, Roebuck & Company v. Carpet, Linoleum, Soft Tile & Resilient Floor Covering Layers, Local Union No. 419, AFL-CIO",0,397 U.S. 655,1970-04-27,476,1969,1969-10,"mootness (cf. standing to sue: live dispute)",1970-03-03,1,8,0,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1969/476"
62136,402,600,1971,"National Labor Relations Board v. Natural Gas Utility District of Hawkins County, Tennessee",0,402 U.S. 600,1971-06-01,785,1970,1970-10,"labor-management disputes: representative election",1971-04-20,1,1,8,Dominick L. Manoli,0,loc,"https://www.oyez.org/cases/1970/785"
