oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55241,545,0,2005,Graham County Soil & Water Conservation District v. United States ex Rel. Wilson,0,545 U.S. ___,2005-06-20,04-169,2004,2004-10,"judicial administration: untimely filing",2005-04-20,1,7,2,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2004/04-169"
55297,546,345,2006,Will v. Hallock,0,546 U.S. 345,2006-01-18,04-1332,2005,2005-10,"judicial administration: review of non-final order",2005-11-28,1,0,9,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2005/04-1332"
55330,547,198,2006,Day v. McDonough,0,547 U.S. 198,2006-04-25,04-1324,2005,2005-10,habeas corpus,2006-02-27,1,3,6,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2005/04-1324"
55419,549,225,2007,Osborn v. Haley,0,549 U.S. 225,2007-01-22,05-593,2006,2006-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2006-10-30,1,2,7,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2006/05-593"
55384,549,422,2007,Sinochem International Co. Ltd. v. Malaysia International Shipping Corp.,0,549 U.S. 422,2007-03-05,06-102,2006,2006-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2007-01-09,1,9,0,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2006/06-102"
55396,551,224,2007,"Powerex Corp. v. Reliant Energy Services, Inc.",0,551 U.S. 224,2007-06-18,05-85,2006,2006-10,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)",2007-04-16,1,7,2,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2006/05-85"
55499,552,9,2007,"CSX Transportation, Inc. v. Georgia State Board of Equalization",0,552 U.S. 9,2007-12-04,06-1287,2007,2007-10,state or local government tax,2007-11-05,1,9,0,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2007/06-1287"
55468,552,364,2008,Rowe v. New Hampshire Motor Transport Association,0,552 U.S. 364,2008-02-20,06-457,2007,2007-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2007-11-28,1,0,9,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2007/06-457"
55518,553,880,2008,Taylor v. Sturgell,0,553 U.S. 880,2008-06-12,07-371,2007,2007-10,"judicial administration: collateral estoppel or res judicata",2008-04-16,1,9,0,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2007/07-371"
55602,555,70,2008,"Altria Group, Inc. v. Good",0,555 U.S. 70,2008-12-15,07-562,2008,2008-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2008-10-06,1,4,5,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2008/07-562"
55578,556,0,2009,Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi,0,556 U.S. ___,2009-04-21,07-615,2008,2008-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2009-01-12,1,6,3,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2008/07-615"
55538,556,0,2009,Republic of Iraq v. Beaty,0,556 U.S. ___,2009-06-08,07-1090,2008,2008-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2009-04-20,1,9,0,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2008/07-1090"
55686,559,280,2010,Graham County Soil and Water Conservation District v. United States,0,559 U.S. 280,2010-03-30,08-304,2009,2009-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2009-11-30,1,7,2,Douglas Hallward-Driemeier,0,scotusBound,"https://www.oyez.org/cases/2009/08-304"
56006,573,0,2014,Executive Benefits Insurance Agency v. Arkison,0,573 U.S. ___,2014-06-09,12-1200,2013,2013-10,bankruptcy (except in the context of priority of federal fiscal claims),2014-01-14,1,0,9,Douglas Hallward-Driemeier,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-1200"
56137,575,0,2015,"Bullard v. Blue Hills Bank, fka Hyde Park Savings",0,575 U.S. ___,2015-05-04,14-116,2014,2014-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2015-04-01,1,0,9,Douglas Hallward-Driemeier,0,slipopinion/14,"https://www.oyez.org/cases/2014/14-116"
56149,576,0,2015,Obergefell v. Hodges,0,576 U.S. ___,2015-06-26,"14-556,14-562,14-571,14-574",2014,2014-10,"due process: miscellaneous (cf. loyalty oath), the residual code",2015-04-28,1,5,4,Douglas Hallward-Driemeier,0,slipopinion/14,"https://www.oyez.org/cases/2014/14-556"
63043,0,0,0,"Mission Product Holdings, Inc. v. Tempnology, LLC",0,___ U.S. ___,0,17-1657,2018,2018-10,0,2019-02-20,1,0,0,Douglas Hallward-Driemeier,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1657"
63409,596,0,2022,Shurtleff v. Boston,0,596 U.S. ___,2022-05-02,20-1800,2021,2021-10,0,2022-01-18,1,0,0,Douglas Hallward-Driemeier,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-1800"
63497,598,0,2023,MOAC Mall Holdings LLC v. Transform Holdco LLC,0,598 U.S. ___,2023-04-19,21-1270,2022,2022-10,0,2022-12-05,1,0,0,Douglas Hallward-Driemeier,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1270"
