oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51857,435,110,1978,"United States v. Board of Commissioners of Sheffield, Alabama",0,435 U.S. 110,1978-03-06,76-1662,1977,1977-10,"Voting Rights Act of 1965, plus amendments",1977-10-11,1,6,3,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1977/76-1662"
51974,443,449,1979,Columbus Bd. of Educ. v. Penick,0,443 U.S. 449,1979-07-02,78-610,1978,1978-10,"desegregation, schools",1979-04-24,1,2,7,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1978/78-610"
51900,443,526,1979,Dayton Board of Education v. Brinkman,0,443 U.S. 526,1979-07-02,78-627,1978,1978-10,"desegregation, schools",1979-04-24,1,4,5,"Drew S.Days, III",0,loc,"https://www.oyez.org/cases/1978/78-627"
52164,448,448,1980,Fullilove v. Klutznick,0,448 U.S. 448,1980-07-02,78-1007,1979,1979-10,affirmative action,1979-11-27,1,3,6,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1979/78-1007"
52274,451,1,1981,Pennhurst State School and Hospital v. Halderman,0,451 U.S. 1,1981-04-20,79-1404,1980,1980-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1980-12-08,1,6,3,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1980/79-1404"
54194,511,244,1994,Landgraf v. USI Film Products,0,511 U.S. 244,1994-04-26,92-757,1993,1993-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1993-10-13,1,1,8,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/92-757"
54202,511,298,1994,"Rivers v. Roadway Express, Inc.",0,511 U.S. 298,1994-04-26,92-938,1993,1993-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1993-10-13,1,1,8,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/92-938"
54275,510,163,1994,Weiss v. United States,0,510 U.S. 163,1994-01-19,92-1482,1993,1993-10,"military: active duty",1993-11-03,1,0,9,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/92-1482"
54267,512,622,1994,"Turner Broadcasting System, Inc. v. Federal Communications Commission",0,512 U.S. 622,1994-06-27,93-44,1993,1993-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1994-01-12,1,5,4,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/93-44"
62280,511,462,1994,Dalton v. Specter,0,511 U.S. 462,1994-05-23,93-289,1993,1993-10,judicial review of administrative agency's or administrative official's actions and procedures,1994-03-02,1,9,0,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/93-289"
54271,512,298,1994,"Barclay's Bank, PLC v. Franchise Tax Bd. of California",0,512 U.S. 298,1994-06-20,"92-1384,92-1839",1993,1993-10,state or local government tax,1994-03-28,1,2,7,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/92-1384"
54269,512,753,1994,"Madsen v. Women's Health Center, Inc.",0,512 U.S. 753,1994-06-30,93-880,1993,1993-10,"abortion: including contraceptives",1994-04-28,1,3,6,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1993/93-880"
54302,513,64,1994,"United States v. X-Citement Video, Inc.",0,513 U.S. 64,1994-11-29,93-723,1994,1994-10,"obscenity, federal",1994-10-05,1,7,2,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1994/93-723"
54331,514,549,1995,United States v. Lopez,0,514 U.S. 549,1995-04-26,93-1260,1994,1994-10,"national supremacy: miscellaneous",1994-11-08,1,4,5,"Drew S. Days, III",0,loc,"https://www.oyez.org/cases/1994/93-1260"
