oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54069,508,402,1993,Good Samaritan Hospital v. Shalala,0,508 U.S. 402,1993-06-07,91-2079,1992,1992-10,judicial review of administrative agency's or administrative official's actions and procedures,1993-03-22,1,3,6,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1992/91-2079"
54118,509,502,1993,St. Mary's Honor Center v. Hicks,0,509 U.S. 502,1993-06-25,92-602,1992,1992-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1993-04-20,1,5,4,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1992/92-602"
54218,510,355,1994,"Northwest Airlines, Inc. v. County of Kent",0,510 U.S. 355,1994-01-24,92-97,1993,1993-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1993-11-29,1,1,7,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1993/92-97"
54221,511,368,1994,Beecham v. United States,0,511 U.S. 368,1994-05-16,93-445,1993,1993-10,"statutory construction of criminal laws: firearms",1994-03-21,1,0,9,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1993/93-445"
54215,512,267,1994,"Director, Office of Workers' Compensation Programs v. Greenwich Collieries",0,512 U.S. 267,1994-06-20,93-744,1993,1993-10,"sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death",1994-04-25,1,3,6,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1993/93-744"
54373,513,115,1994,Brown v. Gardner,0,513 U.S. 115,1994-12-12,93-1128,1994,1994-10,"military: veteran",1994-10-31,1,0,9,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1994/93-1128"
54349,513,251,1995,"Nationsbank of North Carolina, N.A. v. Variable Annuity Life Insurance Company",0,513 U.S. 251,1995-01-18,93-1612,1994,1994-10,judicial review of administrative agency's or administrative official's actions and procedures,1994-12-07,1,9,0,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1994/93-1612"
54327,515,389,1995,Witte v. United States,0,515 U.S. 389,1995-06-14,94-6187,1994,1994-10,double jeopardy,1995-04-17,1,1,8,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1994/94-6187"
54410,516,417,1996,Hercules Inc. v. United States,0,516 U.S. 417,1996-03-04,94-818,1995,1995-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1995-10-30,1,2,6,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1995/94-818"
54577,522,192,1997,"Bay Area Laundry & Dry Cleaning Pension Trust Fund v. Ferbar Corporation of California, Inc.",0,522 U.S. 192,1997-12-15,96-370,1997,1997-10,Employee Retirement Income Security Act (cf. union trust funds),1997-11-10,1,9,0,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1997/96-370"
54651,523,751,1998,"Kiowa Tribe of Oklahoma v. Manufacturing Technologies, Inc.",0,523 U.S. 751,1998-05-26,96-1037,1997,1997-10,"Indians, state jurisdiction over",1998-01-12,1,6,3,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1997/96-1037"
54624,523,511,1998,Edwards v. United States,0,523 U.S. 511,1998-04-28,96-8732,1997,1997-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1998-02-23,1,0,9,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1997/96-8732"
54718,526,227,1999,Jones v. United States,0,526 U.S. 227,1999-03-24,97-6203,1998,1998-10,"statutory construction of criminal laws: miscellaneous",1998-10-05,1,5,4,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1998/97-6203"
54709,527,555,1999,Albertsons Inc. v. Kirkingburg,0,527 U.S. 555,1999-06-22,98-591,1998,1998-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1999-04-28,1,7,2,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1998/98-591"
54768,528,32,1999,Los Angeles Police Department v. United Reporting Publishing Corporation,0,528 U.S. 32,1999-12-07,98-678,1999,1999-10,"commercial speech, excluding attorneys",1999-10-13,1,7,2,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1999/98-678"
54777,528,470,2000,Roe v. Flores-Ortega,0,528 U.S. 470,2000-02-23,98-1441,1999,1999-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1999-11-01,1,6,3,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1999/98-1441"
54801,530,466,2000,Apprendi v. New Jersey,0,530 U.S. 466,2000-06-26,99-478,1999,1999-10,"statutory construction of criminal laws: sentencing guidelines",2000-03-28,1,5,4,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/1999/99-478"
54944,534,84,2001,Chickasaw Nation v. United States,0,534 U.S. 84,2001-11-27,00-507,2001,2001-10,Indians (other than pertains to state jurisdiction over),2001-10-02,1,2,7,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/2001/00-507"
55023,536,1,2002,Devlin v. Scardelletti,0,536 U.S. 1,2002-06-10,01-417,2001,2001-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",2002-03-26,1,6,3,Edward C. DuMont,0,loc,"https://www.oyez.org/cases/2001/01-417"
62258,573,0,2014,Riley v. California,0,573 U.S. ___,2014-06-25,"13-132,13-212",2013,2013-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2014-04-29,1,9,0,Edward C. DuMont,0,slipopinion/13,"https://www.oyez.org/cases/2013/13-132"
62314,578,0,2016,Friedrichs v. California Teachers Association,0,578 U.S. ___,2016-03-29,14-915,2015,2015-10,"union or closed shop: includes agency shop litigation",2016-01-11,1,4,4,Edward C. DuMont,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-915"
