oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55682,559,799,2010,Hui v. Castaneda,0,559 U.S. 799,2010-05-03,08-1529,2009,2009-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2010-03-02,1,9,0,Elaine J. Goldenberg,0,scotusBound,"https://www.oyez.org/cases/2009/08-1529"
55947,569,483,2013,Hillman v. Maretta,0,569 U.S. 483,2013-06-03,11-1221,2012,2012-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2013-04-22,1,0,9,Elaine J. Goldenberg,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1221"
56004,571,0,2014,Chadbourne and Parke LLP v. Troice,0,571 U.S. ___,2014-02-26,12-79,2013,2013-10,federal or state regulation of securities,2013-10-07,1,2,7,Elaine J. Goldenberg,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-79"
56037,573,0,2014,Scialabba v. Cuellar De Osorio,0,573 U.S. ___,2014-06-09,12-930,2013,2013-10,"immigration and naturalization: permanent residence",2013-12-10,1,5,4,Elaine J. Goldenberg,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-930"
56106,574,0,2015,"Jesinoski v. Countrywide Home Loans, Inc.",0,574 U.S. ___,2015-01-13,13-684,2014,2014-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2014-11-04,1,9,0,Elaine J. Goldenberg,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-684"
56098,575,0,2015,"Alabama Department of Revenue v. CSX Transportation, Inc.",0,575 U.S. ___,2015-03-04,13-553,2014,2014-10,state or local government tax,2014-12-09,1,7,2,Elaine J. Goldenberg,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-553"
62321,578,0,2016,Luna Torres v. Lynch,0,578 U.S. ___,2016-05-19,14-1096,2015,2015-10,"statutory construction of criminal laws: immigration (cf. immigration and naturalization)",2015-11-03,1,3,5,Elaine J. Goldenberg,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1096"
62582,579,0,2016,RJR Nabisco v. The European Community,0,579 U.S. ___,2016-06-20,15-138,2015,2015-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2016-03-21,1,4,3,Elaine J. Goldenberg,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-138"
62652,579,0,2016,Kirtsaeng v. John Wiley & Sons,0,579 U.S. ___,2016-06-16,15-375,2015,2015-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2016-04-25,1,8,0,Elaine J. Goldenberg,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-375"
62732,581,0,2017,Venezuela v. Helmerich & Payne International Drilling Company,0,581 U.S. ___,2017-05-01,15-423,2016,2016-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2016-11-02,1,8,0,Elaine J. Goldenberg,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-423"
62782,581,0,2017,"Water Splash, Inc. v. Menon",0,581 U.S. ___,2017-05-22,16-254,2016,2016-10,"miscellaneous judicial power, especially diversity jurisdiction",2017-03-22,1,8,0,Elaine J. Goldenberg,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-254"
62801,581,0,2017,Kokesh v. SEC,0,581 U.S. ___,2017-06-05,16-529,2016,2016-10,federal or state regulation of securities,2017-04-18,1,9,0,Elaine J. Goldenberg,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-529"
