oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"52001",439,572,1979,"Hisquierdo v. Hisquierdo","","439 U.S. 572","1979-01-22","77-533","1978","1978-10","national supremacy: marital and family relationships and property, including obligation of child support","1978-11-01",1,7,2,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1978/77-533"
"51958",444,527,1980,"Stafford v. Briggs","","444 U.S. 527","1980-02-20","77-1546,78-303","1978","1978-10","venue","1979-04-24,1979-11-07",2,5,2,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1978/77-1546"
"52148",444,111,1979,"United States v. Kubrick","","444 U.S. 111","1979-11-28","78-1014","1979","1979-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1979-10-03",1,6,3,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1979/78-1014"
"52189",448,136,1980,"White Mountain Apache Tribe v. Bracker","","448 U.S. 136","1980-06-27","78-1177","1979","1979-10","Indians, state jurisdiction over","1980-01-14",1,6,3,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1979/78-1177"
"52187",447,74,1980,"PruneYard Shopping Center v. Robins","","447 U.S. 74","1980-06-09","79-289","1979","1979-10","due process: takings clause, or other non-constitutional governmental taking of property","1980-03-18",1,0,9,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1979/79-289"
"52245",449,268,1980,"Potomac Elec. Power Co. v. Director, Office of Workers' Compensation Programs","","449 U.S. 268","1980-12-15","79-816","1980","1980-10","election of remedies: legal remedies available to injured persons or things","1980-10-08",1,8,1,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1980/79-816"
"52225",450,346,1981,"Delta Air Lines, Inc. v. August","","450 U.S. 346","1981-03-09","79-814","1980","1980-10","Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","1980-11-12",1,3,6,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1980/79-814"
"52224",451,287,1981,"California v. Sierra Club","","451 U.S. 287","1981-04-28","79-1252","1980","1980-10","standing to sue: private or implied cause of action","1981-01-21",1,9,0,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1980/79-1252"
"52411",455,457,1982,"Railway Labor Executives' Assn. v. Gibbons","","455 U.S. 457","1982-03-02","80-415","1981","1981-10","bankruptcy (except in the context of priority of federal fiscal claims)","1981-12-02",1,9,0,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1981/80-415"
"52399",456,305,1982,"Weinberger v. Romero-Barcelo","","456 U.S. 305","1982-04-27","80-1990","1981","1981-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1982-02-23",1,8,1,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1981/80-1990"
"52586",460,669,1983,"Local 926, International Union of Operating Engineers, AFL-CIO v. Jones","","460 U.S. 669","1983-04-04","81-1574","1982","1982-10","federal pre-emption of state court jurisdiction","1982-12-01",1,6,3,"Elinor H. Stillman","","loc","https://www.oyez.org/cases/1982/81-1574"
