oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
56053,575,0,2015,United States v. Kwai Fun Wong,0,575 U.S. ___,2015-04-22,"13-1074,13-1075",2014,2014-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2014-12-10,1,4,5,Elizabeth B. Prelogar,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-1074"
62322,577,0,2016,"Tyson Foods, Inc. v. Bouaphakeo",0,577 U.S. ___,2016-03-22,14-1146,2015,2015-10,Fair Labor Standards Act,2015-11-10,1,2,6,Elizabeth B. Prelogar,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1146"
62640,579,0,2016,United States v. Bryant,0,579 U.S. ___,2016-06-13,15-420,2015,2015-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),2016-04-19,1,8,0,Elizabeth B. Prelogar,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-420"
62693,580,0,2016,Bravo-Fernandez v. United States,0,580 U.S. ___,2016-11-29,15-537,2016,2016-10,double jeopardy,2016-10-04,1,0,8,Elizabeth B. Prelogar,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-537"
62651,582,0,2017,Murr v. Wisconsin,0,582 U.S. ___,2017-06-23,15-214,2016,2016-10,"due process: takings clause, or other non-constitutional governmental taking of property",2017-03-20,1,3,5,Elizabeth B. Prelogar,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-214"
62888,584,0,2018,"City of Hays, Kansas v. Vogt",0,584 U.S. ___,2018-05-29,16-1495,2017,2017-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),2018-02-20,1,0,8,Elizabeth B. Prelogar,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1495"
63107,589,0,2020,Kahler v. Kansas,0,589 U.S. ___,2020-03-23,18-6135,2019,2019-10,0,2019-10-07,1,0,0,Elizabeth B. Prelogar,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-6135"
63310,594,0,2021,National Collegiate Athletic Association v. Alston,0,594 U.S. ___,2021-06-21,"20-512,20-520",2020,2020-10,0,2021-03-31,1,0,0,Elizabeth B. Prelogar,0,slipopinion/20,"https://www.oyez.org/cases/2020/20-512"
63312,594,0,2021,Americans for Prosperity v. Bonta,0,594 U.S. ___,2021-07-01,"19-251,19-255",2020,2020-10,0,2021-04-26,1,0,0,Elizabeth B. Prelogar,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-251"
63403,0,0,0,United States v. Texas,0,___ U.S. ___,2021-12-10,21-588,2021,2021-10,0,2021-11-01,1,0,0,Elizabeth B. Prelogar,0,slipopinion/21,"https://www.oyez.org/cases/2021/21-588"
63368,597,0,2022,Dobbs v. Jackson Women's Health Organization,0,597 U.S. ___,2022-06-24,19-1392,2021,2021-10,0,2021-12-01,1,0,0,Elizabeth B. Prelogar,0,slipopinion/21,"https://www.oyez.org/cases/2021/19-1392"
63436,0,0,0,"National Federation of Independent Business v. Department of Labor, Occupational Safety and Health Administration",0,___ U.S. ___,2022-01-13,21A244,2021,2021-10,0,2022-01-07,1,0,0,Elizabeth B. Prelogar,0,slipopinion/21,"https://www.oyez.org/cases/2021/21a244"
63446,597,0,2022,West Virginia v. Environmental Protection Agency,0,597 U.S. ___,2022-06-30,"20-1530,20-1778,20-1531,20-1780",2021,2021-10,0,2022-02-28,1,0,0,Elizabeth B. Prelogar,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-1530"
63478,597,0,2022,Biden v. Texas,0,597 U.S. ___,2022-06-30,21-954,2021,2021-10,0,2022-04-26,1,0,0,Elizabeth B. Prelogar,0,slipopinion/21,"https://www.oyez.org/cases/2021/21-954"
63492,599,0,2023,Allen v. Milligan,0,599 U.S. ___,2023-06-08,21-1086,2022,2022-10,0,2022-10-04,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1086"
63453,600,0,2023,Students for Fair Admissions v. President and Fellows of Harvard College,0,600 U.S. ___,2023-06-29,20-1199,2022,2022-10,0,2022-10-31,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/20-1199"
63501,0,0,0,Students for Fair Admissions v. University of North Carolina,0,___ U.S. ___,2023-06-29,21-707,2022,2022-10,0,2022-10-31,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-707"
63503,599,0,2023,United States v. Texas,0,599 U.S. ___,2023-06-23,22-58,2022,2022-10,0,2022-11-29,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-58"
63498,600,0,2023,Moore v. Harper,0,600 U.S. ___,2023-06-27,21-1271,2022,2022-10,0,2022-12-07,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1271"
63532,600,0,2023,Biden v. Nebraska,0,600 U.S. ___,2023-06-30,22-506,2022,2022-10,0,2023-02-28,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-506"
63555,600,0,2023,Department of Education v. Brown,0,600 U.S. ___,2023-06-30,22-535,2022,2022-10,0,2023-02-28,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-535"
63550,600,0,2023,Groff v. DeJoy,0,600 U.S. ___,2023-06-29,22-174,2022,2022-10,0,2023-04-18,1,0,0,Elizabeth B. Prelogar,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-174"
63560,0,0,0,Consumer Financial Protection Bureau v. Community Financial Services Association of America,0,___ U.S. ___,0,22-448,2023,2023-10,0,2023-10-03,1,0,0,Elizabeth B. Prelogar,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-448"
63593,0,0,0,United States v. Rahimi,0,___ U.S. ___,0,22-915,2023,2023-10,0,2023-11-07,1,0,0,Elizabeth B. Prelogar,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-915"
63587,0,0,0,Moore v. United States,0,___ U.S. ___,0,22-800,2023,2023-10,0,2023-12-05,1,0,0,Elizabeth B. Prelogar,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-800"
63619,0,0,0,"Relentless, Inc. v. Department of Commerce",0,___ U.S. ___,0,22-1219,2023,2023-10,0,2024-01-17,1,0,0,Elizabeth B. Prelogar,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-1219"
63579,0,0,0,Loper Bright Enterprises v. Raimondo,0,___ U.S. ___,0,22-451,2023,2023-10,0,2024-01-17,1,0,0,Elizabeth B. Prelogar,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-451"
