oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55755,564,0,2011,J.D.B. v. North Carolina,0,564 U.S. ___,2011-06-16,09-11121,2010,2010-10,Miranda warnings,2011-03-23,1,5,4,Eric J. Feigin,0,scotusBound,"https://www.oyez.org/cases/2010/09-11121"
55813,566,0,2012,FAA v. Cooper,0,566 U.S. ___,2012-03-28,10-1024,2011,2011-10,"privacy (cf. libel, comity: privacy)",2011-11-30,1,5,3,Eric J. Feigin,0,scotusBound,"https://www.oyez.org/cases/2011/10-1024"
55886,567,0,2012,Elgin v. Department of the Treasury,0,567 U.S. ___,2012-06-11,11-45,2011,2011-10,judicial review of administrative agency's or administrative official's actions and procedures,2012-02-27,1,3,6,Eric J. Feigin,0,scotusBound,"https://www.oyez.org/cases/2011/11-45"
55904,568,371,2013,Marx v. General Revenue Corporation,0,568 U.S. 371,2013-02-26,11-1175,2012,2012-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2012-11-07,1,2,7,Eric J. Feigin,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1175"
55920,569,530,2013,Peugh v. United States,0,569 U.S. 530,2013-06-10,12-62,2012,2012-10,"statutory construction of criminal laws: bank robbery",2013-02-26,1,5,4,Eric J. Feigin,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-62"
55930,569,597,2013,United States v. Davila,0,569 U.S. 597,2013-06-13,12-167,2012,2012-10,Federal Rules of Criminal Procedure,2013-04-15,1,9,0,Eric J. Feigin,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-167"
55997,571,0,2014,Air Wisconsin Airlines Corp. v. Hoeper,0,571 U.S. ___,2014-01-27,12-315,2013,2013-10,"libel, defamation: defamation of public officials and public and private persons",2013-12-09,1,6,3,Eric J. Feigin,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-315"
55986,572,0,2014,United States v. Quality Stores,0,572 U.S. ___,2014-03-25,12-1408,2013,2013-10,"federal taxation, typically under provisions of the Internal Revenue Code",2014-01-14,1,8,0,Eric J. Feigin,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-1408"
62259,573,0,2014,Susan B. Anthony List v. Driehaus,0,573 U.S. ___,2014-06-16,13-193,2013,2013-10,"standing to sue: direct injury",2014-04-22,1,9,0,Eric J. Feigin,0,slipopinion/13,"https://www.oyez.org/cases/2013/13-193"
56089,575,0,2015,Comptroller of the Treasury of Maryland v. Wynne,0,575 U.S. ___,2015-05-18,13-485,2014,2014-10,state or local government tax,2014-11-12,1,4,5,Eric J. Feigin,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-485"
56091,576,0,2015,"Reed et al. v. Town of Gilbert, Arizona et al.",0,576 U.S. ___,2015-06-18,13-502,2014,2014-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2015-01-12,1,9,0,Eric J. Feigin,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-502"
56062,576,0,2015,Arizona State Legislature v. Arizona Independent Redistricting Commission,0,576 U.S. ___,2015-06-29,13-1314,2014,2014-10,"reapportionment: other than plans governed by the Voting Rights Act",2015-03-02,1,4,5,Eric J. Feigin,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-1314"
62702,580,0,2017,"Star Athletica, LLC v. Varsity Brands, Inc.",0,580 U.S. ___,2017-03-22,15-866,2016,2016-10,"patents and copyrights: copyright",2016-10-31,1,2,6,Eric J. Feigin,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-866"
62756,581,0,2017,Expressions Hair Design v. Schneiderman,0,581 U.S. ___,2017-03-29,15-1391,2016,2016-10,"commercial speech, excluding attorneys",2017-01-10,1,8,0,Eric J. Feigin,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-1391"
62787,582,0,2017,Lee v. United States,0,582 U.S. ___,2017-06-23,16-327,2016,2016-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),2017-03-28,1,6,2,Eric J. Feigin,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-327"
62817,583,0,2018,Class v. United States,0,583 U.S. ___,2018-02-21,16-424,2017,2017-10,"plea bargaining: the constitutionality of and/or the circumstances of its exercise",2017-10-04,1,6,3,Eric J. Feigin,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-424"
62887,584,0,2018,Byrd v. United States,0,584 U.S. ___,2018-05-14,16-1371,2017,2017-10,"search and seizure, vehicles",2018-01-09,1,9,0,Eric J. Feigin,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1371"
62935,584,0,2018,Koons v. United States,0,584 U.S. ___,2018-06-04,17-5716,2017,2017-10,"statutory construction of criminal laws: sentencing guidelines",2018-03-27,1,0,9,Eric J. Feigin,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-5716"
63023,0,0,0,Gamble v. United States,0,___ U.S. ___,0,17-646,2018,2018-10,0,2018-12-06,1,0,0,Eric J. Feigin,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-646"
63044,0,0,0,United States v. Haymond,0,___ U.S. ___,0,17-1672,2018,2018-10,0,2019-02-26,1,0,0,Eric J. Feigin,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1672"
63105,0,0,0,Mathena v. Malvo,0,___ U.S. ___,0,18-217,2019,2019-10,0,2019-10-16,1,0,0,Eric J. Feigin,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-217"
63155,590,0,2020,Kelly v. United States,0,590 U.S. ___,2020-05-07,18-1059,2019,2019-10,0,2020-01-14,1,0,0,Eric J. Feigin,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1059"
63165,590,0,2020,United States v. Sineneng-Smith,0,590 U.S. ___,2020-05-07,19-67,2019,2019-10,0,2020-02-25,1,0,0,Eric J. Feigin,0,slipopinion/19,"https://www.oyez.org/cases/2019/19-67"
63229,593,0,2021,Borden v. United States,0,593 U.S. ___,2021-06-10,19-5410,2020,2020-10,0,2020-11-03,1,0,0,Eric J. Feigin,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-5410"
63238,593,0,2021,Van Buren v. United States,0,593 U.S. ___,0,19-783,2020,2020-10,0,2020-11-30,1,0,0,Eric J. Feigin,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-783"
63331,593,0,2021,United States v. Cooley,0,593 U.S. ___,2021-06-01,19-1414,2020,2020-10,0,2021-03-23,1,0,0,Eric J. Feigin,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-1414"
63323,593,0,2021,Terry v. United States,0,593 U.S. ___,2021-06-14,20-5904,2020,2020-10,0,2021-05-04,1,0,0,Eric J. Feigin,0,slipopinion/20,"https://www.oyez.org/cases/2020/20-5904"
