oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
50822,411,356,1973,"Mourning v. Family Publications Service, Inc.",0,411 U.S. 356,1973-04-24,71-829,1972,1972-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",1972-11-09,1,5,4,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1972/71-829"
51389,425,820,1976,Brown v. GSA,0,425 U.S. 820,1976-06-01,74-768,1975,1975-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","1976-03-01,1976-03-02",2,2,6,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1975/74-768"
52017,446,55,1980,City of Mobile v. Bolden,0,446 U.S. 55,1980-04-22,77-1844,1978,1978-10,voting,"1979-03-19,1979-10-29",2,6,3,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1978/77-1844"
51947,446,236,1980,Williams v. Brown,0,446 U.S. 236,1980-04-22,78-357,1978,1978-10,voting,"1979-03-19,1979-10-29",2,6,3,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1978/78-357"
52910,467,867,1984,Cooper v. Federal Reserve Bank of Richmond,0,467 U.S. 867,1984-06-25,83-185,1983,1983-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1984-03-19,1,8,0,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1983/83-185"
53058,469,464,1985,Brandon v. Holt,0,469 U.S. 464,1985-01-21,83-1622,1984,1984-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1984-11-05,1,8,1,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1984/83-1622"
53196,478,385,1986,Bazemore v. Friday,0,478 U.S. 385,1986-07-01,85-93,1985,1985-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1986-04-22,1,9,0,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1985/85-93"
54194,511,244,1994,Landgraf v. USI Film Products,0,511 U.S. 244,1994-04-26,92-757,1993,1993-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1993-10-13,1,1,8,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1993/92-757"
54202,511,298,1994,"Rivers v. Roadway Express, Inc.",0,511 U.S. 298,1994-04-26,92-938,1993,1993-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1993-10-13,1,1,8,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1993/92-938"
54708,527,526,1999,Kolstad v. American Dental Association,0,527 U.S. 526,1999-06-22,98-208,1998,1998-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1999-03-01,1,4,5,Eric Schnapper,0,loc,"https://www.oyez.org/cases/1998/98-208"
