oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59372,352,29,1956,Bank of America National Trust & Savings Association v. Parnell,0,352 U.S. 29,1956-11-13,21,1956,1956-10,miscellaneous federalism,1956-10-18,1,7,2,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1956/21"
59979,364,76,1960,United States v. Cannelton Sewer Pipe Company,0,364 U.S. 76,1960-06-27,513,1959,1959-10,"federal taxation, typically under provisions of the Internal Revenue Code",1960-05-19,1,9,0,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1959/513"
61388,389,299,1967,United States v. Correll,0,389 U.S. 299,1967-12-11,113,1967,1967-10,"federal taxation of gifts, personal, business, or professional expenses",1967-11-14,1,5,3,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/113"
61478,389,486,1968,Penn-Central Merger and N & W Inclusion Cases,0,389 U.S. 486,1968-01-15,433,1967,1967-10,mergers,1967-12-04,1,7,1,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/433"
61505,390,377,1968,Simmons v. United States,0,390 U.S. 377,1968-03-18,55,1967,1967-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",1968-01-15,1,8,0,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/55"
61429,391,367,1968,United States v. O'Brien,0,391 U.S. 367,1968-05-27,232,1967,1967-10,"protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees",1968-01-24,1,7,1,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/232"
61550,391,123,1968,Bruton v. United States,0,391 U.S. 123,1968-05-20,705,1967,1967-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1968-03-11,1,6,2,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/705"
61475,392,83,1968,Flast v. Cohen,0,392 U.S. 83,1968-06-10,416,1967,1967-10,"standing to sue: taxpayer's suit",1968-03-12,1,8,1,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/416"
61560,391,83,1968,Commissioner of Internal Revenue v. Gordon,0,391 U.S. 83,1968-05-20,760,1967,1967-10,"federal taxation, typically under provisions of the Internal Revenue Code",1968-04-04,1,8,0,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/760"
61557,392,183,1968,Maryland v. Wirtz,0,392 U.S. 183,1968-06-10,742,1967,1967-10,Fair Labor Standards Act,1968-04-23,1,2,6,Erwin N. Griswold,0,loc,"https://www.oyez.org/cases/1967/742"
