oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"55635",559,154,2010,"Reed Elsevier v. Muchnick","","559 U.S. 154","2010-03-02","08-103","2009","2009-10","patents and copyrights: copyright","2009-10-07",1,8,0,"Ginger D. Anders","","scotusBound","https://www.oyez.org/cases/2009/08-103"
"55701",560,1,2010,"Abbott v. Abbott","","560 U.S. 1","2010-05-17","08-645","2009","2009-10","juveniles (cf. rights of illegitimates)","2010-01-12",1,6,3,"Ginger D. Anders","","scotusBound","https://www.oyez.org/cases/2009/08-645"
"55748",563,247,2011,"Virginia Office for Protection and Advocacy v. Stewart","","563 U.S. 247","2011-04-19","09-529","2010","2010-10","national supremacy: marital and family relationships and property, including obligation of child support","2010-12-01",1,6,2,"Ginger D. Anders","","scotusBound","https://www.oyez.org/cases/2010/09-529"
"55757",563,110,2011,"Astra USA v. Santa Clara County","","563 U.S. 110","2011-03-29","09-1273","2010","2010-10","judicial review of administrative agency's or administrative official's actions and procedures","2011-01-19",1,8,0,"Ginger D. Anders","","scotusBound","https://www.oyez.org/cases/2010/09-1273"
"55835",565,0,2012,"Howes v. Fields","","565 U.S. ___","2012-02-21","10-680","2011","2011-10","Miranda warnings","2011-10-04",1,6,3,"Ginger D. Anders","","scotusBound","https://www.oyez.org/cases/2011/10-680"
"55864",566,0,2012,"Kappos v. Hyatt","","566 U.S. ___","2012-04-18","10-1219","2011","2011-10","patents and copyrights: patent","2012-01-09",1,0,9,"Ginger D. Anders","","scotusBound","https://www.oyez.org/cases/2011/10-1219"
"55927",568,85,2013,"Already LLC v. Nike","","568 U.S. 85","2013-01-09","11-982","2012","2012-10","patents and copyrights: trademark","2012-11-07",1,0,9,"Ginger D. Anders","","slipopinion/12","https://www.oyez.org/cases/2012/11-982"
"55931",568,627,2013,"Wos v. E.M.A. et al.","","568 U.S. 627","2013-03-20","12-98","2012","2012-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2013-01-08",1,3,6,"Ginger D. Anders","","slipopinion/12","https://www.oyez.org/cases/2012/12-98"
"55909",570,0,2013,"Salinas v. Texas","","570 U.S. ___","2013-06-17","12-246","2012","2012-10","self-incrimination (other than as pertains to Miranda or immunity from prosecution)","2013-04-17",1,4,5,"Ginger D. Anders","","slipopinion/12","https://www.oyez.org/cases/2012/12-246"
"56036",571,0,2013,"Heimeshoff v. Hartford Life & Accident Insurance Co.","","571 U.S. ___","2013-12-16","12-729","2013","2013-10","Employee Retirement Income Security Act (cf. union trust funds)","2013-10-15",1,0,9,"Ginger D. Anders","","slipopinion/13","https://www.oyez.org/cases/2013/12-729"
"55977",572,0,2014,"BG Group PLC v. Argentina","","572 U.S. ___","2014-03-05","12-138","2013","2013-10","arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration)","2013-12-02",1,7,2,"Ginger D. Anders","","slipopinion/13","https://www.oyez.org/cases/2013/12-138"
"62255",572,0,2014,"Limelight Networks v. Akamai Technologies","","572 U.S. ___","2014-06-02","12-786","2013","2013-10","patents and copyrights: patent","2014-04-30",1,9,0,"Ginger D. Anders","","slipopinion/13","https://www.oyez.org/cases/2013/12-786"
"56117",574,0,2015,"Teva Pharmaceuticals USA, Inc. v. Sandoz, Inc.","","574 U.S. ___","2015-01-20","13-854","2014","2014-10","patents and copyrights: patent","2014-10-15",1,7,2,"Ginger D. Anders","","slipopinion/14","https://www.oyez.org/cases/2014/13-854"
"56132",575,0,2015,"Rodriguez v. United States","","575 U.S. ___","2015-04-21","13-9972","2014","2014-10","search and seizure, vehicles","2015-01-21",1,6,3,"Ginger D. Anders","","slipopinion/14","https://www.oyez.org/cases/2014/13-9972"
"56121",575,0,2015,"Commil USA, LLC v. Cisco Systems, Inc.","","575 U.S. ___","2015-05-26","13-896","2014","2014-10","patents and copyrights: patent","2015-03-31",1,6,2,"Ginger D. Anders","","slipopinion/14","https://www.oyez.org/cases/2014/13-896"
"56180",577,0,2016,"Montanile v. Board of Trustees of the National Elevator Industrial Health Benefit Plan","","577 U.S. ___","2016-01-20","14-723","2015","2015-10","Employee Retirement Income Security Act (cf. union trust funds)","2015-11-09",1,8,1,"Ginger D. Anders","","slipopinion/15","https://www.oyez.org/cases/2015/14-723"
"62595",578,0,2016,"Heffernan v. City of Paterson","","578 U.S. ___","2016-04-26","14-1280","2015","2015-10","First Amendment, miscellaneous (cf. comity: First Amendment)","2016-01-19",1,6,2,"Ginger D. Anders","","slipopinion/15","https://www.oyez.org/cases/2015/14-1280"
"62631",578,0,2016,"Betterman v. Montana","","578 U.S. ___","2016-05-19","14-1457","2015","2015-10","speedy trial","2016-03-28",1,0,8,"Ginger D. Anders","","slipopinion/15","https://www.oyez.org/cases/2015/14-1457"
