oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54861,532,411,2001,"C. & L. Enterprises, Inc. v. Citizen Band Potawatomi Indian Tribe of Oklahoma",0,532 U.S. 411,2001-04-30,00-292,2000,2000-10,"Indians, state jurisdiction over",2001-03-19,1,9,0,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2000/00-292"
54887,532,774,2001,Florida v. Thomas,0,532 U.S. 774,2001-06-04,00-391,2000,2000-10,"judicial administration: review of non-final order",2001-04-25,1,0,9,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2000/00-391"
55025,534,1,2001,United States Postal Service v. Gregory,0,534 U.S. 1,2001-11-13,00-758,2001,2001-10,judicial review of administrative agency's or administrative official's actions and procedures,2001-10-09,1,9,0,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2001/00-758"
54967,536,24,2002,McKune v. Lile,0,536 U.S. 24,2002-06-10,00-1187,2001,2001-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),2001-11-28,1,5,4,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2001/00-1187"
55022,536,181,2002,Barnes v. Gorman,0,536 U.S. 181,2002-06-17,01-682,2001,2001-10,"liability, punitive damages",2002-04-23,1,9,0,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2001/01-682"
55077,537,465,2003,United States v. White Mt. Apache Tribe,0,537 U.S. 465,2003-03-04,01-1067,2002,2002-10,Indians (other than pertains to state jurisdiction over),2002-12-02,1,4,5,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2002/01-1067"
55064,539,23,2003,Dastar Corporation v. Twentieth Century Fox Film Corporation,0,539 U.S. 23,2003-06-02,02-428,2002,2002-10,"patents and copyrights: trademark",2003-04-02,1,8,0,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2002/02-428"
55152,541,369,2004,Jones v. R. R. Donnelley & Sons Company,0,541 U.S. 369,2004-05-03,02-1205,2003,2003-10,"judicial administration: untimely filing",2004-02-24,1,9,0,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2003/02-1205"
55182,541,615,2004,Thornton v. United States,0,541 U.S. 615,2004-05-24,03-5165,2003,2003-10,"search and seizure, vehicles",2004-03-31,1,2,7,Gregory G. Garre,0,loc,"https://www.oyez.org/cases/2003/03-5165"
55203,544,550,2005,Johanns v. Livestock Marketing Association,0,544 U.S. 550,2005-05-23,03-1164,2004,2004-10,"commercial speech, excluding attorneys",2004-12-08,1,6,3,Gregory G. Garre,0,scotusBound,"https://www.oyez.org/cases/2004/03-1164"
