oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54294,513,352,1995,McKennon v. Nashville Banner Publishing Co.,0,513 U.S. 352,1995-01-23,93-1543,1994,1994-10,sex discrimination in employment (cf. sex discrimination),1994-11-02,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1994/93-1543"
54354,514,268,1995,Shalala v. Whitecotton,0,514 U.S. 268,1995-04-18,94-372,1994,1994-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1995-02-28,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1994/94-372"
54458,518,120,1996,Melendez v. United States,0,518 U.S. 120,1996-06-17,95-5661,1995,1995-10,"statutory construction of criminal laws: sentencing guidelines",1996-02-27,1,2,7,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1995/95-5661"
54450,517,735,1996,"Smiley v. Citibank (South Dakota), N. A.",0,517 U.S. 735,1996-06-03,95-860,1995,1995-10,judicial review of administrative agency's or administrative official's actions and procedures,1996-04-24,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1995/95-860"
54474,519,33,1996,Ohio v. Robinette,0,519 U.S. 33,1996-11-18,95-891,1996,1996-10,"search and seizure, vehicles",1996-10-08,1,8,1,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1996/95-891"
54540,519,452,1997,Auer v. Robbins,0,519 U.S. 452,1997-02-19,95-897,1996,1996-10,Fair Labor Standards Act,1996-12-10,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1996/95-897"
54471,521,567,1997,Lawyer v. Department of Justice,0,521 U.S. 567,1997-06-25,95-2024,1996,1996-10,"reapportionment: other than plans governed by the Voting Rights Act",1997-02-19,1,4,5,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1996/95-2024"
54612,523,83,1998,Steel Company v. Citizens for Better Environment,0,523 U.S. 83,1998-03-04,96-643,1997,1997-10,"standing to sue: direct injury",1997-10-06,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1997/96-643"
54658,524,321,1998,United States v. Bajakajian,0,524 U.S. 321,1998-06-22,96-1487,1997,1997-10,"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts)",1997-11-04,1,4,5,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1997/96-1487"
54585,524,775,1998,Faragher v. City of Boca Raton,0,524 U.S. 775,1998-06-26,97-282,1997,1997-10,sex discrimination in employment (cf. sex discrimination),1998-03-25,1,7,2,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1997/97-282"
54579,524,206,1998,Pennsylvania Department of Corrections v. Yeskey,0,524 U.S. 206,1998-06-15,97-634,1997,1997-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1998-04-28,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1997/97-634"
54732,526,86,1999,"National Federation of Federal Employees , Local 1309 v. Department of Interior",0,526 U.S. 86,1999-03-03,97-1184,1998,1998-10,"labor-management disputes: bargaining",1998-11-09,1,5,4,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1998/97-1184"
54751,526,813,1999,Richardson v. United States,0,526 U.S. 813,1999-06-01,97-8629,1998,1998-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1999-02-22,1,6,3,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1998/97-8629"
54724,527,581,1999,Olmstead v. L. C.,0,527 U.S. 581,1999-06-22,98-536,1998,1998-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1999-04-21,1,3,6,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1998/98-536"
54839,528,562,2000,Village of Willowbrook v. Olechon,0,528 U.S. 562,2000-02-23,98-1288,1999,1999-10,"miscellaneous civil rights (cf. comity: civil rights)",2000-01-10,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1999/98-1288"
54806,529,266,2000,Florida v. J. L.,0,529 U.S. 266,2000-03-28,98-1993,1999,1999-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2000-02-29,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/1999/98-1993"
54875,531,341,2001,Buckman Company v. Plaintiffs' Legal Committee,0,531 U.S. 341,2001-02-21,98-1768,2000,2000-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2000-12-04,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2000/98-1768"
54878,532,731,2001,Booth v. Churner,0,532 U.S. 731,2001-05-29,99-1964,2000,2000-10,"comity: criminal procedure",2001-03-20,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2000/99-1964"
54969,535,162,2002,Mickens v. Taylor,0,535 U.S. 162,2002-03-27,00-9285,2001,2001-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),2001-11-05,1,4,5,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2001/00-9285"
54980,534,516,2002,Porter v. Nussle,0,534 U.S. 516,2002-02-26,00-853,2001,2001-10,"comity: civil rights",2002-01-14,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2001/00-853"
55015,535,613,2002,Lapides v. Board of Regents of University System of Georgia,0,535 U.S. 613,2002-05-13,01-298,2001,2001-10,"national supremacy: miscellaneous",2002-02-25,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2001/01-298"
55049,538,440,2003,"Clackamas Gastroenterology Associates, P. C. v. Wells",0,538 U.S. 440,2003-04-22,01-1435,2002,2002-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2003-02-25,1,7,2,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2002/01-1435"
55073,539,607,2003,Stogner v. California,0,539 U.S. 607,2003-06-26,01-1757,2002,2002-10,ex post facto (state),2003-03-31,1,5,4,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2002/01-1757"
55105,539,90,2003,"Desert Palace, Inc. v. Costa",0,539 U.S. 90,2003-06-09,02-679,2002,2002-10,sex discrimination in employment (cf. sex discrimination),2003-04-21,1,0,9,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2002/02-679"
55134,540,431,2004,Frew v. Hawkins,0,540 U.S. 431,2004-01-14,02-628,2003,2003-10,"national supremacy: miscellaneous",2003-10-07,1,9,0,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2003/02-628"
55166,542,600,2004,Missouri v. Seibert,0,542 U.S. 600,2004-06-28,02-1371,2003,2003-10,Miranda warnings,2003-12-09,1,4,5,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2003/02-1371"
55140,542,129,2004,Pennsylvania State Police v. Suders,0,542 U.S. 129,2004-06-14,03-95,2003,2003-10,sex discrimination in employment (cf. sex discrimination),2004-03-31,1,8,1,Irving L. Gornstein,0,loc,"https://www.oyez.org/cases/2003/03-95"
55269,543,175,2004,Florida v. Nixon,0,543 U.S. 175,2004-12-13,03-931,2004,2004-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),2004-11-02,1,8,0,Irving L. Gornstein,0,scotusBound,"https://www.oyez.org/cases/2004/03-931"
55249,544,167,2005,Jackson v. Birmingham Board of Education,0,544 U.S. 167,2005-03-29,02-1672,2004,2004-10,sex discrimination (excluding sex discrimination in employment),2004-11-30,1,5,4,Irving L. Gornstein,0,scotusBound,"https://www.oyez.org/cases/2004/02-1672"
55227,545,0,2005,Grable & Sons Metal Products v. Darue Engineering & Manufacturing,0,545 U.S. ___,2005-06-13,04-603,2004,2004-10,"judicial administration: federal question (cf. no merits: dismissed for want of a substantial or properly presented federal question)",2005-04-18,1,0,9,Irving L. Gornstein,0,scotusBound,"https://www.oyez.org/cases/2004/04-603"
