oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59443,352,191,1957,Fikes v. Alabama,0,352 U.S. 191,1957-01-14,53,1956,1956-10,involuntary confession,1956-12-06,1,6,3,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1956/53"
60106,366,208,1961,Anderson v. Alabama,0,366 U.S. 208,1961-05-01,326,1960,1960-10,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","1961-04-25,1961-04-26",2,9,0,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1960/326"
60250,368,157,1961,Garner v. Louisiana,0,368 U.S. 157,1961-12-11,"26,27,28",1961,1961-10,sit-in demonstrations (protests against racial discrimination in places of public accommodation),"1961-10-18,1961-10-19",2,9,0,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1961/26"
60395,373,375,1963,Avent v. North Carolina,0,373 U.S. 375,1963-05-20,11,1962,1962-10,sit-in demonstrations (protests against racial discrimination in places of public accommodation),1962-11-05,1,8,1,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1962/11"
60521,378,130,1964,Griffin v. Maryland,0,378 U.S. 130,1964-06-22,6,1962,1962-10,sit-in demonstrations (protests against racial discrimination in places of public accommodation),"1962-11-05,1963-10-14,1963-10-15",3,6,3,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1962/6"
60566,372,229,1963,Edwards v. South Carolina,0,372 U.S. 229,1963-02-25,86,1962,1962-10,"protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees",1962-12-13,1,8,1,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1962/86"
60427,373,683,1963,"Goss v. Board of Education of Knoxville, Tennessee",0,373 U.S. 683,1963-06-03,217,1962,1962-10,"desegregation, schools","1963-03-20,1963-03-21",2,9,0,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1962/217"
60596,378,347,1964,Bouie v. City of Columbia,0,378 U.S. 347,1964-06-22,10,1963,1963-10,sit-in demonstrations (protests against racial discrimination in places of public accommodation),"1963-10-14,1963-10-15",2,6,3,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1963/10"
60623,378,226,1964,Bell v. Maryland,0,378 U.S. 226,1964-06-22,12,1963,1963-10,sit-in demonstrations (protests against racial discrimination in places of public accommodation),"1963-10-14,1963-10-15",2,6,3,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1963/12"
60797,378,146,1964,Barr v. City of Columbia,0,378 U.S. 146,1964-06-22,9,1963,1963-10,sit-in demonstrations (protests against racial discrimination in places of public accommodation),"1963-10-14,1963-10-15",2,9,0,Jack Greenberg,0,loc,"https://www.oyez.org/cases/1963/9"
