oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53723,495,182,1990,Ngiraingas v. Sanchez,0,495 U.S. 182,1990-04-24,88-1281,1989,1989-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1990-01-08,1,2,6,James A. Feldman,0,loc,"https://www.oyez.org/cases/1989/88-1281"
53813,498,466,1991,"International Organization of Masters, Mates & Pilots v. Brown",0,498 U.S. 466,1991-02-20,89-1330,1990,1990-10,union-union member dispute (except as pertains to union or closed shop),1990-11-27,1,0,9,James A. Feldman,0,loc,"https://www.oyez.org/cases/1990/89-1330"
53930,500,646,1991,Clark v. Roemer,0,500 U.S. 646,1991-06-03,90-952,1990,1990-10,"Voting Rights Act of 1965, plus amendments",1991-04-22,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1990/90-952"
54047,503,607,1992,United States Department of Energy v. Ohio,0,503 U.S. 607,1992-04-21,90-1341,1991,1991-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1991-12-03,1,6,3,James A. Feldman,0,loc,"https://www.oyez.org/cases/1991/90-1341"
53966,504,505,1992,United States v. Thompson/Center Arms Company,0,504 U.S. 505,1992-06-08,91-164,1991,1991-10,"federal taxation, typically under provisions of the Internal Revenue Code",1992-01-13,1,4,5,James A. Feldman,0,loc,"https://www.oyez.org/cases/1991/91-164"
54020,505,317,1992,United States v. Salerno,0,505 U.S. 317,1992-06-19,91-872,1991,1991-10,"subconstitutional fair procedure: presentation, admissibility, or sufficiency of evidence (not necessarily a criminal case)",1992-04-20,1,8,1,James A. Feldman,0,loc,"https://www.oyez.org/cases/1991/91-872"
54152,507,448,1993,United States By and Through Internal Revenue Service v. McDermott,0,507 U.S. 448,1993-03-24,91-1229,1992,1992-10,"priority of federal fiscal claims: over those of the states or private entities",1992-12-07,1,6,3,James A. Feldman,0,loc,"https://www.oyez.org/cases/1992/91-1229"
54122,508,679,1993,South Dakota v. Bourland,0,508 U.S. 679,1993-06-14,91-2051,1992,1992-10,"Indians, state jurisdiction over",1993-03-02,1,7,2,James A. Feldman,0,loc,"https://www.oyez.org/cases/1992/91-2051"
54172,509,137,1993,Darby v. Cisneros,0,509 U.S. 137,1993-06-21,91-2045,1992,1992-10,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals",1993-03-22,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1992/91-2045"
54274,512,997,1994,Johnson v. De Grandy,0,512 U.S. 997,1994-06-30,92-519,1993,1993-10,"Voting Rights Act of 1965, plus amendments",1993-10-04,1,7,2,James A. Feldman,0,loc,"https://www.oyez.org/cases/1993/92-519"
54247,511,600,1994,Staples v. United States,0,511 U.S. 600,1994-05-23,92-1441,1993,1993-10,"statutory construction of criminal laws: firearms",1993-11-30,1,7,2,James A. Feldman,0,loc,"https://www.oyez.org/cases/1993/92-1441"
62282,511,767,1994,Department of Revenue of Montana v. Kurth Ranch,0,511 U.S. 767,1994-06-06,93-144,1993,1993-10,double jeopardy,1994-01-19,1,4,5,James A. Feldman,0,loc,"https://www.oyez.org/cases/1993/93-144"
54291,513,432,1995,O'Neal v. McAninch,0,513 U.S. 432,1995-02-21,93-7407,1994,1994-10,habeas corpus,1994-10-31,1,6,3,James A. Feldman,0,loc,"https://www.oyez.org/cases/1994/93-7407"
54317,515,593,1995,United States v. Aguilar,0,515 U.S. 593,1995-06-21,94-270,1994,1994-10,"statutory construction of criminal laws: obstruction of justice",1995-03-20,1,6,3,James A. Feldman,0,loc,"https://www.oyez.org/cases/1994/94-270"
54423,517,292,1996,Rutledge v. United States,0,517 U.S. 292,1996-03-27,94-8769,1995,1995-10,"statutory construction of criminal laws: conspiracy (cf. subconstitutional fair procedure: conspiracy)",1995-11-27,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1995/94-8769"
54380,518,1,1996,Jaffee v. Redmond,0,518 U.S. 1,1996-06-13,95-266,1995,1995-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",1996-02-26,1,2,7,James A. Feldman,0,loc,"https://www.oyez.org/cases/1995/95-266"
54448,517,806,1996,Whren v. United States,0,517 U.S. 806,1996-06-10,95-5841,1995,1995-10,"search and seizure, vehicles",1996-04-17,1,0,9,James A. Feldman,0,loc,"https://www.oyez.org/cases/1995/95-5841"
54528,519,316,1997,"California Division of Labor Standards Enforcement v. Dillingham Construction, N.A.",0,519 U.S. 316,1997-02-18,95-789,1996,1996-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1996-11-05,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1996/95-789"
54525,519,234,1997,Babbitt v. Youpee,0,519 U.S. 234,1997-01-21,95-1595,1996,1996-10,"due process: takings clause, or other non-constitutional governmental taking of property",1996-12-02,1,1,8,James A. Feldman,0,loc,"https://www.oyez.org/cases/1996/95-1595"
54477,520,670,1997,United States v. Hyde,0,520 U.S. 670,1997-05-27,96-667,1996,1996-10,Federal Rules of Criminal Procedure,1997-04-15,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1996/96-667"
54595,524,125,1998,Muscarello v. United States,0,524 U.S. 125,1998-06-08,96-1654,1997,1997-10,"statutory construction of criminal laws: firearms",1998-03-23,1,4,5,James A. Feldman,0,loc,"https://www.oyez.org/cases/1997/96-1654"
54668,524,74,1998,Geissal v. Moore Medical Corporation,0,524 U.S. 74,1998-06-08,97-689,1997,1997-10,Employee Retirement Income Security Act (cf. union trust funds),1998-04-29,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1997/97-689"
54683,525,249,1999,"No. 97-53 Roberts v. Galen of Virginia, Inc.",0,525 U.S. 249,1999-01-13,97-53,1998,1998-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1998-12-01,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1998/97-53"
54728,526,541,1999,Hunt v. Cromartie,0,526 U.S. 541,1999-05-17,98-85,1998,1998-10,"reapportionment: other than plans governed by the Voting Rights Act",1999-01-20,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1998/98-85"
54745,527,516,1999,"Murphy v. United Parcel Service, Inc.",0,527 U.S. 516,1999-06-22,97-1992,1998,1998-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1999-04-27,1,2,7,James A. Feldman,0,loc,"https://www.oyez.org/cases/1998/97-1992"
54855,529,803,2000,"United States v. Playboy Entertainment Group, Inc.",0,529 U.S. 803,2000-05-22,98-1682,1999,1999-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1999-11-30,1,4,5,James A. Feldman,0,loc,"https://www.oyez.org/cases/1999/98-1682"
54781,530,211,2000,Pegram v. Herdrich,0,530 U.S. 211,2000-06-12,98-1949,1999,1999-10,Employee Retirement Income Security Act (cf. union trust funds),2000-02-23,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/1999/98-1949"
54869,531,278,2001,"City News & Novelty, Inc. v. City of Waukesha",0,531 U.S. 278,2001-01-17,99-1680,2000,2000-10,"mootness (cf. standing to sue: live dispute)",2000-11-28,1,0,9,James A. Feldman,0,loc,"https://www.oyez.org/cases/2000/99-1680"
54888,532,200,2001,United States v. Cleveland Indians Baseball Company,0,532 U.S. 200,2001-04-17,00-203,2000,2000-10,"federal taxation, typically under provisions of the Internal Revenue Code",2001-02-27,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/2000/00-203"
54909,533,656,2001,Tyler v. Cain,0,533 U.S. 656,2001-06-28,00-5961,2000,2000-10,habeas corpus,2001-04-16,1,4,5,James A. Feldman,0,loc,"https://www.oyez.org/cases/2000/00-5961"
55005,534,327,2002,National Cable and Telecommunications Association v. Gulf Power Company,0,534 U.S. 327,2002-01-16,00-832,2001,2001-10,judicial review of administrative agency's or administrative official's actions and procedures,2001-10-02,1,6,2,James A. Feldman,0,loc,"https://www.oyez.org/cases/2001/00-832"
54972,534,316,2002,Thomas v. Chicago Park District,0,534 U.S. 316,2002-01-15,00-1249,2001,2001-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2001-12-03,1,0,9,James A. Feldman,0,loc,"https://www.oyez.org/cases/2001/00-1249"
54957,535,125,2002,Department of Housing and Urban Development v. Rucker,0,535 U.S. 125,2002-03-26,00-1770,2001,2001-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",2002-02-19,1,8,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/2001/00-1770"
62273,538,254,2003,Branch v. Smith,0,538 U.S. 254,2003-03-31,"01-1437,01-1596",2002,2002-10,"Voting Rights Act of 1965, plus amendments",2002-12-10,1,2,7,James A. Feldman,0,loc,"https://www.oyez.org/cases/2002/01-1437"
55050,538,329,2003,"Kentucky Association of Health Plans, Inc. v. Miller",0,538 U.S. 329,2003-04-02,00-1471,2002,2002-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2003-01-14,1,0,9,James A. Feldman,0,loc,"https://www.oyez.org/cases/2002/00-1471"
55186,541,125,2004,Nixon v. Missouri Municipal League,0,541 U.S. 125,2004-03-24,02-1238,2003,2003-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2004-01-12,1,8,1,James A. Feldman,0,loc,"https://www.oyez.org/cases/2003/02-1238"
55157,542,200,2004,"Aetna Health, Inc. v. Davila",0,542 U.S. 200,2004-06-21,02-1845,2003,2003-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2004-03-23,1,9,0,James A. Feldman,0,loc,"https://www.oyez.org/cases/2003/02-1845"
55198,542,348,2004,Schriro v. Summerlin,0,542 U.S. 348,2004-06-24,03-526,2003,2003-10,retroactivity (of newly announced or newly enacted constitutional or statutory rights),2004-04-19,1,5,4,James A. Feldman,0,loc,"https://www.oyez.org/cases/2003/03-526"
62274,543,105,2004,Kansas v. Colorado,0,543 U.S. 105,2004-12-07,105 Orig.,2004,2004-10,non-real property dispute between states,2004-10-04,1,1,8,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2004/105-orig"
55235,544,113,2005,City of Rancho Palos Verdes v. Abrams,0,544 U.S. 113,2005-03-22,03-1601,2004,2004-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2005-01-19,1,9,0,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2004/03-1601"
55246,545,0,2005,Dodd v. United States,0,545 U.S. ___,2005-06-20,04-5286,2004,2004-10,habeas corpus,2005-03-22,1,4,5,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2004/04-5286"
55327,546,72,2005,Maryland v. Blake,0,546 U.S. 72,2005-11-14,04-373,2005,2005-10,"no merits: writ improvidently granted",2005-11-01,1,0,9,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2005/04-373"
55333,547,220,2006,Jones v. Flowers,0,547 U.S. 220,2006-04-26,04-1477,2005,2005-10,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)",2006-01-17,1,5,3,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2005/04-1477"
55318,547,356,2006,"Sereboff v. Mid Atlantic Medical Services, Inc.",0,547 U.S. 356,2006-05-15,05-260,2005,2005-10,Employee Retirement Income Security Act (cf. union trust funds),2006-03-28,1,0,9,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2005/05-260"
55439,550,45,2007,"Global Crossing Telecommunications, Inc. v. Metrophones Telecommunications, Inc.",0,550 U.S. 45,2007-04-17,05-705,2006,2006-10,"federal and some few state regulations of public utilities regulation: telephone or telegraph company",2006-10-10,1,2,7,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2006/05-705"
55697,561,742,2010,McDonald v. Chicago,0,561 U.S. 742,2010-06-28,08-1521,2009,2009-10,"miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)",2010-03-02,1,5,4,James A. Feldman,0,scotusBound,"https://www.oyez.org/cases/2009/08-1521"
55929,568,503,2013,Levin v. United States,0,568 U.S. 503,2013-03-04,11-1351,2012,2012-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2013-01-15,1,9,0,James A. Feldman,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1351"
56023,571,0,2014,Ray Haluch Gravel Co. v. Central Pension Fund,0,571 U.S. ___,2014-01-15,12-992,2013,2013-10,"judicial administration: untimely filing",2013-12-09,1,9,0,James A. Feldman,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-992"
56137,575,0,2015,"Bullard v. Blue Hills Bank, fka Hyde Park Savings",0,575 U.S. ___,2015-05-04,14-116,2014,2014-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2015-04-01,1,0,9,James A. Feldman,0,slipopinion/14,"https://www.oyez.org/cases/2014/14-116"
62783,581,0,2017,Advocate Health Care Network v. Stapleton,0,581 U.S. ___,2017-06-05,16-74,2016,2016-10,Employee Retirement Income Security Act (cf. union trust funds),2017-03-27,1,8,0,James A. Feldman,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-74"
62892,584,0,2018,"Encino Motorcars, LLC v. Navarro",0,584 U.S. ___,2018-04-02,16-1362,2017,2017-10,Fair Labor Standards Act,2018-01-17,1,5,4,James A. Feldman,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1362"
