oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55192,541,36,2004,Crawford v. Washington,0,541 U.S. 36,2004-03-08,02-9410,2003,2003-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",2003-11-10,1,9,0,Jeffrey L. Fisher,0,loc,"https://www.oyez.org/cases/2003/02-9410"
55185,542,296,2004,Blakely v. Washington,0,542 U.S. 296,2004-06-24,02-1632,2003,2003-10,"statutory construction of criminal laws: sentencing guidelines",2004-03-23,1,5,4,Jeffrey L. Fisher,0,loc,"https://www.oyez.org/cases/2003/02-1632"
55204,544,734,2005,Tory v. Cochran,0,544 U.S. 734,2005-05-31,03-1488,2004,2004-10,"libel, defamation: defamation of public officials and public and private persons",2005-03-22,1,7,2,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2004/03-1488"
55370,547,813,2006,Davis v. Washington,0,547 U.S. 813,2006-06-19,"05-5224,05-5705",2005,2005-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",2006-03-20,1,0,9,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2005/05-5224"
55305,548,140,2006,United States v. Gonzalez-Lopez,0,548 U.S. 140,2006-06-26,05-352,2005,2005-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),2006-04-18,1,4,5,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2005/05-352"
55439,550,45,2007,"Global Crossing Telecommunications, Inc. v. Metrophones Telecommunications, Inc.",0,550 U.S. 45,2007-04-17,05-705,2006,2006-10,"federal and some few state regulations of public utilities regulation: telephone or telegraph company",2006-10-10,1,2,7,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2006/05-705"
55415,549,147,2007,Burton v. Stewart,0,549 U.S. 147,2007-01-09,05-9222,2006,2006-10,habeas corpus,2006-11-07,1,0,9,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2006/05-9222"
55487,554,471,2008,Exxon Shipping Co. v. Baker,0,554 U.S. 471,2008-06-25,07-219,2007,2007-10,"liability, punitive damages",2008-02-27,1,5,3,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2007/07-219"
55507,553,124,2008,Burgess v. United States,0,553 U.S. 124,2008-04-16,06-11429,2007,2007-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",2008-03-24,1,0,9,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2007/06-11429"
55504,554,407,2008,Kennedy v. Louisiana,0,554 U.S. 407,2008-06-25,07-343,2007,2007-10,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",2008-04-16,1,5,4,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2007/07-343"
55579,555,0,2009,Waddington v. Sarausad,0,555 U.S. ___,2009-01-21,07-772,2008,2008-10,"extra-legal jury influences: jury instructions (not necessarily in criminal cases)",2008-10-15,1,6,3,Jeffrey L. Fisher,0,scotusBound,"https://www.oyez.org/cases/2008/07-772"
