oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54659,523,213,1998,Cohen v. de la Cruz,0,523 U.S. 213,1998-03-24,96-1923,1997,1997-10,bankruptcy (except in the context of priority of federal fiscal claims),1998-01-20,1,0,9,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/1997/96-1923"
54590,523,696,1998,Montana v. Crow Tribe of Indians,0,523 U.S. 696,1998-05-18,96-1829,1997,1997-10,"Indians, state jurisdiction over",1998-02-24,1,9,0,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/1997/96-1829"
54692,525,83,1998,Minnesota v. Carter,0,525 U.S. 83,1998-12-01,97-1147,1998,1998-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1998-10-06,1,6,3,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/1998/97-1147"
54746,525,255,1999,"Department of the Army v. Blue Fox, Inc.",0,525 U.S. 255,1999-01-20,97-1642,1998,1998-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1998-12-01,1,9,0,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/1998/97-1642"
54798,529,1,2000,"Shalala v. Illinois Council on Long Term Care, Inc.",0,529 U.S. 1,2000-02-29,98-1109,1999,1999-10,"judicial administration: federal question (cf. no merits: dismissed for want of a substantial or properly presented federal question)",1999-11-08,1,5,4,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/1999/98-1109"
54817,529,334,2000,Bond v. United States,0,529 U.S. 334,2000-04-17,98-9349,1999,1999-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2000-02-29,1,7,2,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/1999/98-9349"
54894,532,189,2001,"Lujan v. G & G Fire Sprinklers, Inc.",0,532 U.S. 189,2001-04-17,00-152,2000,2000-10,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)",2001-02-26,1,9,0,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/2000/00-152"
54898,533,146,2001,Alabama v. Bozeman,0,533 U.S. 146,2001-06-11,00-492,2000,2000-10,"statutory construction of criminal laws: miscellaneous",2001-04-17,1,0,9,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/2000/00-492"
54999,534,61,2001,Correctional Services Corporation v. Malesko,0,534 U.S. 61,2001-11-27,00-860,2001,2001-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2001-10-01,1,5,4,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/2001/00-860"
54963,534,473,2002,Wisconsin Department of Health and Family Services v. Blumer,0,534 U.S. 473,2002-02-20,00-952,2001,2001-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2001-12-03,1,6,3,Jeffrey A. Lamken,0,loc,"https://www.oyez.org/cases/2001/00-952"
