oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"53203",476,734,1986,"United States v. Dion","","476 U.S. 734","1986-06-11","85-246","1985","1985-10","Indians (other than pertains to state jurisdiction over)","1986-03-25",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1985/85-246"
"53198",477,635,1986,"Lyng v. Castillo","","477 U.S. 635","1986-06-27","85-250","1985","1985-10","poverty law, constitutional","1986-04-29",1,6,3,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1985/85-250"
"53389",480,572,1987,"California Coastal Comm'n v. Granite Rock Company","","480 U.S. 572","1987-03-24","85-1200","1986","1986-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1986-12-02",1,5,4,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1986/85-1200"
"53279",482,522,1987,"Société Nationale Industrielle Aérospatiale v. United States District Court for the Southern District of Iowa","","482 U.S. 522","1987-06-15","85-1695","1986","1986-10","Freedom of Information Act and related federal or state statutes or regulations","1987-01-14",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1986/85-1695"
"53325",480,700,1987,"United States v. Cherokee Nation of Oklahoma","","480 U.S. 700","1987-03-31","85-1940","1986","1986-10","due process: takings clause, or other non-constitutional governmental taking of property","1987-02-23",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1986/85-1940"
"53499",484,495,1988,"ETSI Pipeline Project v. Missouri","","484 U.S. 495","1988-02-23","86-939","1987","1987-10","judicial review of administrative agency's or administrative official's actions and procedures","1987-11-03",1,0,8,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1987/86-939"
"62246",485,88,1988,"United States v. Louisiana","","485 U.S. 88","1988-03-01","9 Orig.","1987","1987-10","Submerged Lands Act (cf. federal-state ownership dispute)","1988-01-11",1,7,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1987/9_orig"
"53479",486,694,1988,"Volkswagenwerk Aktiengesellschaft v. Schlunk","","486 U.S. 694","1988-06-15","86-1052","1987","1987-10","due process: jurisdiction (jurisdiction over non-resident litigants)","1988-03-21",1,0,9,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1987/86-1052"
"53574",489,561,1989,"Coit Independence Joint Venture v. Federal Savings and Loan Insurance Corporation","","489 U.S. 561","1989-03-21","87-996","1988","1988-10","comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals","1988-11-01",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1988/87-996"
"53646",491,490,1989,"Pittsburgh & Lake Erie Railroad Company v. Railway Labor Executives' Association","","491 U.S. 490","1989-06-21","87-1589","1988","1988-10","labor-management disputes: bargaining","1989-03-29",1,5,4,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1988/87-1589"
"53595",492,406,1989,"Wyoming v. United States","","492 U.S. 406","1989-06-26","88-309","1988","1988-10","","1989-04-25",1,4,4,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1988/88-309"
"53711",494,26,1990,"Dole v. United Steelworkers of America","","494 U.S. 26","1990-02-21","88-1434","1989","1989-10","judicial review of administrative agency's or administrative official's actions and procedures","1989-11-06",1,2,7,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1989/88-1434"
"53824",499,117,1991,"Norfolk & Western Railway Company v. American Train Dispatchers Association","","499 U.S. 117","1991-03-19","89-1027","1990","1990-10","federal or state regulation of transportation regulation: railroad","1990-12-03",1,7,2,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1990/89-1027"
"53854",500,160,1991,"Touby v. United States","","500 U.S. 160","1991-05-20","90-6282","1990","1990-10","statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol","1991-04-17",1,0,9,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1990/90-6282"
"54006",502,32,1991,"Board of Governors of the Federal Reserve System of the United States v. MCorp Financial, Inc.","","502 U.S. 32","1991-12-03","90-913","1991","1991-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","1991-10-07",1,8,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1991/90-913"
"54031",504,229,1992,"United States v. Burke","","504 U.S. 229","1992-05-26","91-42","1991","1991-10","federal taxation, typically under provisions of the Internal Revenue Code","1992-01-21",1,7,2,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1991/91-42"
"54046",503,569,1992,"United States v. Alaska","","503 U.S. 569","1992-04-21","118 Orig.","1991","1991-10","federal-state ownership dispute (cf. Submerged Lands Act)","1992-02-24",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1991/118_orig"
"54025",504,607,1992,"Republic of Argentina v. Weltover, Inc.","","504 U.S. 607","1992-06-12","91-763","1991","1991-10","judicial administration: jurisdiction or authority of federal district courts or territorial courts","1992-04-01",1,0,9,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1991/91-763"
"54097",507,349,1993,"Saudi Arabia v. Nelson","","507 U.S. 349","1993-03-23","91-522","1992","1992-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1992-11-30",1,6,3,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1992/91-522"
"54116",507,584,1993,"Nebraska v. Wyoming","","507 U.S. 584","1993-04-20","108 Orig.","1992","1992-10","non-real property dispute between states","1993-01-13",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1992/108_orig"
"54101",509,259,1993,"Buckley v. Fitzsimmons","","509 U.S. 259","1993-06-24","91-7849","1992","1992-10","liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)","1993-02-22",1,5,4,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1992/91-7849"
"54173",508,1,1993,"United States v. Idaho ex rel. Director, Idaho Dept. of Water Resources","","508 U.S. 1","1993-05-03","92-190","1992","1992-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","1993-03-29",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1992/92-190"
"54207",510,17,1993,"Harris v. Forklift Systems, Inc.","","510 U.S. 17","1993-11-09","92-1168","1993","1993-10","sex discrimination in employment (cf. sex discrimination)","1993-10-13",1,9,0,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1993/92-1168"
"54229",511,328,1994,"City of Chicago v. Environmental Defense Fund","","511 U.S. 328","1994-05-02","92-1639","1993","1993-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1994-01-19",1,2,7,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1993/92-1639"
"54293",514,673,1995,"Kansas v. Colorado","","514 U.S. 673","1995-05-15","105 Orig.","1994","1994-10","non-real property dispute between states","1995-03-21",1,0,9,"Jeffrey P. Minear","","loc","https://www.oyez.org/cases/1994/105_orig"
