oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55572,556,0,2009,United States ex rel. Eisenstein v. City of New York,0,556 U.S. ___,2009-06-08,08-660,2008,2008-10,"judicial administration: untimely filing",2009-04-21,1,0,9,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2008/08-660"
55691,560,770,2010,Schwab v. Reilly,0,560 U.S. 770,2010-06-17,08-538,2009,2009-10,bankruptcy (except in the context of priority of federal fiscal claims),2009-11-03,1,6,3,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2009/08-538"
55674,560,474,2010,Barber v. Thomas,0,560 U.S. 474,2010-06-07,09-5201,2009,2009-10,"statutory construction of criminal laws: sentencing guidelines",2010-03-30,1,3,6,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2009/09-5201"
55784,563,0,2011,Kasten v. Saint-Gobain Performance Plastics Corp.,0,563 U.S. ___,2011-03-22,09-834,2010,2010-10,Fair Labor Standards Act,2010-10-13,1,6,2,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2010/09-834"
55764,564,0,2011,Sykes v. United States,0,564 U.S. ___,2011-06-09,09-11311,2010,2010-10,"statutory construction of criminal laws: sentencing guidelines",2011-01-12,1,3,6,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2010/09-11311"
55891,566,0,2012,Martinez v. Ryan,0,566 U.S. ___,2012-03-20,10-1001,2011,2011-10,"indigents: inadequate representation by counsel (cf. right to counsel)",2011-10-04,1,7,2,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2011/10-1001"
55878,566,0,2012,Credit Suisse Securities LLC v. Simmonds,0,566 U.S. ___,2012-03-26,10-1261,2011,2011-10,federal or state regulation of securities,2011-11-29,1,8,0,Jeffrey B. Wall,0,scotusBound,"https://www.oyez.org/cases/2011/10-1261"
55911,568,186,2013,Bailey v. United States,0,568 U.S. 186,2013-02-19,11-770,2012,2012-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2012-11-01,1,6,3,Jeffrey B. Wall,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-770"
55938,568,266,2013,Henderson v. United States,0,568 U.S. 266,2013-02-20,11-9307,2012,2012-10,Federal Rules of Criminal Procedure,2012-11-28,1,6,3,Jeffrey B. Wall,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-9307"
55935,568,442,2013,Gabelli v. Securities and Exchange Commission,0,568 U.S. 442,2013-02-27,11-1274,2012,2012-10,federal or state regulation of securities,2013-01-08,1,9,0,Jeffrey B. Wall,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1274"
62603,579,0,2016,Halo Electronics v. Pulse Electronics Inc.,0,579 U.S. ___,2016-06-13,"14-1513,14-1520",2015,2015-10,"patents and copyrights: patent",2016-02-23,1,8,0,Jeffrey B. Wall,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1513"
62803,584,0,2018,Epic Systems Corp. v. Lewis,0,584 U.S. ___,2018-05-21,"16-285,16-300,16-307",2017,2017-10,arbitration (in the context of labor-management or employer-employee relations) (cf. arbitration),2017-10-02,1,5,4,Jeffrey B. Wall,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-285"
62869,584,0,2018,Murphy v. National Collegiate Athletic Association,0,584 U.S. ___,2018-05-14,"16-476,16-477",2017,2017-10,"national supremacy: miscellaneous",2017-12-04,1,7,2,Jeffrey B. Wall,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-476"
62922,585,0,2018,"Lozman v. City of Riviera Beach, Florida",0,585 U.S. ___,2018-06-18,17-21,2017,2017-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2018-02-27,1,8,1,Jeffrey B. Wall,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-21"
62921,585,0,2018,National Institute of Family and Life Advocates v. Becerra,0,585 U.S. ___,2018-06-26,16-1140,2017,2017-10,"abortion: including contraceptives",2018-03-20,1,5,4,Jeffrey B. Wall,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1140"
62946,585,0,2018,Lucia v. Securities and Exchange Commission,0,585 U.S. ___,2018-06-21,17-130,2017,2017-10,miscellaneous,2018-04-23,1,7,2,Jeffrey B. Wall,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-130"
62964,0,0,0,Gundy v. United States,0,___ U.S. ___,0,17-6086,2018,2018-10,0,2018-10-02,1,0,0,Jeffrey B. Wall,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-6086"
62986,0,0,0,Frank v. Gaos,0,___ U.S. ___,0,17-961,2018,2018-10,0,2018-10-31,1,0,0,Jeffrey B. Wall,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-961"
63018,0,0,0,Nieves v. Bartlett,0,___ U.S. ___,0,17-1174,2018,2018-10,0,2018-11-26,1,0,0,Jeffrey B. Wall,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1174"
63050,0,0,0,The American Legion v. American Humanist Association,0,___ U.S. ___,0,"17-1717,18-18",2018,2018-10,0,2019-02-27,1,0,0,Jeffrey B. Wall,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1717"
63149,590,0,2020,"Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, LLC",0,590 U.S. ___,2020-06-01,"18-1334,18-1475,18-1496,18-1514,18-1521",2019,2019-10,0,2019-10-15,1,0,0,Jeffrey B. Wall,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1334"
63161,589,0,2020,Hernandez v. Mesa,0,589 U.S. ___,2020-02-25,17-1678,2019,2019-10,0,2019-11-12,1,0,0,Jeffrey B. Wall,0,slipopinion/19,"https://www.oyez.org/cases/2019/17-1678"
63090,590,0,2020,New York State Rifle & Pistol Association Inc. v. City of New York,0,590 U.S. ___,2020-04-27,18-280,2019,2019-10,0,2019-12-02,1,0,0,Jeffrey B. Wall,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-280"
63157,591,0,2020,Espinoza v. Montana Department of Revenue,0,591 U.S. ___,2020-06-30,18-1195,2019,2019-10,0,2020-01-22,1,0,0,Jeffrey B. Wall,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1195"
63163,591,0,2020,June Medical Services LLC v. Russo,0,591 U.S. ___,2020-06-29,"18-1323,18-1460",2019,2019-10,0,2020-03-04,1,0,0,Jeffrey B. Wall,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1323"
63206,591,0,2020,"Trump v. Mazars USA, LLP",0,591 U.S. ___,2020-07-09,"19-715,19-760",2019,2019-10,0,2020-05-12,1,0,0,Jeffrey B. Wall,0,slipopinion/19,"https://www.oyez.org/cases/2019/19-715"
63188,592,0,2020,United States v. Briggs,0,592 U.S. ___,2020-12-10,"19-108,19-184",2020,2020-10,0,2020-10-13,1,0,0,Jeffrey B. Wall,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-108"
63230,593,0,2021,California v. Texas,0,593 U.S. ___,2021-06-17,"19-840,19-1019",2020,2020-10,0,2020-11-10,1,0,0,Jeffrey B. Wall,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-840"
63296,592,0,2020,Trump v. New York,0,592 U.S. ___,2020-12-18,20-366,2020,2020-10,0,2020-11-30,1,0,0,Jeffrey B. Wall,0,slipopinion/20,"https://www.oyez.org/cases/2020/20-366"
63562,0,0,0,"Great Lakes Insurance SE v. Raiders Retreat Realty Co., LLC",0,___ U.S. ___,0,22-500,2023,2023-10,0,2023-10-10,1,0,0,Jeffrey B. Wall,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-500"
