oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59207,0,0,0,Liquid Carbonic Corp. v. United States,0,___ U.S. ___,1955-10-24,25,1955,1955-10,antitrust (except in the context of mergers and union antitrust),"1955-10-19,1955-10-20",2,6,2,John F . Davis,0,loc,"https://www.oyez.org/cases/1955/25"
59273,350,383,1956,United States v. Leslie Salt Company,0,350 U.S. 383,1956-03-05,74,1955,1955-10,"federal taxation, typically under provisions of the Internal Revenue Code",1955-12-07,1,0,9,John F . Davis,0,loc,"https://www.oyez.org/cases/1955/74"
59259,350,488,1956,Murdock Acceptance Corporation v. United States,0,350 U.S. 488,1956-03-26,56,1955,1955-10,"federal taxation, typically under provisions of the Internal Revenue Code",1956-02-27,1,8,1,John F . Davis,0,loc,"https://www.oyez.org/cases/1955/56"
62287,353,586,1957,United States v. E. I. du Pont de Nemours & Company,0,353 U.S. 586,1957-06-03,3,1956,1956-10,antitrust (except in the context of mergers and union antitrust),"1956-11-14,1956-11-15",2,4,2,John F . Davis,0,loc,"https://www.oyez.org/cases/1956/3"
59440,352,187,1956,"Leslie Miller, Inc., v. Arkansas",0,352 U.S. 187,1956-12-17,51,1956,1956-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,"1956-12-05,1956-12-06",2,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1956/51"
59390,353,194,1957,United States v. Witkovich,0,353 U.S. 194,1957-04-29,295,1956,1956-10,deportation (cf. immigration and naturalization),1957-02-28,1,2,6,John F . Davis,0,loc,"https://www.oyez.org/cases/1956/295"
59364,353,391,1957,Grunewald v. United States,0,353 U.S. 391,1957-05-27,183,1956,1956-10,"statutory construction of criminal laws: conspiracy (cf. subconstitutional fair procedure: conspiracy)","1957-04-03,1957-04-04",2,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1956/183"
59452,354,271,1957,United States v. Korpan,0,354 U.S. 271,1957-06-17,596,1956,1956-10,"statutory construction of criminal laws: gambling",1957-04-25,1,8,1,John F . Davis,0,loc,"https://www.oyez.org/cases/1956/596"
59528,355,96,1957,Benanti v. United States,0,355 U.S. 96,1957-12-09,231,1957,1957-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1957-10-29,1,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/231"
59543,355,107,1957,Rathbun v. United States,0,355 U.S. 107,1957-12-09,30,1957,1957-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1957-10-29,1,2,7,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/30"
59548,355,169,1957,United States ex rel. Lee Kum Hoy v. Murff,0,355 U.S. 169,1957-12-09,32,1957,1957-10,"subconstitutional fair procedure: presentation, admissibility, or sufficiency of evidence (not necessarily a criminal case)",1957-11-21,1,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/32"
59527,355,534,1958,Public Utilities Commission of California v. United States,0,355 U.S. 534,1958-03-03,23,1957,1957-10,"national supremacy: commodities",1958-01-07,1,3,6,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/23"
59579,356,405,1958,United States v. Cores,0,356 U.S. 405,1958-05-19,455,1957,1957-10,"statutory construction of criminal laws: immigration (cf. immigration and naturalization)",1958-03-13,1,6,3,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/455"
59547,357,39,1958,Commissioner v. Stern,0,357 U.S. 39,1958-06-09,311,1957,1957-10,"federal taxation, typically under provisions of the Internal Revenue Code",1958-04-07,1,3,6,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/311"
59562,357,51,1958,United States v. Bess,0,357 U.S. 51,1958-06-09,395,1957,1957-10,"federal taxation, typically under provisions of the Internal Revenue Code",1958-04-07,1,2,7,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/395"
59493,357,275,1958,Ivanhoe Irrigation Dist. v. McCracken,0,357 U.S. 275,1958-06-23,122,1957,1957-10,"due process: takings clause, or other non-constitutional governmental taking of property",1958-04-29,1,8,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1957/122"
59782,359,41,1959,Brown v. United States,0,359 U.S. 41,1959-03-09,4,1958,1958-10,contempt of court or congress,1958-10-16,1,4,5,Mr John F. Davis,0,loc,"https://www.oyez.org/cases/1958/4"
59787,358,228,1959,Lee v. Madigan,0,358 U.S. 228,1959-01-12,42,1958,1958-10,"military: active duty","1958-12-09,1958-12-10",2,6,2,John F . Davis,0,loc,"https://www.oyez.org/cases/1958/42"
59715,359,29,1959,"United States v. Embassy Restaurant, Inc.",0,359 U.S. 29,1959-03-09,174,1958,1958-10,bankruptcy (except in the context of priority of federal fiscal claims),1959-01-22,1,6,3,John F . Davis,0,loc,"https://www.oyez.org/cases/1958/174"
59694,359,102,1959,Tak Shan Fong v. United States,0,359 U.S. 102,1959-03-23,110,1958,1958-10,"immigration and naturalization: citizenship",1959-02-24,1,3,6,John F . Davis,0,loc,"https://www.oyez.org/cases/1958/110"
59690,367,203,1961,Scales v. United States,0,367 U.S. 203,1961-06-05,1,1960,1960-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1959-04-29,1960-10-10",2,4,5,Mr John F. Davis,0,loc,"https://www.oyez.org/cases/1960/1"
59864,361,78,1959,United States v. Seaboard Air Lines Railroad Company,0,361 U.S. 78,1959-11-09,10,1959,1959-10,"federal or state regulation of transportation regulation: railroad",1959-10-19,1,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1959/10"
59946,361,376,1960,Phillips Chemical Company v. Dumas Independent School District,0,361 U.S. 376,1960-02-23,40,1959,1959-10,"national supremacy: state tax (cf. state tax)","1959-11-17,1959-11-18",2,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1959/40"
59985,363,603,1960,Flemming v. Nestor,0,363 U.S. 603,1960-06-20,54,1959,1959-10,"security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements",1960-02-24,1,5,4,Mr John F. Davis,0,loc,"https://www.oyez.org/cases/1959/54"
59869,362,511,1960,Schaffer v. United States,0,362 U.S. 511,1960-05-16,"111,122",1959,1959-10,Federal Rules of Criminal Procedure,1960-03-24,1,4,5,John F . Davis,0,loc,"https://www.oyez.org/cases/1959/111"
59878,363,405,1960,Kimm v. Rosenberg,0,363 U.S. 405,1960-06-13,139,1959,1959-10,deportation (cf. immigration and naturalization),"1960-05-16,1960-05-17",2,4,5,John F . Davis,0,loc,"https://www.oyez.org/cases/1959/139"
60198,367,290,1961,Noto v. United States,0,367 U.S. 290,1961-06-05,9,1960,1960-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1960-10-10,1960-10-11",2,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1960/9"
60166,365,505,1961,Silverman v. United States,0,365 U.S. 505,1961-03-06,66,1960,1960-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1960-12-05,1,9,0,John F . Davis,0,loc,"https://www.oyez.org/cases/1960/66"
60205,367,886,1961,Cafeteria & Restaurant Workers v. McElroy,0,367 U.S. 886,1961-06-19,97,1960,1960-10,"security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements",1961-01-12,1,4,5,John F . Davis,0,loc,"https://www.oyez.org/cases/1960/97"
60155,366,316,1961,United States v. E.I. du Pont de Nemours & Company,0,366 U.S. 316,1961-05-22,55,1960,1960-10,mergers,"1961-02-20,1961-02-21",2,4,3,John F . Davis,0,loc,"https://www.oyez.org/cases/1960/55"
60142,367,316,1961,"Civil Aeronautics Board v. Delta Air Lines, Inc.",0,367 U.S. 316,1961-06-12,492,1960,1960-10,"federal and some few state regulation of transportation regulation: airline",1961-04-27,1,3,6,John F . Davis,0,loc,"https://www.oyez.org/cases/1960/492"
