oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53588,490,435,1989,United States v. Halper,0,490 U.S. 435,1989-05-15,87-1383,1988,1988-10,double jeopardy,1989-01-17,1,0,9,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1988/87-1383"
53772,495,328,1990,Atlantic Richfield Company v. USA Petroleum Company,0,495 U.S. 328,1990-05-14,88-1668,1989,1989-10,antitrust (except in the context of mergers and union antitrust),1989-12-05,1,7,2,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1989/88-1668"
53768,496,498,1990,Wilder v. Virginia Hospital Association,0,496 U.S. 498,1990-06-14,88-2043,1989,1989-10,"standing to sue: statutory standing",1990-01-09,1,4,5,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1989/88-2043"
53780,497,720,1990,United States v. Kokinda,0,497 U.S. 720,1990-06-27,88-2031,1989,1989-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1990-02-26,1,5,4,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1989/88-2031"
53734,497,871,1990,Lujan v. National Wildlife Federation,0,497 U.S. 871,1990-06-27,89-640,1989,1989-10,"standing to sue: personal injury",1990-04-16,1,5,4,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1989/89-640"
53816,498,89,1990,Irwin v. Department of Veterans Affairs,0,498 U.S. 89,1990-12-03,89-5867,1990,1990-10,"judicial administration: untimely filing",1990-10-01,1,1,7,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1990/89-5867"
53850,498,279,1991,Grogan v. Garner,0,498 U.S. 279,1991-01-15,89-1149,1990,1990-10,bankruptcy (except in the context of priority of federal fiscal claims),1990-10-29,1,9,0,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1990/89-1149"
53845,499,573,1991,United States v. Centennial Savings Bank FSB,0,499 U.S. 573,1991-04-17,89-1926,1990,1990-10,"federal taxation, typically under provisions of the Internal Revenue Code",1991-01-15,1,2,7,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1990/89-1926"
53918,499,554,1991,Cottage Savings Association v. Commissioner of Internal Revenue,0,499 U.S. 554,1991-04-17,89-1965,1990,1990-10,"federal taxation, typically under provisions of the Internal Revenue Code",1991-01-15,1,7,2,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1990/89-1965"
53873,500,248,1991,Florida v. Jimeno,0,500 U.S. 248,1991-05-23,90-622,1990,1990-10,"search and seizure, vehicles",1991-03-25,1,7,2,"John G. Roberts, Jr.",0,loc,"https://www.oyez.org/cases/1990/90-622"
