oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55278,543,1041,2005,"Merck KGaA v. Integra Lifesciences I, Ltd.",0,543 U.S. 1041,2005-06-13,03-1237,2004,2004-10,"patents and copyrights: patent",2005-04-20,1,9,0,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2004/03-1237"
55342,547,47,2006,"Rumsfeld v. Forum for Academic and Institutional Rights, Inc.",0,547 U.S. 47,2006-03-06,04-1152,2005,2005-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2005-12-06,1,8,0,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2005/04-1152"
55423,549,443,2007,Travelers Casualty & Surety Co. of America v. Pacific Gas & Electric Co.,0,549 U.S. 443,2007-03-20,05-1429,2006,2006-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2007-01-16,1,9,0,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2006/05-1429"
55480,554,105,2008,Metropolitan Life Ins. Co. v. Glenn,0,554 U.S. 105,2008-06-19,06-923,2007,2007-10,Employee Retirement Income Security Act (cf. union trust funds),2008-04-23,1,3,6,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2007/06-923"
55597,555,0,2009,Van de Kamp v. Goldstein,0,555 U.S. ___,2009-01-26,07-854,2008,2008-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2008-11-05,1,9,0,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2008/07-854"
55782,563,826,2011,Fox v. Vice,0,563 U.S. 826,2011-06-06,10-114,2010,2010-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2011-03-22,1,9,0,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2010/10-114"
55804,564,0,2011,Nevada Commission on Ethics v. Carrigan,0,564 U.S. ___,2011-06-13,10-568,2010,2010-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2011-04-27,1,9,0,E. Joshua Rosenkranz,0,scotusBound,"https://www.oyez.org/cases/2010/10-568"
55902,568,519,2013,"Kirtsaeng v. John Wiley & Sons, Inc.",0,568 U.S. 519,2013-03-19,11-697,2012,2012-10,"patents and copyrights: copyright",2012-10-29,1,6,3,E. Joshua Rosenkranz,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-697"
56053,575,0,2015,United States v. Kwai Fun Wong,0,575 U.S. ___,2015-04-22,"13-1074,13-1075",2014,2014-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2014-12-10,1,4,5,E. Joshua Rosenkranz,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-1074"
56058,576,0,2015,City of Los Angeles v. Patel,0,576 U.S. ___,2015-06-22,13-1175,2014,2014-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2015-03-03,1,4,5,E. Joshua Rosenkranz,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-1175"
62635,578,0,2016,Sheriff v. Gillie,0,578 U.S. ___,2016-05-16,15-338,2015,2015-10,debtors' rights,2016-03-29,1,8,0,E. Joshua Rosenkranz,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-338"
62652,579,0,2016,Kirtsaeng v. John Wiley & Sons,0,579 U.S. ___,2016-06-16,15-375,2015,2015-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2016-04-25,1,8,0,E. Joshua Rosenkranz,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-375"
62731,580,0,2017,Lightfoot v. Cendant Mortgage Corporation,0,580 U.S. ___,2017-01-18,14-1055,2016,2016-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2016-11-08,1,8,0,E. Joshua Rosenkranz,0,slipopinion/16,"https://www.oyez.org/cases/2016/14-1055"
62754,584,0,2018,Sessions v. Dimaya,0,584 U.S. ___,2018-04-17,15-1498,2017,2017-10,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)","2017-01-17,2017-10-02",2,4,5,E. Joshua Rosenkranz,0,slipopinion/17,"https://www.oyez.org/cases/2017/15-1498"
62776,581,0,2017,County of Los Angeles v. Mendez,0,581 U.S. ___,2017-05-30,16-369,2016,2016-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2017-03-22,1,8,0,E. Joshua Rosenkranz,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-369"
62903,584,0,2018,United States v. Microsoft Corporation,0,584 U.S. ___,2018-04-17,17-2,2017,2017-10,"mootness (cf. standing to sue: live dispute)",2018-02-27,1,9,0,E. Joshua Rosenkranz,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-2"
62990,586,0,2018,Mount Lemmon Fire District v. Guido,0,586 U.S. ___,2018-11-06,17-587,2018,2018-10,0,2018-10-01,1,0,0,E. Joshua Rosenkranz,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-587"
63187,593,0,2021,Google LLC v. Oracle America Inc.,0,593 U.S. ___,2021-04-05,18-956,2020,2020-10,0,2020-10-07,1,0,0,E. Joshua Rosenkranz,0,slipopinion/20,"https://www.oyez.org/cases/2020/18-956"
63371,595,0,2022,"Unicolors, Inc. v. H&M Hennes & Mauritz, L.P.",0,595 U.S. ___,2022-02-24,20-915,2021,2021-10,0,2021-11-08,1,0,0,E. Joshua Rosenkranz,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-915"
