oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55257,544,93,2005,Muehler v. Mena,0,544 U.S. 93,2005-03-22,03-1423,2004,2004-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2004-12-08,1,9,0,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2004/03-1423"
55311,546,517,2006,Oregon v. Guzek,0,546 U.S. 517,2006-02-22,04-928,2005,2005-10,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",2005-12-07,1,8,0,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2005/04-928"
55292,547,573,2006,Hill v. McDonough,0,547 U.S. 573,2006-06-12,05-8794,2005,2005-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2006-04-26,1,9,0,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2005/05-8794"
55411,549,312,2007,"Weyerhaeuser Co. v. Ross-Simmons Hardwood Lumber Co., Inc.",0,549 U.S. 312,2007-02-20,05-381,2006,2006-10,antitrust (except in the context of mergers and union antitrust),2006-11-28,1,9,0,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2006/05-381"
55435,551,308,2007,"Tellabs, Inc. v. Makor Issues & Rights, Ltd.",0,551 U.S. 308,2007-06-21,06-484,2006,2006-10,federal or state regulation of securities,2007-03-28,1,8,1,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2006/06-484"
55465,552,214,2008,Ali v. Federal Bureau of Prisons,0,552 U.S. 214,2008-01-22,06-9130,2007,2007-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2007-10-29,1,4,5,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2007/06-9130"
55511,553,377,2008,United States v. Rodriquez,0,553 U.S. 377,2008-05-19,06-1646,2007,2007-10,"statutory construction of criminal laws: sentencing guidelines",2008-01-15,1,6,3,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2007/06-1646"
55517,553,406,2008,Riley v. Kennedy,0,553 U.S. 406,2008-05-27,07-77,2007,2007-10,"Voting Rights Act of 1965, plus amendments",2008-03-24,1,7,2,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2007/07-77"
55575,556,0,2009,Hawaii v. Office of Hawaiian Affairs,0,556 U.S. ___,2009-03-31,07-1372,2008,2008-10,miscellaneous,2009-02-25,1,9,0,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2008/07-1372"
55693,559,633,2010,Merck & Co. v. Reynolds,0,559 U.S. 633,2010-04-27,08-905,2009,2009-10,federal or state regulation of securities,2009-11-30,1,0,9,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2009/08-905"
55832,565,0,2012,Smith v. Cain,0,565 U.S. ___,2012-01-10,10-8145,2011,2011-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",2011-11-08,1,8,1,Kannon K. Shanmugam,0,scotusBound,"https://www.oyez.org/cases/2011/10-8145"
55911,568,186,2013,Bailey v. United States,0,568 U.S. 186,2013-02-19,11-770,2012,2012-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2012-11-01,1,6,3,Kannon K. Shanmugam,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-770"
