oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"53905",501,868,1991,"Freytag v. Commissioner","","501 U.S. 868","1991-06-27","90-762","1990","1990-10","miscellaneous","1991-04-23",1,0,9,"Kathleen M. Sullivan","","loc","https://www.oyez.org/cases/1990/90-762"
"54352",513,557,1995,"Anderson v. Green","","513 U.S. 557","1995-02-22","94-197","1994","1994-10","standing to sue: justiciable question","1995-01-17",1,0,9,"Kathleen M. Sullivan","","loc","https://www.oyez.org/cases/1994/94-197"
"55254",540,460,2005,"Granholm v. Heald","","540 U.S. 460","2005-05-16","03-1116,03-1120","2004","2004-10","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","2004-12-07",1,4,5,"Kathleen M. Sullivan","","scotusBound","https://www.oyez.org/cases/2004/03-1116"
"55354",547,28,2006,"Illinois Tool Works Inc. v. Independent Ink, Inc.","","547 U.S. 28","2006-03-01","04-1329","2005","2005-10","antitrust (except in the context of mergers and union antitrust)","2005-11-29",1,8,0,"Kathleen M. Sullivan","","scotusBound","https://www.oyez.org/cases/2005/04-1329"
"55590",556,599,2009,"Burlington N. & Santa Fe Ry. Co. v. United States","","556 U.S. 599","2009-05-04","07-1601","2008","2008-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","2009-02-24",1,8,1,"Kathleen M. Sullivan","","scotusBound","https://www.oyez.org/cases/2008/07-1601"
"55721",562,223,2011,"Bruesewitz v. Wyeth Inc.","","562 U.S. 223","2011-02-22","09-152","2010","2010-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2010-10-12",1,2,6,"Kathleen M. Sullivan","","scotusBound","https://www.oyez.org/cases/2010/09-152"
"55869",569,108,2013,"Kiobel v. Royal Dutch Petroleum","","569 U.S. 108","2013-04-17","10-1491","2011","2011-10","standing to sue: legal injury","2012-02-28,2012-10-01",2,0,9,"Kathleen M. Sullivan","","scotusBound","https://www.oyez.org/cases/2011/10-1491"
"62254",573,0,2014,"Pom Wonderful, LLC v. The Coca-Cola Company","","573 U.S. ___","2014-06-12","12-761","2013","2013-10","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","2014-04-21",1,8,0,"Kathleen M. Sullivan","","slipopinion/13","https://www.oyez.org/cases/2013/12-761"
"62690",580,0,2016,"Samsung Electronics Co. v. Apple Inc.","","580 U.S. ___","2016-12-06","15-777","2016","2016-10","patents and copyrights: patent","2016-10-11",1,8,0,"Kathleen M. Sullivan","","slipopinion/16","https://www.oyez.org/cases/2016/15-777"
"62714",580,0,2016,"State Farm Fire and Casualty Co. v. U.S. ex rel. Rigsby","","580 U.S. ___","2016-12-06","15-513","2016","2016-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","2016-11-01",1,0,8,"Kathleen M. Sullivan","","slipopinion/16","https://www.oyez.org/cases/2016/15-513"
