oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"52075",444,164,1979,"Kaiser Aetna v. United States","","444 U.S. 164","1979-12-04","78-738","1979","1979-10","due process: takings clause, or other non-constitutional governmental taking of property","1979-10-01",1,6,3,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1979/78-738"
"52637",463,680,1983,"Ruckelshause v. Sierra Club","","463 U.S. 680","1983-07-01","82-242","1982","1982-10","attorneys' and governmental employees' or officials' fees or compensation or licenses","1983-04-25",1,5,4,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1982/82-242"
"52772",465,848,1984,"Kosak v. United States","","465 U.S. 848","1984-03-21","82-618","1983","1983-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1983-11-07",1,1,8,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1983/82-618"
"52844",467,431,1984,"Nix v. Williams","","467 U.S. 431","1984-06-11","82-1651","1983","1983-10","right to counsel (cf. indigents appointment of counsel or inadequate representation)","1984-01-18",1,7,2,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1983/82-1651"
"52821",467,82,1984,"South-Central Timber Development, Inc. v. Wunnicke","","467 U.S. 82","1984-05-22","82-1608","1983","1983-10","national supremacy: natural resources (cf. natural resources - environmental protection)","1984-02-29",1,6,2,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1983/82-1608"
"52757",467,340,1984,"Block v. Community Nutrition Institute","","467 U.S. 340","1984-06-04","83-458","1983","1983-10","judicial review of administrative agency's or administrative official's actions and procedures","1984-04-24",1,8,0,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1983/83-458"
"52960",469,274,1985,"Ohio v. Kovacs","","469 U.S. 274","1985-01-09","83-1020","1984","1984-10","bankruptcy (except in the context of priority of federal fiscal claims)","1984-10-10",1,0,9,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1984/83-1020"
"52989",469,221,1985,"United States v. Hensley","","469 U.S. 221","1985-01-08","83-1330","1984","1984-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1984-11-05",1,9,0,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1984/83-1330"
"52932",471,524,1985,"Connecticut Department of Income Maintenance v. Heckler","","471 U.S. 524","1985-05-20","83-2136","1984","1984-10","poverty law, statutory: welfare benefits, typically under some Social Security Act provision.","1985-03-27",1,0,9,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1984/83-2136"
"53193",474,121,1985,"United States v. Riverside Bayview Homes, Inc.","","474 U.S. 121","1985-12-04","84-701","1985","1985-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1985-10-16",1,9,0,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1985/84-701"
"53154",475,503,1986,"Goldman v. Weinberger","","475 U.S. 503","1986-03-25","84-1097","1985","1985-10","free exercise of religion","1986-01-14",1,4,5,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1985/84-1097"
"53599",490,228,1989,"Price Waterhouse v. Hopkins","","490 U.S. 228","1989-05-01","87-1167","1988","1988-10","sex discrimination in employment (cf. sex discrimination)","1988-10-31",1,6,3,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1988/87-1167"
"54077",507,170,1993,"Reves v. Ernst & Young","","507 U.S. 170","1993-03-03","91-886","1992","1992-10","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","1992-10-13",1,2,7,"Kathryn A. Oberly","","loc","https://www.oyez.org/cases/1992/91-886"
