oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
50896,411,182,1973,"Butz v. Glover Livestock Commission Company, Inc.",0,411 U.S. 182,1973-03-28,71-1545,1972,1972-10,judicial review of administrative agency's or administrative official's actions and procedures,1973-02-27,1,7,2,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1972/71-1545"
50945,413,508,1973,United States Dept. of Agriculture v. Murry,0,413 U.S. 508,1973-06-25,72-848,1972,1972-10,"poverty law, constitutional",1973-04-23,1,4,5,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1972/72-848"
51090,415,61,1974,Sampson v. Murray,0,415 U.S. 61,1974-02-19,72-403,1973,1973-10,"subconstitutional fair procedure: miscellaneous",1973-11-14,1,6,3,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1973/72-403"
50994,415,345,1974,Federal Power Commission v. New England Power Company,0,415 U.S. 345,1974-03-04,72-1162,1973,1973-10,"federal and some few state regulation of public utilities regulation: electric power",1973-12-03,1,0,7,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1973/72-1162"
50991,418,1,1974,Commissioner of Internal Revenue v. Idaho Power Company,0,418 U.S. 1,1974-06-24,73-263,1973,1973-10,"federal taxation, typically under provisions of the Internal Revenue Code",1974-02-27,1,8,1,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1973/73-263"
51261,419,43,1974,Otte v. United States,0,419 U.S. 43,1974-11-19,73-375,1974,1974-10,"priority of federal fiscal claims: over those of the states or private entities",1974-10-15,1,0,9,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1974/73-375"
51266,420,636,1975,Weinberger v. Wiesenfeld,0,420 U.S. 636,1975-03-19,73-1892,1974,1974-10,sex discrimination (excluding sex discrimination in employment),1975-01-20,1,0,8,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1974/73-1892"
51267,420,531,1975,United States v. Florida,0,420 U.S. 531,1975-03-03,52 Orig.,1974,1974-10,Submerged Lands Act (cf. federal-state ownership dispute),1975-02-25,1,8,0,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1974/52_orig"
51168,421,330,1975,Phelps v. United States,0,421 U.S. 330,1975-05-19,74-121,1974,1974-10,"priority of federal fiscal claims: over those of the states or private entities",1975-04-16,1,0,9,Keith A.Jones,0,loc,"https://www.oyez.org/cases/1974/74-121"
51371,423,303,1976,United States v. Bornstein,0,423 U.S. 303,1976-01-14,74-712,1975,1975-10,"corruption, governmental or governmental regulation of other than as in campaign spending",1975-10-08,1,5,3,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1975/74-712"
51393,424,648,1976,Garner v. United States,0,424 U.S. 648,1976-03-23,74-100,1975,1975-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),1975-11-04,1,0,8,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1975/74-100"
51419,425,484,1976,Hampton v. United States,0,425 U.S. 484,1976-04-27,74-5822,1975,1975-10,"subconstitutional fair procedure: entrapment",1975-12-01,1,3,5,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1975/74-5822"
51415,427,524,1976,Norton v. Mathews,0,427 U.S. 524,1976-06-29,74-6212,1975,1975-10,"illegitimates, rights of (cf. juveniles): typically inheritance and survivor's benefits, and paternity suits",1976-01-13,1,3,6,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1975/74-6212"
51417,427,495,1976,Mathews v. Lucas,0,427 U.S. 495,1976-06-29,75-88,1975,1975-10,"illegitimates, rights of (cf. juveniles): typically inheritance and survivor's benefits, and paternity suits",1976-01-13,1,6,3,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1975/75-88"
51344,427,215,1976,Meachum v. Fano,0,427 U.S. 215,1976-06-25,75-252,1975,1975-10,"due process: prisoners' rights and defendants' rights",1976-04-21,1,6,3,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1975/75-252"
51629,430,199,1977,Califano v. Goldfarb,0,430 U.S. 199,1977-03-02,75-699,1976,1976-10,sex discrimination (excluding sex discrimination in employment),1976-10-05,1,4,5,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1976/75-699"
51652,429,569,1977,Don E. Williams Company v. Commissioner of Internal Revenue,0,429 U.S. 569,1977-02-22,75-1312,1976,1976-10,"federal taxation, typically under provisions of the Internal Revenue Code",1976-12-08,1,2,7,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1976/75-1312"
51522,431,864,1977,United States v. Larionoff,0,431 U.S. 864,1977-06-13,76-413,1976,1976-10,"military: active duty",1977-04-27,1,4,5,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1976/76-413"
51753,436,725,1978,Quern v. Mandley,0,436 U.S. 725,1978-06-06,76-1159,1977,1977-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",1977-11-30,1,8,0,Keith Jones,0,loc,"https://www.oyez.org/cases/1977/76-1159"
53213,477,207,1986,"Offshore Logistics, Inc. v. Tallentire",0,477 U.S. 207,1986-06-23,85-202,1985,1985-10,"election of remedies: legal remedies available to injured persons or things",1986-02-24,1,5,4,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1985/85-202"
53955,504,374,1992,"Morales v. Trans World Airlines, Inc.",0,504 U.S. 374,1992-06-01,90-1604,1991,1991-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1992-03-03,1,3,5,Keith A. Jones,0,loc,"https://www.oyez.org/cases/1991/90-1604"
