oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53684,493,265,1990,Spallone v. United States,0,493 U.S. 265,1990-01-10,88-854,1989,1989-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1989-10-02,1,5,4,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/88-854"
53796,493,182,1990,University of Pennsylvania v. Equal Employment Opportunity Commission,0,493 U.S. 182,1990-01-09,88-493,1989,1989-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1989-11-07,1,0,9,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/88-493"
53800,497,261,1990,"Cruzan by Cruzan v. Director, Missouri Department of Health",0,497 U.S. 261,1990-06-25,88-1503,1989,1989-10,right to die,1989-12-06,1,4,5,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/88-1503"
53685,496,226,1990,Board of Education of Westside Community Schools v. Mergens By and Through Mergens,0,496 U.S. 226,1990-06-04,88-1597,1989,1989-10,"parochiaid: government aid to religious schools, or religious requirements in public schools",1990-01-09,1,1,8,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/88-1597"
53762,496,414,1990,Office of Personnel Management v. Richmond,0,496 U.S. 414,1990-06-11,88-1943,1989,1989-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1990-02-21,1,7,2,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/88-1943"
53798,496,334,1990,Perpich v. Department of Defense,0,496 U.S. 334,1990-06-11,89-542,1989,1989-10,miscellaneous federalism,1990-03-27,1,0,9,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/89-542"
53674,496,310,1990,United States v. Eichman,0,496 U.S. 310,1990-06-11,89-1433,1989,1989-10,"protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees",1990-05-14,1,4,5,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1989/89-1433"
53835,498,237,1991,Board of Education of Oklahoma City Public Schools v. Dowell,0,498 U.S. 237,1991-01-15,89-1080,1990,1990-10,"desegregation, schools",1990-10-02,1,5,3,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1990/89-1080"
53875,500,173,1991,Rust v. Sullivan,0,500 U.S. 173,1991-05-23,89-1391,1990,1990-10,"abortion: including contraceptives",1990-10-30,1,4,5,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1990/89-1391"
53932,499,244,1991,Equal Employment Opportunity Commission v. Arabian American Oil Company,0,499 U.S. 244,1991-03-26,89-1838,1990,1990-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1991-01-16,1,3,6,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1990/89-1838"
53852,501,429,1991,Florida v. Bostick,0,501 U.S. 429,1991-06-20,89-1717,1990,1990-10,"search and seizure, vehicles",1991-02-26,1,6,3,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1990/89-1717"
53871,500,145,1991,Michigan v. Lucas,0,500 U.S. 145,1991-05-20,90-149,1990,1990-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1991-03-26,1,7,2,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1990/90-149"
53828,501,380,1991,Chisom v. Roemer,0,501 U.S. 380,1991-06-20,90-757,1990,1990-10,"Voting Rights Act of 1965, plus amendments",1991-04-22,1,6,3,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1990/90-757"
54048,503,467,1992,Freeman v. Pitts,0,503 U.S. 467,1992-03-31,89-1290,1991,1991-10,"desegregation, schools",1991-10-07,1,8,0,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1991/89-1290"
53940,505,577,1992,Lee v. Weisman,0,505 U.S. 577,1992-06-24,90-1014,1991,1991-10,"establishment of religion (other than as pertains to parochiaid:)",1991-11-06,1,4,5,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1991/90-1014"
53958,505,717,1992,United States v. Fordice,0,505 U.S. 717,1992-06-26,90-1205,1991,1991-10,"desegregation, schools",1991-11-13,1,8,1,Kenneth W. Starr,0,loc,"https://www.oyez.org/cases/1991/90-1205"
