oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
61589,391,492,1968,"Wirtz v. Hotel, Motel & Club Employees Union, Local 6",0,391 U.S. 492,1968-06-03,891,1967,1967-10,union-union member dispute (except as pertains to union or closed shop),1968-04-29,1,8,0,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1967/891"
62070,400,297,1971,"National Labor Relations Board v. Local 825, International Union of Operating Engineers, AFL-CIO",0,400 U.S. 297,1971-01-12,40,1970,1970-10,"labor-management disputes: secondary activity",1970-11-18,1,7,2,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1970/40"
50731,404,116,1971,"National Labor Relations Board v. Plasterers' Union International Assn., AFL-CIO",0,404 U.S. 116,1971-12-06,70-63,1971,1971-10,"labor-management disputes: jurisdictional dispute",1971-10-13,1,7,0,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1971/70-63"
51066,417,249,1974,"Howard Johnson Company, Inc. v. Detroit Local Joint Executive Board, Hotel & Restaurant Employees & Bartenders International Union, AFL-CIO",0,417 U.S. 249,1974-06-03,73-631,1973,1973-10,"labor-management disputes: miscellaneous dispute","1974-03-19,1974-03-20",2,8,1,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1973/73-631"
51120,417,790,1974,"Florida Power & Light Company v. International Brotherhood of Electrical Workers, Local 641",0,417 U.S. 790,1974-06-24,73-556,1973,1973-10,union-union member dispute (except as pertains to union or closed shop),1974-04-24,1,4,5,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1973/73-556"
51190,419,301,1974,"Linden Lumber Division, Summer & Company v. National Labor Relations Board",0,419 U.S. 301,1974-12-23,73-1231,1974,1974-10,"labor-management disputes: bargaining",1974-11-18,1,5,4,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1974/73-1231"
51467,424,507,1976,Hudgens v. National Labor Relations Board,0,424 U.S. 507,1976-03-03,74-773,1975,1975-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1975-10-14,1,6,2,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1975/74-773"
51402,426,407,1976,"Oil, Chemical & Atomic Workers International Union, AFL-CIO v. Mobil Oil Corporation",0,426 U.S. 407,1976-06-14,74-1254,1975,1975-10,"labor-management disputes: miscellaneous dispute",1976-03-29,1,7,2,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1975/74-1254"
51632,429,507,1977,"National Labor Relations Board v. Enterprise Association of Steam, Hot Water, Hydraulic Sprinkler, Pneumatic Tube, Ice Machine & General Pipefitters of New York and Vicinity, Local Union No. 638",0,429 U.S. 507,1977-02-22,75-777,1976,1976-10,"union antitrust: legality of anticompetitive union activity",1976-10-06,1,6,3,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1976/75-777"
51746,437,411,1978,"American Broadcasting Companies, Inc. v. Writers Guild of America, West, Inc.",0,437 U.S. 411,1978-06-21,76-1121,1977,1977-10,union-union member dispute (except as pertains to union or closed shop),"1977-12-05,1978-03-20",2,5,4,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1977/76-1121"
51790,437,483,1978,Beth Israel Hospital v. National Labor Relations Board,0,437 U.S. 483,1978-06-22,77-152,1977,1977-10,"labor-management disputes: distribution of union literature",1978-04-24,1,0,9,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1977/77-152"
51973,442,773,1979,"National Labor Relations Board v. Baptist Hospital, Inc.",0,442 U.S. 773,1979-06-20,78-223,1978,1978-10,"labor-management disputes: right to organize",1979-04-23,1,9,0,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1978/78-223"
52106,447,607,1980,National Labor Relations Board v. Retail Store Employees Union,0,447 U.S. 607,1980-06-20,79-672,1979,1979-10,"labor-management disputes: secondary activity",1980-04-15,1,6,3,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1979/79-672"
52259,451,704,1981,"H. A. Artists & Associates, Inc. v. Actors' Equity Assn.",0,451 U.S. 704,1981-05-26,80-348,1980,1980-10,"union antitrust: legality of anticompetitive union activity",1981-03-23,1,6,3,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1980/80-348"
52312,452,615,1981,"United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry v. Local 334, United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry",0,452 U.S. 615,1981-06-22,80-710,1980,1980-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1981-04-29,1,6,3,Laurence Stephen Gold,0,loc,"https://www.oyez.org/cases/1980/80-710"
